game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo: The Master Chief Collection (CN),https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection-Chinese/achievements,xbox-one,"71 / 11,096","45 / 4,755",7 / 479,Owned,Playing now,,,04 Feb 23,,11 Apr 23
The Simpsons Arcade,https://www.trueachievements.com/game/The-Simpsons-Arcade/achievements,xbox-360,10 / 368,10 / 200,1 / 12,Owned,Playing now,,,31 Mar 23,,31 Mar 23
Tom Clancy's Ghost Recon: Future Soldier,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Future-Soldier/achievements,xbox-360,"266 / 3,252","60 / 1,000",5 / 50,Owned,Playing now,,,16 Aug 22,,01 Sep 22
Assassin's Creed: Revelations,https://www.trueachievements.com/game/Assassins-Creed-Revelations/achievements,xbox-360,"39 / 1,765","20 / 1,000",1 / 49,Owned,Playing now,,,13 Aug 22,,27 Aug 22
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"36 / 4,977","20 / 1,000",2 / 68,Owned,,,8 hrs 56 mins,10 Aug 22,,10 Aug 22
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"1,142 / 3,684","580 / 1,720",25 / 76,Owned,,,,15 Dec 21,,13 Jan 22
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"56 / 1,480","50 / 1,000",2 / 49,Owned,,,,24 Apr 11,,17 Nov 21
Dead Island (Xbox 360),https://www.trueachievements.com/game/Dead-Island-Xbox-360/achievements,xbox-360,"11 / 1,756","10 / 1,000",1 / 48,Owned,,,,05 May 21,,05 May 21
Left 4 Dead,https://www.trueachievements.com/game/Left-4-Dead/achievements,xbox-360,"1,048 / 1,888","705 / 1,020",39 / 51,Owned,,,,07 Nov 09,,13 Aug 16
Halo 3: ODST,https://www.trueachievements.com/game/Halo-3-ODST/achievements,xbox-360,"101 / 1,594","55 / 1,000",7 / 47,Owned,,,,25 Jul 13,,23 Jul 14
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"62 / 2,849","50 / 1,000",6 / 50,Owned,,,,01 Jul 13,,20 Jul 14
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"148 / 2,505","95 / 1,250",5 / 60,Owned,,,,23 Apr 10,,22 Mar 14
Resident Evil 5 (Xbox 360),https://www.trueachievements.com/game/Resident-Evil-5-Xbox-360/achievements,xbox-360,"1,520 / 1,708","1,015 / 1,100",51 / 55,Owned,,,,12 Apr 12,,01 Jul 13
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,56 / 407,50 / 200,3 / 12,Owned,,,,13 Dec 10,,19 Dec 12
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"54 / 2,008","40 / 1,060",3 / 53,Owned,,,,02 Nov 09,,22 Jun 11
Ninja Gaiden II,https://www.trueachievements.com/game/Ninja-Gaiden-2/achievements,xbox-360,"1,319 / 3,546","645 / 1,000",43 / 60,Owned,,,,20 Aug 22,,02 May 10
Fable II,https://www.trueachievements.com/game/Fable-2/achievements,xbox-360,"312 / 1,490","280 / 1,000",17 / 50,Owned,,,,20 Aug 22,,
Hexic HD,https://www.trueachievements.com/game/Hexic/achievements,xbox-360,10 / 810,10 / 200,2 / 12,Owned,,,,20 Aug 22,,
