game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"34 / 3,893","30 / 1,000",2 / 62,Owned,,,3 hrs 26 mins,08 Aug 22,,08 Aug 22
Middle-earth: Shadow of War,https://www.trueachievements.com/game/Middle-earth-Shadow-of-War/achievements,xbox-one,"2,981 / 2,981","1,500 / 1,500",72 / 72,Owned,,,404 hrs 4 mins,11 Mar 20,05 Aug 22,05 Aug 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"260 / 3,769","210 / 1,600",24 / 119,Owned,,,7 hrs 6 mins,08 Jun 22,,11 Jun 22
RESEARCH and DESTROY,https://www.trueachievements.com/game/Research-and-Destroy/achievements,xbox-one,"304 / 7,447","120 / 1,000",10 / 45,Owned,,,5 hrs 53 mins,25 May 22,,08 Jun 22
Astroneer,https://www.trueachievements.com/game/Astroneer/achievements,xbox-one,"40 / 3,619","30 / 1,000",3 / 54,Owned,,,19 hrs 51 mins,26 May 22,,26 May 22
Halo: Spartan Assault (Windows),https://www.trueachievements.com/game/Halo-Spartan-Assault-Windows-8/achievements,windows,20 / 459,15 / 200,2 / 20,Owned,,,,25 May 22,,25 May 22
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"447 / 5,370","380 / 1,500",32 / 93,Owned,,,7 hrs 51 mins,26 Apr 22,,27 Apr 22
Gears of War: Ultimate Edition (Windows),https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition-Windows-10/achievements,windows,"805 / 6,615","520 / 1,250",26 / 56,Owned,,,,01 Feb 22,,26 Apr 22
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"1,732 / 5,514","655 / 1,875",28 / 84,Owned,,,11 hrs 57 mins,28 Oct 21,,28 Oct 21
Batman: The Telltale Series (Windows),https://www.trueachievements.com/game/BATMAN-The-Telltale-Series-Windows/achievements,windows,20 / 230,20 / 200,1 / 6,Owned,,,3 hrs 13 mins,07 Sep 21,,07 Sep 21
