game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
NBA 2K6,https://www.trueachievements.com/game/NBA-2K6/achievements,xbox-360,"302 / 1,035","300 / 1,000",2 / 5,Owned,Playing now,,,20 Sep 15,,23 Sep 16
The Beatles: Rock Band,https://www.trueachievements.com/game/The-Beatles-Rock-Band/achievements,xbox-360,"302 / 3,625","145 / 1,000",7 / 50,Owned,Playing now,,,25 Sep 15,,23 Sep 16
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"335 / 2,884","230 / 1,500",11 / 70,Owned,,,,15 Nov 12,,31 May 16
James Cameron's Avatar,https://www.trueachievements.com/game/James-Camerons-Avatar/achievements,xbox-360,"53 / 2,553","50 / 1,000",3 / 39,Owned,Playing now,,,09 Oct 15,,31 May 16
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"490 / 2,535","345 / 1,300",22 / 59,Owned,,,,10 Nov 10,,10 Mar 16
Major League Baseball 2K12,https://www.trueachievements.com/game/MLB-2K12/achievements,xbox-360,"10 / 3,244","10 / 1,000",2 / 50,Owned,Playing now,,,13 Nov 15,,05 Feb 16
Gotham City Impostors,https://www.trueachievements.com/game/Gotham-City-Impostors/achievements,xbox-360,16 / 996,15 / 200,3 / 12,Owned,,,,28 Jul 12,,30 Nov 15
Guitar Hero: Warriors of Rock,https://www.trueachievements.com/game/Guitar-Hero-Warriors-of-Rock/achievements,xbox-360,"434 / 2,214","340 / 1,000",15 / 50,Owned,,,,28 Aug 13,,15 Oct 15
The Orange Box,https://www.trueachievements.com/game/The-Orange-Box/achievements,xbox-360,"69 / 2,619","50 / 1,000",8 / 99,Owned,,,,15 Sep 13,,02 Oct 15
Guitar Hero III: Legends of Rock,https://www.trueachievements.com/game/Guitar-Hero-3-Legends-of-Rock/achievements,xbox-360,"115 / 5,171","55 / 1,000",7 / 59,Owned,,,,27 Aug 13,,01 Oct 15
Battlefield: Bad Company 2,https://www.trueachievements.com/game/Battlefield-Bad-Company-2/achievements,xbox-360,"152 / 1,727","120 / 1,000",7 / 50,Owned,,,,25 Dec 12,,29 Sep 15
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"25 / 1,933","20 / 1,000",1 / 50,Owned,,,,09 Nov 13,,14 Mar 14
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"65 / 1,975","55 / 1,000",5 / 50,Owned,,,,13 Nov 11,,27 Nov 13
Command & Conquer 3: Tiberium Wars,https://www.trueachievements.com/game/Command-Conquer-3-Tiberium-Wars/achievements,xbox-360,"0 / 4,070","0 / 1,000",1 / 22,Owned,,,,25 Aug 13,,25 Aug 13
Crysis 2,https://www.trueachievements.com/game/Crysis-2/achievements,xbox-360,"144 / 2,654","95 / 1,000",7 / 50,Owned,,,,29 Apr 11,,22 Jun 11
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"77 / 1,609","65 / 1,000",7 / 49,Owned,,,,19 Sep 10,,11 Oct 10
