game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Star Wars Jedi: Survivor,https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,xbox-series-x-s,"867 / 1,865","595 / 1,000",35 / 53,Owned,Playing now,,47 hrs 1 min,28 Apr 23,,05 May 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"72 / 4,444","65 / 1,180",5 / 66,Owned,Playing now,,2 hrs 18 mins,14 Apr 23,,15 Apr 23
DREDGE,https://www.trueachievements.com/game/DREDGE/achievements,xbox-one,"661 / 1,793","470 / 1,000",20 / 40,Owned,Playing now,,12 hrs 1 min,07 Apr 23,,08 Apr 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"418 / 1,771","370 / 1,000",16 / 39,Owned,Playing now,,25 hrs 30 mins,25 Mar 23,,07 Apr 23
Resident Evil 3,https://www.trueachievements.com/game/Resident-Evil-3/achievements,xbox-one,"213 / 1,684","200 / 1,000",9 / 32,Owned,Playing now,,2 hrs 29 mins,20 Mar 23,,20 Mar 23
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"540 / 1,979","430 / 1,020",22 / 42,Owned,Playing now,,8 hrs 52 mins,18 Mar 23,,20 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"888 / 1,998","555 / 1,000",29 / 45,Owned,Playing now,,67 hrs 15 mins,07 Feb 23,,27 Feb 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 5,946","15 / 1,000",1 / 42,Owned,Playing now,,1 hr 27 mins,21 Feb 23,,21 Feb 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"73 / 7,515","40 / 1,075",7 / 110,Owned,Playing now,,5 hrs 8 mins,04 Feb 23,,05 Feb 23
Dead Space,https://www.trueachievements.com/game/Dead-Space/achievements,xbox-series-x-s,"575 / 1,910","440 / 1,000",32 / 47,Owned,Playing now,,15 hrs 19 mins,28 Jan 23,,01 Feb 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"25 / 6,004","25 / 1,000",3 / 61,Owned,Playing now,,1 hr 25 mins,26 Jan 23,,26 Jan 23
Dishonored: Death of the Outsider,https://www.trueachievements.com/game/Dishonored-Death-of-the-Outsider/achievements,xbox-one,"81 / 2,051","65 / 1,000",3 / 30,Owned,Playing now,,1 hr 32 mins,22 Jan 23,,22 Jan 23
Dishonored 2,https://www.trueachievements.com/game/Dishonored-2/achievements,xbox-one,"846 / 3,026","370 / 1,000",19 / 50,Owned,Playing now,,,10 Jan 23,,22 Jan 23
Dishonored Definitive Edition,https://www.trueachievements.com/game/Dishonored-Definitive-Edition/achievements,xbox-one,"731 / 6,049","400 / 1,640",21 / 80,Owned,Playing now,,,07 Jan 23,,10 Jan 23
SIGNALIS,https://www.trueachievements.com/game/Signalis/achievements,xbox-one,"200 / 2,500","140 / 1,000",4 / 13,Owned,Playing now,,3 hrs 37 mins,07 Jan 23,,07 Jan 23
