game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"454 / 1,771","370 / 1,000",16 / 39,Owned,Playing now,,20 hrs 10 mins,25 Mar 23,,27 Mar 23
Scorn,https://www.trueachievements.com/game/Scorn/achievements,xbox-series-x-s,"1,448 / 1,448","1,000 / 1,000",12 / 12,Owned,Playing now,,5 hrs 10 mins,16 Oct 22,16 Oct 22,16 Oct 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"679 / 2,292","390 / 1,000",17 / 44,Owned,Playing now,,53 hrs 14 mins,31 Mar 21,,05 Oct 22
DEATHLOOP,https://www.trueachievements.com/game/Deathloop/achievements,xbox-series-x-s,"15 / 3,753","15 / 1,000",1 / 58,Owned,Playing now,,47 mins,23 Sep 22,,23 Sep 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"15 / 5,210","15 / 1,000",1 / 28,Owned,Playing now,,19 mins,28 Aug 22,,28 Aug 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"698 / 3,769","490 / 1,600",42 / 119,Owned,Playing now,,16 hrs 24 mins,11 Dec 21,,22 Dec 21
Grand Theft Auto III – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-III-The-Definitive-Edition/achievements,xbox-one,"34 / 2,260","30 / 1,000",2 / 28,Owned,Playing now,,27 mins,11 Nov 21,,11 Nov 21
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"441 / 2,193","285 / 1,000",17 / 53,Owned,Playing now,,22 hrs 12 mins,11 Oct 21,,23 Oct 21
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"1,797 / 2,988","980 / 1,450",45 / 67,Owned,Playing now,,136 hrs 49 mins,11 Nov 20,,28 Aug 21
Immortals Fenyx Rising,https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,xbox-one,"978 / 2,025","600 / 1,000",33 / 50,Owned,Playing now,,37 hrs 48 mins,01 Feb 21,,18 Jun 21
Biomutant,https://www.trueachievements.com/game/Biomutant/achievements,xbox-one,"10 / 2,588","10 / 1,000",1 / 46,Owned,Playing now,,55 mins,28 May 21,,28 May 21
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"808 / 1,938","545 / 1,000",30 / 49,Owned,Playing now,,18 hrs 48 mins,07 May 21,,19 May 21
SOULCALIBUR VI,https://www.trueachievements.com/game/SOULCALIBUR-VI/achievements,xbox-one,"158 / 3,883","80 / 1,000",3 / 49,Owned,Playing now,,2 hrs 0 mins,11 Jul 20,,12 May 21
Naruto: Ultimate Ninja Storm,https://www.trueachievements.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-1/achievements,xbox-one,"74 / 1,855","60 / 1,000",4 / 50,Owned,Playing now,,,01 May 21,,12 May 21
Watch Dogs: Legion,https://www.trueachievements.com/game/Watch-Dogs-Legion/achievements,xbox-one,"788 / 2,551","415 / 1,000",15 / 39,Owned,Playing now,,28 hrs 20 mins,22 Dec 20,,27 Dec 20
NieR: Automata BECOME AS GODS Edition,https://www.trueachievements.com/game/NieR-Automata/achievements,xbox-one,"118 / 2,236","90 / 1,000",6 / 48,Owned,Playing now,,4 hrs 20 mins,15 Jul 20,,20 Jul 20
Wizard of Legend,https://www.trueachievements.com/game/Wizard-of-Legend/achievements,xbox-one,"20 / 4,376","20 / 1,000",1 / 19,Owned,Playing now,,1 hr 15 mins,16 Jul 20,,16 Jul 20
Alien: Isolation,https://www.trueachievements.com/game/Alien-Isolation/achievements,xbox-one,"38 / 3,507","35 / 1,000",4 / 50,Owned,Playing now,,,16 Jul 20,,16 Jul 20
Resident Evil 3,https://www.trueachievements.com/game/Resident-Evil-3/achievements,xbox-one,"602 / 1,684","520 / 1,000",21 / 32,Owned,Playing now,,13 hrs 55 mins,03 Apr 20,,03 Apr 20
Tom Clancy's Ghost Recon Breakpoint,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,xbox-one,"70 / 2,018","60 / 1,000",4 / 50,Owned,Playing now,,8 hrs 5 mins,30 Mar 20,,01 Apr 20
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"880 / 2,065","585 / 1,000",33 / 45,Owned,Playing now,,89 hrs 7 mins,13 Sep 19,,17 Oct 19
Devil May Cry 5,https://www.trueachievements.com/game/Devil-May-Cry-5/achievements,xbox-one,"22 / 7,232","20 / 1,000",2 / 48,Owned,Playing now,,1 hr 16 mins,03 Sep 19,,03 Sep 19
Gears POP!,https://www.trueachievements.com/game/Gears-POP/achievements,windows,"665 / 3,581","400 / 1,000",27 / 45,Owned,Playing now,,,22 Aug 19,,26 Aug 19
Resident Evil 5,https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,xbox-one,"1,256 / 3,650","705 / 1,400",37 / 70,Owned,Playing now,,26 hrs 37 mins,04 Aug 19,,06 Aug 19
Resident Evil Revelations,https://www.trueachievements.com/game/Resident-Evil-Revelations-Xbox-One/achievements,xbox-one,"11 / 4,776","10 / 1,000",2 / 55,Owned,Playing now,,46 mins,02 Aug 19,,02 Aug 19
Crackdown 3: Campaign,https://www.trueachievements.com/game/Crackdown-3/achievements,xbox-one,"26 / 2,637","25 / 1,000",4 / 70,Owned,Playing now,,27 mins,02 Aug 19,,02 Aug 19
Darksiders III,https://www.trueachievements.com/game/Darksiders-3/achievements,xbox-one,"221 / 2,691","155 / 1,210",11 / 55,Owned,Playing now,,,21 Jul 19,,21 Jul 19
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"2,075 / 2,877","1,350 / 1,750",64 / 83,Owned,Playing now,,128 hrs 38 mins,04 Oct 18,,17 Jul 19
Assassin's Creed The Ezio Collection,https://www.trueachievements.com/game/Assassins-Creed-The-Ezio-Collection/achievements,xbox-one,"535 / 5,855","290 / 3,000",13 / 149,Owned,Playing now,,32 hrs 26 mins,07 Jul 19,,14 Jul 19
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"951 / 2,652","550 / 1,190",23 / 49,Owned,Playing now,,69 hrs 11 mins,07 Mar 17,,16 Jun 19
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"612 / 1,810","480 / 1,000",21 / 50,Owned,Playing now,,25 hrs 45 mins,17 Sep 18,,06 Apr 19
Anthem,https://www.trueachievements.com/game/Anthem/achievements,xbox-one,"799 / 2,874","465 / 1,000",18 / 46,Owned,Playing now,,23 hrs 46 mins,17 Mar 19,,25 Mar 19
ONE PIECE World Seeker,https://www.trueachievements.com/game/One-Piece-World-Seeker/achievements,xbox-one,"49 / 1,998","45 / 1,000",3 / 43,Owned,Playing now,,,17 Mar 19,,17 Mar 19
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"467 / 1,954","390 / 1,000",20 / 41,Owned,Playing now,,,26 Jan 19,,17 Feb 19
Onimusha: Warlords,https://www.trueachievements.com/game/Onimusha-Warlords/achievements,xbox-one,"802 / 2,132","585 / 1,000",38 / 55,Owned,Playing now,,,20 Jan 19,,20 Jan 19
Darksiders Warmastered Edition,https://www.trueachievements.com/game/Darksiders-Warmastered-Edition/achievements,xbox-one,"229 / 2,003","180 / 1,000",12 / 43,Owned,Playing now,,5 hrs 53 mins,27 Nov 18,,27 Nov 18
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"299 / 2,051","220 / 1,240",4 / 23,Owned,Playing now,,36 hrs 51 mins,11 Nov 18,,24 Nov 18
HITMAN 2,https://www.trueachievements.com/game/HITMAN-2/achievements,xbox-one,"87 / 1,699",75 / 750,4 / 38,Owned,Playing now,,3 hrs 58 mins,10 Nov 18,,11 Nov 18
Crash Bandicoot N. Sane Trilogy,https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,xbox-one,"188 / 9,146","150 / 3,000",6 / 77,Owned,Playing now,,,15 Sep 18,,16 Sep 18
Tom Clancy's Ghost Recon: Future Soldier,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Future-Soldier/achievements,xbox-360,"348 / 3,252","185 / 1,000",9 / 50,Owned,,,,30 May 12,,05 Aug 18
Tom Clancy's Splinter Cell Conviction,https://www.trueachievements.com/game/Tom-Clancys-Splinter-Cell-Conviction/achievements,xbox-360,"1,800 / 2,945","890 / 1,250",43 / 54,Owned,,,,23 Apr 10,,28 Jul 18
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"22 / 1,560","20 / 1,000",2 / 44,Owned,Playing now,,17 mins,28 Jul 18,,28 Jul 18
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"460 / 2,036","330 / 1,000",27 / 62,Owned,Playing now,,7 hrs 22 mins,18 May 18,,19 May 18
Vanquish (Xbox 360),https://www.trueachievements.com/game/Vanquish-Xbox-360/achievements,xbox-360,"490 / 2,596","340 / 1,000",23 / 50,Owned,,,,08 Sep 15,,17 May 18
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"951 / 4,156","550 / 1,450",28 / 53,Owned,Playing now,,14 hrs 27 mins,25 Jan 17,,21 Feb 18
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"1,525 / 6,485","775 / 1,500",38 / 67,Owned,,,40 mins,17 Jan 15,,17 Feb 18
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"716 / 1,595","540 / 1,000",27 / 50,Owned,Playing now,,48 hrs 17 mins,30 Oct 17,,22 Nov 17
Bayonetta (Xbox 360),https://www.trueachievements.com/game/Bayonetta-Xbox-360/achievements,xbox-360,"2,551 / 2,551","1,000 / 1,000",50 / 50,Owned,,,,01 Aug 10,07 Aug 17,10 Aug 17
Deus Ex: Human Revolution,https://www.trueachievements.com/game/Deus-Ex-Human-Revolution/achievements,xbox-360,"1,331 / 2,280","700 / 1,000",42 / 49,Owned,,,,26 Aug 11,,06 Aug 17
Mirror's Edge Catalyst,https://www.trueachievements.com/game/Mirrors-Edge-Catalyst/achievements,xbox-one,"90 / 3,411","75 / 1,000",5 / 49,Owned,Playing now,,1 hr 40 mins,25 May 17,,26 May 17
Resident Evil 4 (Xbox One),https://www.trueachievements.com/game/Resident-Evil-4-Xbox-One/achievements,xbox-one,"740 / 1,748","550 / 1,000",8 / 12,Owned,Playing now,,15 hrs 38 mins,03 Sep 16,,25 May 17
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"974 / 3,157","735 / 1,300",28 / 63,Owned,Playing now,,5 hrs 43 mins,05 Apr 17,,06 Apr 17
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"243 / 2,482","200 / 1,000",20 / 65,Owned,Playing now,,5 hrs 44 mins,15 Jan 17,,15 Jan 17
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"1,021 / 1,762","660 / 1,000",23 / 49,Owned,Playing now,,24 hrs 26 mins,24 Nov 16,,02 Dec 16
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"1,430 / 2,480","1,045 / 1,500",45 / 60,Owned,,,463 hrs 42 mins,13 Sep 14,,20 Sep 16
