game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Street Fighter 6,https://www.trueachievements.com/game/Street-Fighter-6/achievements,xbox-series-x-s,"52 / 9,158","45 / 1,400",4 / 43,Owned,Playing now,,1 hr 42 mins,01 Jun 23,,Yesterday
Dead Rising 3,https://www.trueachievements.com/game/Dead-Rising-3/achievements,xbox-one,"176 / 1,981","155 / 1,000",13 / 52,Owned,Playing now,,,27 May 23,,29 May 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,908 / 3,544","905 / 1,405",53 / 86,Owned,,,695 hrs 28 mins,16 Jul 16,,28 May 23
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"3,939 / 12,644","1,580 / 2,980",51 / 87,Owned,,,222 hrs 35 mins,29 May 15,,23 May 23
Super Street Fighter IV,https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,xbox-360,"117 / 5,551","70 / 1,160",6 / 58,Owned,Playing now,,,25 Nov 22,,18 May 23
Castlevania: Harmony of Despair,https://www.trueachievements.com/game/Castlevania-Harmony-of-Despair/achievements,xbox-360,180 / 354,110 / 200,6 / 12,Owned,Playing now,,,27 May 21,,15 May 23
Fable III,https://www.trueachievements.com/game/Fable-3/achievements,xbox-360,"396 / 1,861","315 / 1,000",15 / 50,Owned,Playing now,,,13 Nov 22,,12 May 23
DOOM 64,https://www.trueachievements.com/game/DOOM-64/achievements,xbox-one,"52 / 1,468","50 / 1,000",1 / 10,Owned,Playing now,,40 mins,07 May 23,,07 May 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"57 / 4,489","40 / 1,000",3 / 44,Owned,Playing now,,17 mins,07 May 23,,07 May 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"711 / 1,771","530 / 1,000",22 / 39,Owned,Playing now,,63 hrs 5 mins,24 Mar 23,,17 Apr 23
