game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Far Cry 4 (Xbox 360),https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,xbox-360,"120 / 1,510","110 / 1,000",8 / 50,Owned,Playing now,,,22 Sep 19,,14 Dec 19
Tekken 6,https://www.trueachievements.com/game/Tekken-6/achievements,xbox-360,"71 / 2,034","60 / 1,000",4 / 50,Owned,,,,14 Mar 11,,21 Sep 19
Forza Horizon,https://www.trueachievements.com/game/Forza-Horizon/achievements,xbox-360,"169 / 2,614","150 / 1,250",11 / 60,Owned,Playing now,,,04 Sep 16,,01 Sep 19
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"330 / 2,474","260 / 1,000",17 / 49,Owned,,,,17 Aug 14,,15 Jun 19
Pinball FX2 (Xbox 360),https://www.trueachievements.com/game/Pinball-FX2-Xbox-360/achievements,xbox-360,68 / 484,50 / 200,6 / 12,Owned,,,,05 Nov 11,,12 May 19
Grand Theft Auto: San Andreas,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas/achievements,xbox-360,"353 / 2,352","200 / 1,000",10 / 33,Owned,Playing now,,,18 Oct 15,,10 May 19
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"205 / 1,786","165 / 1,000",10 / 50,Owned,,,,09 Jun 13,,30 Mar 19
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"1,677 / 1,891","915 / 1,000",45 / 50,Owned,,,,03 Jan 12,,30 Mar 19
Need for Speed: ProStreet,https://www.trueachievements.com/game/Need-for-Speed-ProStreet/achievements,xbox-360,"252 / 2,838","180 / 1,000",10 / 50,Owned,,,,21 May 09,,27 Mar 19
Tomb Raider: Underworld,https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,xbox-360,"1,345 / 2,134","750 / 1,000",26 / 31,Owned,,,,25 May 09,,27 Mar 19
Far Cry 3 Blood Dragon,https://www.trueachievements.com/game/Far-Cry-3-Blood-Dragon/achievements,xbox-360,10 / 674,10 / 400,1 / 19,Owned,Playing now,,,08 Dec 18,,03 Mar 19
Call of Duty: World at War,https://www.trueachievements.com/game/Call-of-Duty-World-at-War/achievements,xbox-360,"1,454 / 1,879","815 / 1,000",40 / 46,Owned,,,,10 Mar 09,,09 Sep 18
Cars 2: The Video Game,https://www.trueachievements.com/game/Cars-2/achievements,xbox-360,"23 / 2,313","20 / 1,000",1 / 50,Owned,Playing now,,,28 Apr 18,,28 Apr 18
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,213 / 407,135 / 200,9 / 12,Owned,,,,27 Jan 11,,10 Mar 18
Wolfenstein: The New Order (Xbox 360),https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,xbox-360,"387 / 1,647","290 / 1,000",18 / 50,Owned,Playing now,,,31 Mar 17,,18 Feb 18
Frozen Free Fall: Snowball Fight (Xbox 360),https://www.trueachievements.com/game/Frozen-Free-Fall-Snowball-Fight-Xbox-360/achievements,xbox-360,"97 / 3,523","80 / 1,000",2 / 17,Owned,Playing now,,,21 Feb 16,,11 Feb 18
Fable II Pub Games,https://www.trueachievements.com/game/Fable-2-Pub-Games/achievements,xbox-360,116 / 290,100 / 200,7 / 12,Owned,,,,29 Oct 09,,11 Feb 18
Microsoft Jackpot (Windows),https://www.trueachievements.com/game/Microsoft-Jackpot/achievements,windows,43 / 480,30 / 200,3 / 20,Owned,Playing now,,,24 Mar 17,,30 Mar 17
Microsoft Treasure Hunt (Windows 8),https://www.trueachievements.com/game/Microsoft-Treasure-Hunt/achievements,windows,10 / 618,10 / 200,1 / 20,Owned,Playing now,,,08 Mar 17,,10 Mar 17
