game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"932 / 1,971","575 / 1,000",12 / 19,Owned,Playing now,,23 hrs 44 mins,27 Apr 23,,14 May 23
Rust: Console Edition,https://www.trueachievements.com/game/Rust/achievements,xbox-one,"1,550 / 1,580","985 / 1,000",30 / 31,Owned,Playing now,,376 hrs 44 mins,17 Jul 21,,06 May 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"766 / 4,306","430 / 1,615",27 / 89,Owned,,,185 hrs 9 mins,11 Nov 21,,04 May 23
Insurgency: Sandstorm,https://www.trueachievements.com/game/Insurgency-Sandstorm/achievements,xbox-one,"827 / 3,071","380 / 1,000",13 / 30,Owned,Playing now,,6 hrs 1 min,16 Dec 22,,26 Apr 23
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"291 / 3,559","175 / 1,000",15 / 62,Owned,,,14 hrs 50 mins,09 Jan 21,,23 Apr 23
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"357 / 3,155","200 / 1,000",7 / 20,Owned,,,17 hrs 58 mins,16 Jan 21,,15 Apr 23
Trailmakers,https://www.trueachievements.com/game/Trailmakers/achievements,xbox-one,"33 / 3,505","30 / 1,000",1 / 18,Owned,Playing now,,4 hrs 52 mins,14 Apr 23,,14 Apr 23
Train Sim World 3,https://www.trueachievements.com/game/Train-Sim-World-3/achievements,xbox-one,"193 / 3,432","120 / 1,000",5 / 14,Owned,,,3 hrs 37 mins,27 Sep 22,,06 Apr 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"64 / 2,658","45 / 1,000",2 / 24,Owned,Playing now,,47 mins,24 Mar 23,,24 Mar 23
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"287 / 3,208","195 / 1,000",12 / 50,Owned,,,,31 Mar 14,,04 Feb 23
Call of Duty: World at War,https://www.trueachievements.com/game/Call-of-Duty-World-at-War/achievements,xbox-360,"11 / 1,879","10 / 1,000",1 / 46,Owned,Playing now,,,04 Feb 23,,04 Feb 23
Assetto Corsa,https://www.trueachievements.com/game/Assetto-Corsa/achievements,xbox-one,"18 / 14,944","15 / 1,000",1 / 41,Owned,Playing now,,17 mins,04 Feb 23,,04 Feb 23
Assetto Corsa Competizione,https://www.trueachievements.com/game/Assetto-Corsa-Competizione/achievements,xbox-one,"10 / 8,399","10 / 1,000",1 / 40,Owned,Playing now,,1 min,30 Jan 23,,30 Jan 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"305 / 3,836","215 / 1,000",14 / 51,Owned,,,48 hrs 28 mins,26 Dec 19,,14 Jan 23
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"1,594 / 1,786","925 / 1,000",49 / 50,Owned,,,,31 Dec 12,,07 Jan 23
Cooking Simulator,https://www.trueachievements.com/game/Cooking-Simulator/achievements,xbox-one,"18 / 3,303","10 / 1,000",1 / 33,Owned,Playing now,,13 mins,16 Dec 22,,16 Dec 22
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"143 / 3,511","100 / 1,000",4 / 47,Owned,,,,11 Dec 14,,03 Dec 22
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"670 / 2,549","435 / 1,000",25 / 44,Owned,,,161 hrs 2 mins,24 Dec 20,,30 Oct 22
PUBG: Battlegrounds,https://www.trueachievements.com/game/PlayerUnknowns-Battlegrounds/achievements,xbox-one,"1,515 / 3,280","670 / 1,000",25 / 37,Owned,,,160 hrs 6 mins,14 Oct 18,,11 Oct 22
FIFA 23,https://www.trueachievements.com/game/FIFA-23/achievements,xbox-series-x-s,"27 / 3,215","15 / 1,000",1 / 39,Owned,,,1 hr 24 mins,01 Oct 22,,01 Oct 22
Grand Theft Auto V,https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,xbox-series-x-s,"294 / 3,700","225 / 1,250",15 / 59,Owned,,,100 hrs 10 mins,21 Mar 22,,26 Sep 22
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,134 / 3,369","845 / 1,950",37 / 71,Owned,,,28 hrs 30 mins,10 Feb 18,,19 Aug 22
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"601 / 2,927","380 / 1,000",13 / 27,Owned,,,11 hrs 34 mins,01 Oct 21,,23 Jul 22
F1 2021,https://www.trueachievements.com/game/F1-2021/achievements,xbox-one,"257 / 3,022","170 / 1,000",10 / 50,Owned,,,11 hrs 5 mins,25 Dec 21,,18 Jul 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"55 / 2,661","50 / 1,000",5 / 34,Owned,,,3 hrs 34 mins,03 Jul 22,,03 Jul 22
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"1,174 / 1,797","800 / 1,000",10 / 11,Owned,,,75 hrs 29 mins,27 Dec 17,,14 Jun 22
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"126 / 5,942","100 / 1,000",5 / 35,Owned,,,4 hrs 2 mins,01 Mar 22,,01 Mar 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"652 / 2,551","410 / 1,000",17 / 44,Owned,,,42 hrs 4 mins,21 Nov 21,,01 Mar 22
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"57 / 2,883","40 / 1,000",3 / 61,Owned,,,3 hrs 20 mins,07 Mar 21,,23 Feb 22
MX vs. ATV Alive,https://www.trueachievements.com/game/MX-vs-ATV-Alive/achievements,xbox-360,"94 / 2,971","55 / 1,000",4 / 45,Owned,,,,25 Feb 17,,20 Feb 22
FIFA 22,https://www.trueachievements.com/game/FIFA-22/achievements,xbox-series-x-s,"134 / 3,748","75 / 1,000",4 / 37,Owned,,,28 hrs 11 mins,15 Dec 21,,16 Jan 22
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"55 / 3,394","30 / 1,000",2 / 37,Owned,,,22 hrs 33 mins,16 Dec 21,,27 Dec 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"30 / 4,355","25 / 1,000",2 / 34,Owned,,,4 hrs 42 mins,23 Nov 21,,23 Nov 21
FIFA 21,https://www.trueachievements.com/game/FIFA-21/achievements,xbox-series-x-s,"60 / 3,690","30 / 1,000",2 / 36,Owned,,,21 hrs 22 mins,31 Aug 21,,29 Oct 21
CarX Drift Racing Online,https://www.trueachievements.com/game/CarX-Drift-Racing-Online/achievements,xbox-one,"332 / 6,138","270 / 1,000",15 / 36,Owned,,,15 hrs 58 mins,01 Jun 21,,27 Oct 21
FIFA 21 (Xbox One),https://www.trueachievements.com/game/FIFA-21-Xbox-One/achievements,xbox-one,"54 / 2,892","30 / 1,000",2 / 36,Owned,,,14 hrs 2 mins,21 Aug 21,,21 Oct 21
F1 2020,https://www.trueachievements.com/game/F1-2020/achievements,xbox-one,"477 / 2,391","290 / 1,000",15 / 50,Owned,,,21 hrs 49 mins,24 Jul 20,,17 Oct 21
Battlefield V,https://www.trueachievements.com/game/Battlefield-V/achievements,xbox-one,"212 / 2,709","165 / 1,000",7 / 21,Owned,,,5 hrs 4 mins,11 Oct 21,,12 Oct 21
Enlisted,https://www.trueachievements.com/game/Enlisted/achievements,xbox-one,"327 / 5,899","200 / 1,000",4 / 13,Owned,,,45 mins,23 Sep 21,,23 Sep 21
