game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"5,005 / 25,468","2,210 / 6,990",249 / 699,Owned,,,636 hrs 27 mins,25 Dec 14,,03 Aug 22
Aragami 2,https://www.trueachievements.com/game/Aragami-2/achievements,xbox-one,"435 / 4,057","200 / 1,000",14 / 44,Owned,Playing now,,6 hrs 7 mins,09 May 22,,10 May 22
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"543 / 19,777","265 / 2,740",22 / 147,Owned,Playing now,,10 hrs 38 mins,06 Jul 20,,09 Apr 22
Dishonored Definitive Edition (Windows),https://www.trueachievements.com/game/Dishonored-Definitive-Edition-Windows/achievements,windows,"33 / 5,331","30 / 1,640",3 / 80,Owned,Playing now,,20 hrs 18 mins,11 Mar 22,,21 Mar 22
Dragon Ball FighterZ (Windows),https://www.trueachievements.com/game/DRAGON-BALL-FIGHTERZ-Windows/achievements,windows,"26 / 6,180","20 / 1,000",1 / 35,Owned,Playing now,,1 hr 15 mins,10 Mar 22,,10 Mar 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,990 / 3,769","1,130 / 1,600",92 / 119,Owned,Playing now,,171 hrs 31 mins,15 Nov 21,,08 Jan 22
Craftopia,https://www.trueachievements.com/game/Craftopia/achievements,xbox-one,"61 / 3,035","40 / 1,000",1 / 28,Owned,Playing now,,30 mins,18 Oct 21,,18 Oct 21
Hades,https://www.trueachievements.com/game/Hades/achievements,xbox-one,"203 / 2,458","155 / 1,000",6 / 49,Owned,Playing now,,71 hrs 7 mins,08 Sep 21,,25 Sep 21
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"326 / 1,971","225 / 1,000",5 / 19,Owned,Playing now,,6 hrs 10 mins,05 Jul 21,,06 Jul 21
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"316 / 2,482","250 / 1,000",23 / 65,Owned,,,25 hrs 58 mins,16 Feb 16,,12 May 21
Yakuza Kiwami 2 (Windows),https://www.trueachievements.com/game/Yakuza-Kiwami-2-Windows/achievements,windows,"47 / 2,292","45 / 1,000",3 / 59,Owned,Playing now,,29 hrs 58 mins,01 Nov 20,,21 Feb 21
Yakuza Kiwami (Windows),https://www.trueachievements.com/game/Yakuza-Kiwami-Windows/achievements,windows,"523 / 2,997","340 / 1,000",22 / 55,Owned,Playing now,,87 hrs 53 mins,03 Oct 20,,23 Oct 20
Touhou Luna Nights,https://www.trueachievements.com/game/Touhou-Luna-Nights/achievements,xbox-one,"634 / 3,584","290 / 1,000",9 / 21,Owned,Playing now,,6 hrs 3 mins,04 Sep 20,,30 Sep 20
Yakuza 0 (Windows),https://www.trueachievements.com/game/Yakuza-0-Windows/achievements,windows,"898 / 4,687","365 / 1,000",23 / 55,Owned,Playing now,,172 hrs 13 mins,05 Sep 20,,21 Sep 20
Metro 2033 Redux (Windows),https://www.trueachievements.com/game/Metro-2033-Redux-Windows/achievements,windows,"307 / 1,682","220 / 1,000",16 / 49,Owned,Playing now,,32 hrs 3 mins,04 Aug 20,,06 Aug 20
Halo Wars 2,https://www.trueachievements.com/game/Halo-Wars-2/achievements,xbox-one,"314 / 3,295","210 / 1,060",17 / 60,Owned,Playing now,,9 hrs 18 mins,23 Jul 20,,03 Aug 20
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"2,993 / 4,146","1,583 / 1,970",68 / 84,Owned,,,,09 Nov 12,,21 Aug 19
