game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"4,849 / 29,467","1,385 / 3,720",109 / 195,Owned,Playing now,,320 hrs 22 mins,05 Sep 21,,30 May 23
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"4,046 / 11,807","1,350 / 2,760",54 / 99,Owned,Playing now,,32 hrs 32 mins,12 Oct 21,,28 May 23
Golf With Your Friends (Windows),https://www.trueachievements.com/game/Golf-With-Your-Friends-Windows/achievements,windows,"72 / 3,094","50 / 1,000",4 / 36,Owned,Playing now,,1 hr 46 mins,21 May 23,,23 May 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"69 / 5,946","30 / 1,000",2 / 42,Owned,Playing now,,2 hrs 7 mins,30 Mar 23,,30 Mar 23
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"90 / 1,971","75 / 1,000",2 / 19,Owned,Playing now,,47 mins,29 Mar 23,,29 Mar 23
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"697 / 3,637","330 / 1,000",18 / 50,Owned,Playing now,,17 hrs 3 mins,03 Feb 23,,07 Mar 23
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"82 / 1,595",75 / 830,4 / 44,Owned,Playing now,,111 hrs 56 mins,03 Mar 23,,03 Mar 23
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"1,232 / 2,815","725 / 1,400",13 / 28,Owned,Playing now,,23 hrs 2 mins,15 Jan 23,,07 Feb 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"889 / 2,441","590 / 1,000",22 / 32,Owned,Playing now,,12 hrs 32 mins,06 Jan 23,,12 Jan 23
Fallout 76 (Windows),https://www.trueachievements.com/game/Fallout-76-Windows/achievements,windows,"2,536 / 5,065","820 / 1,255",41 / 60,Owned,Playing now,,133 hrs 33 mins,27 Oct 22,,06 Jan 23
Ori and the Will of the Wisps,https://www.trueachievements.com/game/Ori-and-the-Will-of-the-Wisps/achievements,xbox-one,"532 / 3,428","330 / 1,000",19 / 37,Owned,Playing now,,14 hrs 57 mins,18 Nov 22,,17 Dec 22
"Warhammer 40,000: Darktide (Windows)",https://www.trueachievements.com/game/Warhammer-40000-Darktide/achievements,windows,"10 / 12,565","10 / 1,000",1 / 36,Owned,Playing now,,1 hr 8 mins,13 Dec 22,,13 Dec 22
Resident Evil 5,https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,xbox-one,"979 / 3,650","585 / 1,400",34 / 70,Owned,Playing now,,26 hrs 0 mins,08 Dec 16,,26 Nov 22
TrueAchievements,https://www.trueachievements.com/game/TrueAchievements/achievements,xbox-one,0 / 0,0 / 0,2 / 20,Owned,Playing now,,2 mins,03 Aug 16,,16 Aug 22
Mortal Kombat 11,https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,xbox-one,"1,905 / 2,265","880 / 1,000",52 / 58,Owned,Playing now,,44 hrs 41 mins,24 May 22,,20 Jun 22
