game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
"Warhammer 40,000: Inquisitor - Martyr",https://www.trueachievements.com/game/Warhammer-40000-Inquisitor--Martyr/achievements,xbox-one,"210 / 2,933","140 / 1,000",11 / 57,Owned,Playing now,,11 hrs 30 mins,21 May 23,,05 Jun 23
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"73 / 5,942","60 / 1,000",3 / 35,Owned,Playing now,,1 hr 43 mins,27 Apr 23,,03 Jun 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"337 / 2,661","230 / 1,000",11 / 34,Owned,,,2 hrs 49 mins,22 Jun 22,,29 May 23
EA SPORTS PGA Tour,https://www.trueachievements.com/game/EA-Sports-PGA-Tour/achievements,xbox-series-x-s,"68 / 2,706","45 / 1,000",3 / 18,Owned,Playing now,,23 hrs 57 mins,29 Apr 23,,20 May 23
NHL 23,https://www.trueachievements.com/game/NHL-23/achievements,xbox-series-x-s,"49 / 4,399","30 / 1,000",2 / 48,Owned,Playing now,,1 hr 5 mins,10 May 23,,10 May 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"32 / 2,696","30 / 1,000",2 / 51,Owned,Playing now,,1 hr 8 mins,07 May 23,,07 May 23
Minion Masters,https://www.trueachievements.com/game/Minion-Masters/achievements,xbox-one,"587 / 2,250","405 / 1,000",16 / 38,Owned,,,16 hrs 51 mins,28 Jun 21,,30 Apr 23
Pac-Man Museum+,https://www.trueachievements.com/game/PacMan-Museum-Plus/achievements,xbox-one,"33 / 11,600","30 / 1,000",2 / 41,Owned,Playing now,,38 mins,28 Apr 23,,28 Apr 23
Ghostbusters: Spirits Unleashed,https://www.trueachievements.com/game/Ghostbusters-Spirits-Unleashed/achievements,xbox-one,"10 / 2,665","10 / 1,000",1 / 51,Owned,Playing now,,5 hrs 55 mins,22 Apr 23,,22 Apr 23
GRID Legends,https://www.trueachievements.com/game/GRID-Legends/achievements,xbox-one,"66 / 3,809","45 / 1,000",3 / 50,Owned,Playing now,,9 mins,21 Apr 23,,21 Apr 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"909 / 6,385","545 / 2,255",39 / 123,Owned,,,40 hrs 44 mins,04 Jan 22,,11 Apr 23
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"791 / 3,356","465 / 1,000",18 / 34,Owned,,,24 hrs 14 mins,29 Jul 22,,08 Apr 23
World of Tanks,https://www.trueachievements.com/game/World-of-Tanks/achievements,xbox-one,"608 / 5,889","320 / 1,905",26 / 108,Owned,,,11 hrs 42 mins,14 Dec 20,,01 Apr 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"978 / 1,991","610 / 1,000",30 / 45,Owned,Playing now,,89 hrs 50 mins,07 Feb 23,,30 Mar 23
