game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Ravenlok,https://www.trueachievements.com/game/Ravenlok/achievements,xbox-one,"204 / 1,787","140 / 1,000",16 / 50,Owned,Playing now,,3 hrs 42 mins,12 May 23,,13 May 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"142 / 4,974","90 / 1,000",4 / 30,Owned,Playing now,,3 hrs 48 mins,19 Apr 23,,07 May 23
Microsoft Sudoku (UWP),https://www.trueachievements.com/game/Microsoft-Sudoku/achievements,windows,"62 / 1,892","50 / 1,000",8 / 45,Owned,Playing now,,22 hrs 14 mins,30 Nov 22,,20 Apr 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"44 / 3,836","40 / 1,000",3 / 51,Owned,Playing now,,10 hrs 54 mins,17 May 20,,25 Mar 23
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"79 / 3,192","65 / 1,550",6 / 75,Owned,,,17 hrs 51 mins,25 Dec 17,,19 Mar 23
Burnout Paradise Remastered,https://www.trueachievements.com/game/Burnout-Paradise-Remastered/achievements,xbox-one,"10 / 6,216","10 / 1,000",1 / 56,Owned,Playing now,,22 mins,04 Mar 23,,04 Mar 23
Floppy Knights,https://www.trueachievements.com/game/Floppy-Knights/achievements,xbox-one,"53 / 2,961","50 / 1,000",1 / 18,Owned,Playing now,,22 mins,26 Feb 23,,26 Feb 23
Disney Dreamlight Valley,https://www.trueachievements.com/game/Disney-Dreamlight-Valley/achievements,xbox-one,"919 / 3,100","525 / 1,000",8 / 15,Owned,Playing now,,198 hrs 48 mins,17 Jan 23,,26 Feb 23
Darkest Dungeon,https://www.trueachievements.com/game/Darkest-Dungeon/achievements,xbox-one,"32 / 6,144","30 / 1,000",2 / 52,Owned,Playing now,,10 mins,26 Feb 23,,26 Feb 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 6,040","15 / 1,000",1 / 42,Owned,Playing now,,1 hr 5 mins,25 Feb 23,,25 Feb 23
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"445 / 1,818","330 / 1,000",13 / 24,Owned,Playing now,,10 hrs 13 mins,13 Jun 20,,16 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"25 / 4,489","25 / 1,000",2 / 44,Owned,Playing now,,12 mins,11 Feb 23,,11 Feb 23
Octopath Traveler,https://www.trueachievements.com/game/Octopath-Traveler/achievements,xbox-one,"22 / 6,354","15 / 1,000",3 / 88,Owned,Playing now,,1 hr 45 mins,11 Feb 23,,11 Feb 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"32 / 7,529","25 / 1,075",5 / 110,Owned,Playing now,,1 hr 25 mins,10 Feb 23,,10 Feb 23
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"249 / 17,784","165 / 5,000",20 / 500,Owned,Playing now,,11 hrs 51 mins,31 Dec 22,,17 Jan 23
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"499 / 5,961","240 / 1,000",10 / 35,Owned,Playing now,,10 hrs 21 mins,04 Jan 23,,08 Jan 23
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"105 / 2,020","95 / 1,000",5 / 39,Owned,Playing now,,16 hrs 17 mins,20 Dec 20,,30 Dec 22
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"119 / 2,012","95 / 1,000",6 / 50,Owned,,,,28 Nov 09,,28 Dec 22
Watch_Dogs 2,https://www.trueachievements.com/game/Watch-Dogs-2/achievements,xbox-one,"10 / 1,762","10 / 1,000",1 / 49,Owned,Playing now,,,27 Dec 22,,27 Dec 22
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"109 / 2,873","90 / 1,000",4 / 26,Owned,Playing now,,1 hr 34 mins,25 Dec 22,,25 Dec 22
Uno,https://www.trueachievements.com/game/Uno-Xbox-One/achievements,xbox-one,"715 / 1,916","500 / 1,000",9 / 12,Owned,Playing now,,11 hrs 41 mins,09 May 21,,25 Dec 22
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"15 / 1,938","15 / 1,000",1 / 49,Owned,Playing now,,43 mins,25 Dec 22,,25 Dec 22
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"1,542 / 6,354","665 / 1,850",32 / 76,Owned,Playing now,,304 hrs 59 mins,04 Aug 15,,24 Dec 22
Microsoft Wordament (Mobile),https://www.trueachievements.com/game/Microsoft-Wordament/achievements,ios,"264 / 2,022","235 / 1,000",8 / 25,Owned,Playing now,,3 hrs 52 mins,30 Nov 22,,10 Dec 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"58 / 2,799","50 / 1,000",2 / 30,Owned,Playing now,,1 hr 18 mins,22 Oct 22,,12 Nov 22
Madden NFL 22 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-22-Xbox-One/achievements,xbox-one,"186 / 1,997","125 / 1,000",1 / 16,Owned,Playing now,,3 hrs 2 mins,30 Apr 22,,30 Apr 22
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"5 / 12,839","5 / 1,000",1 / 43,Owned,Playing now,,30 mins,26 Mar 22,,26 Mar 22
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"3,529 / 7,671","1,375 / 2,520",65 / 108,Owned,Playing now,,638 hrs 28 mins,23 Sep 18,,20 Feb 22
LEGO Star Wars: The Complete Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-the-Complete-Saga/achievements,xbox-360,"1,574 / 1,881","900 / 1,000",41 / 42,Owned,,,,20 Feb 08,,18 Sep 21
Portal Knights,https://www.trueachievements.com/game/Portal-Knights/achievements,xbox-one,"47 / 4,889","45 / 1,000",3 / 29,Owned,Playing now,,24 mins,24 Jul 21,,24 Jul 21
Elite: Dangerous,https://www.trueachievements.com/game/Elite-Dangerous/achievements,xbox-one,"5 / 7,010","5 / 1,000",1 / 43,Owned,Playing now,,34 mins,21 Jul 21,,21 Jul 21
Dark Alliance,https://www.trueachievements.com/game/Dark-Alliance/achievements,xbox-one,"24 / 4,131","20 / 1,000",2 / 48,Owned,Playing now,,1 hr 30 mins,02 Jul 21,,02 Jul 21
LEGO Batman,https://www.trueachievements.com/game/LEGO-Batman/achievements,xbox-360,"1,284 / 1,626","820 / 1,000",40 / 46,Owned,,,,27 Sep 08,,06 Jun 21
Destroy All Humans!,https://www.trueachievements.com/game/Destroy-All-Humans/achievements,xbox-one,"189 / 2,449","150 / 1,000",10 / 40,Owned,Playing now,,50 mins,11 May 21,,11 May 21
Fable Anniversary,https://www.trueachievements.com/game/Fable-Anniversary/achievements,xbox-360,"129 / 2,086","100 / 1,000",5 / 50,Owned,Playing now,,,14 Aug 20,,13 Mar 21
We Happy Few,https://www.trueachievements.com/game/We-Happy-Few/achievements,xbox-one,"39 / 6,093","30 / 1,000",2 / 40,Owned,Playing now,,22 mins,05 Feb 21,,05 Feb 21
Donut County,https://www.trueachievements.com/game/Donut-County/achievements,xbox-one,"319 / 1,373","250 / 1,000",9 / 20,Owned,Playing now,,3 hrs 9 mins,22 Jan 21,,23 Jan 21
LEGO Star Wars III: The Clone Wars,https://www.trueachievements.com/game/LEGO-Star-Wars-3/achievements,xbox-360,"366 / 2,239","250 / 1,000",25 / 48,Owned,Playing now,,,10 Feb 19,,26 Dec 20
Terraria,https://www.trueachievements.com/game/Terraria/achievements,xbox-one,"6 / 3,262","5 / 1,000",1 / 30,Owned,Playing now,,27 mins,24 Dec 20,,24 Dec 20
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"594 / 4,442","425 / 2,070",26 / 91,Owned,Playing now,,42 hrs 17 mins,03 Mar 18,,19 Dec 20
Brütal Legend,https://www.trueachievements.com/game/Brutal-Legend/achievements,xbox-360,"66 / 2,893","60 / 1,000",4 / 50,Owned,Playing now,,,07 Nov 20,,15 Nov 20
Grim Fandango Remastered,https://www.trueachievements.com/game/Grim-Fandango-Remastered/achievements,xbox-one,"33 / 1,988","25 / 1,000",2 / 48,Owned,Playing now,,35 mins,14 Nov 20,,14 Nov 20
Day of the Tentacle Remastered,https://www.trueachievements.com/game/Day-of-the-Tentacle-Remastered/achievements,xbox-one,"10 / 1,430","10 / 1,000",1 / 58,Owned,Playing now,,30 mins,08 Nov 20,,08 Nov 20
Call of Cthulhu,https://www.trueachievements.com/game/Call-Of-Cthulhu/achievements,xbox-one,"79 / 2,056","60 / 1,000",4 / 49,Owned,Playing now,,1 hr 35 mins,12 Sep 20,,12 Sep 20
Dante's Inferno,https://www.trueachievements.com/game/Dantes-Inferno/achievements,xbox-360,"209 / 1,719","175 / 1,000",12 / 42,Owned,Playing now,,,04 Sep 19,,29 Aug 20
Disneyland Adventures,https://www.trueachievements.com/game/Disneyland-Adventures-Xbox-One/achievements,xbox-one,"308 / 4,322","150 / 1,000",10 / 49,Owned,Playing now,,43 mins,14 Jun 20,,15 Aug 20
Rare Replay,https://www.trueachievements.com/game/Rare-Replay/achievements,xbox-one,"119 / 27,522","80 / 4,000",4 / 200,Owned,Playing now,,54 mins,26 Jul 20,,08 Aug 20
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"58 / 2,000","45 / 1,000",2 / 30,Owned,Playing now,,,17 Jul 20,,17 Jul 20
Tracks - The Train Set Game,https://www.trueachievements.com/game/Tracks-The-Train-Set-Game/achievements,xbox-one,"102 / 1,229","100 / 1,000",1 / 10,Owned,Playing now,,,17 Jul 20,,17 Jul 20
Cities: Skylines,https://www.trueachievements.com/game/Cities-Skylines/achievements,xbox-one,"86 / 5,402","60 / 1,055",8 / 42,Owned,Playing now,,,07 Jun 20,,28 Jun 20
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"25 / 1,910","25 / 1,000",1 / 17,Owned,Playing now,,,27 Jun 20,,27 Jun 20
The Jackbox Party Pack 3,https://www.trueachievements.com/game/The-Jackbox-Party-Pack-3/achievements,xbox-one,"90 / 2,550","50 / 1,000",1 / 20,Owned,Playing now,,,22 Jun 20,,22 Jun 20
KINGDOM HEARTS III,https://www.trueachievements.com/game/Kingdom-Hearts-3/achievements,xbox-one,"151 / 2,991","110 / 1,000",9 / 45,Owned,Playing now,,12 hrs 47 mins,02 May 20,,06 Jun 20
My Time at Portia,https://www.trueachievements.com/game/My-Time-at-Portia/achievements,xbox-one,"15 / 3,407","15 / 1,000",1 / 30,Owned,Playing now,,,14 Feb 20,,14 Feb 20
Untitled Goose Game,https://www.trueachievements.com/game/Untitled-Goose-Game/achievements,xbox-one,"169 / 2,256","140 / 1,000",2 / 25,Owned,Playing now,,,17 Jan 20,,18 Jan 20
Zoo Tycoon: Ultimate Animal Collection,https://www.trueachievements.com/game/Zoo-Tycoon-Ultimate-Animal-Collection/achievements,xbox-one,"44 / 11,323","35 / 1,500",5 / 59,Owned,Playing now,,3 hrs 0 mins,22 Dec 19,,22 Dec 19
Friday the 13th: The Game,https://www.trueachievements.com/game/Friday-the-13th-The-Game/achievements,xbox-one,"208 / 8,245","110 / 1,000",11 / 52,Owned,Playing now,,29 hrs 17 mins,28 Apr 18,,04 Dec 19
Middle-earth: Shadow of Mordor - Game of the Year Edition,https://www.trueachievements.com/game/Middle-earth-Shadow-of-Mordor-Game-of-the-Year-Edition/achievements,xbox-one,"20 / 4,091","20 / 1,680",1 / 74,Owned,Playing now,,1 hr 13 mins,23 Nov 19,,23 Nov 19
