game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
State of Decay,https://www.trueachievements.com/game/State-of-Decay/achievements,xbox-360,25 / 633,25 / 400,3 / 30,Owned,,,,24 Jun 13,,30 Jun 13
Borderlands 2 (Xbox 360),https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,xbox-360,"1,047 / 2,794","780 / 1,625",34 / 69,Owned,,,,21 Sep 12,,27 Jun 13
NHL 13,https://www.trueachievements.com/game/NHL-13/achievements,xbox-360,"84 / 3,533","70 / 1,000",3 / 47,Owned,,,,14 May 13,,19 Jun 13
Karaoke,https://www.trueachievements.com/game/Karaoke/achievements,xbox-360,"224 / 1,409",100 / 400,9 / 30,Owned,,,,28 Dec 12,,25 May 13
Dead Island Riptide (Xbox 360),https://www.trueachievements.com/game/Dead-Island-Riptide-Xbox-360/achievements,xbox-360,"365 / 2,016","270 / 1,000",15 / 35,Owned,,,,15 May 13,,22 May 13
Tales of Vesperia (EU),https://www.trueachievements.com/game/Tales-of-Vesperia-European/achievements,xbox-360,"16 / 2,003","15 / 1,000",2 / 50,Owned,,,,11 May 13,,17 May 13
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"1,026 / 1,927","770 / 1,250",41 / 60,Owned,,,,10 Nov 11,,06 May 13
Assassin's Creed III,https://www.trueachievements.com/game/Assassins-Creed-III/achievements,xbox-360,"275 / 2,011","230 / 1,000",12 / 50,Owned,,,,09 Apr 13,,17 Apr 13
The Walking Dead (Xbox 360),https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,xbox-360,41 / 110,40 / 100,4 / 8,Owned,,,,21 Jan 13,,01 Feb 13
Dishonored,https://www.trueachievements.com/game/Dishonored/achievements,xbox-360,"476 / 2,455","300 / 1,000",17 / 50,Owned,,,,09 Jan 13,,20 Jan 13
XCOM: Enemy Unknown,https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,xbox-360,"480 / 4,104","305 / 1,000",26 / 50,Owned,,,,04 Jan 13,,09 Jan 13
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"772 / 1,425","630 / 1,000",29 / 50,Owned,,,,24 Dec 12,,04 Jan 13
Sleeping Dogs,https://www.trueachievements.com/game/Sleeping-Dogs/achievements,xbox-360,"508 / 1,914","375 / 1,000",22 / 50,Owned,,,,12 Dec 12,,24 Dec 12
Voice Studio,https://www.trueachievements.com/game/Voice-Studio/achievements,xbox-360,64 / 64,50 / 50,4 / 4,Owned,,,,12 Dec 12,12 Dec 12,12 Dec 12
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"534 / 1,676","390 / 1,000",20 / 50,Owned,,,,23 Apr 09,,22 Nov 12
