game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Car Mechanic Simulator 2021,https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,xbox-one,"139 / 3,727","105 / 1,000",7 / 46,Owned,Playing now,,11 hrs 8 mins,01 Jun 23,,02 Jun 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"4,020 / 6,425","1,665 / 2,265",89 / 124,Owned,,,496 hrs 17 mins,05 Nov 21,,23 May 23
Tom Clancy's The Division 2,https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,xbox-one,"97 / 2,279","80 / 1,010",6 / 43,Owned,Playing now,,3 hrs 51 mins,21 May 23,,22 May 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"360 / 1,487","285 / 1,000",16 / 48,Owned,,,10 hrs 26 mins,30 Jan 22,,20 May 23
CarX Drift Racing Online,https://www.trueachievements.com/game/CarX-Drift-Racing-Online/achievements,xbox-one,"838 / 6,114","420 / 1,000",23 / 36,Owned,,,145 hrs 36 mins,23 Jan 21,,12 May 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"737 / 2,751","445 / 1,150",23 / 69,Owned,,,176 hrs 6 mins,16 Aug 17,,10 May 23
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"541 / 3,271","255 / 1,000",14 / 50,Owned,Playing now,,33 hrs 38 mins,02 Mar 23,,08 May 23
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"346 / 1,942","265 / 1,000",11 / 29,Owned,Playing now,,1 hr 0 mins,03 May 23,,03 May 23
Need for Speed,https://www.trueachievements.com/game/Need-for-Speed/achievements,xbox-one,"1,405 / 3,606","725 / 1,480",24 / 36,Owned,Playing now,,,28 Apr 23,,02 May 23
Disneyland Adventures,https://www.trueachievements.com/game/Disneyland-Adventures-Xbox-One/achievements,xbox-one,"58 / 4,321","50 / 1,000",4 / 49,Owned,Playing now,,30 mins,24 Apr 23,,24 Apr 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"72 / 4,927","50 / 1,000",3 / 30,Owned,Playing now,,1 hr 39 mins,23 Apr 23,,23 Apr 23
WWE 2K23,https://www.trueachievements.com/game/WWE-2K23/achievements,xbox-series-x-s,"32 / 2,851","15 / 1,000",1 / 63,Owned,Playing now,,18 hrs 9 mins,03 Apr 23,,03 Apr 23
Rush: A Disney Pixar Adventure,https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,xbox-one,"100 / 3,362","80 / 1,000",5 / 50,Owned,Playing now,,32 mins,25 Mar 23,,25 Mar 23
Construction Simulator,https://www.trueachievements.com/game/Construction-Simulator/achievements,xbox-one,"195 / 6,169","120 / 1,000",6 / 33,Owned,,,34 hrs 0 mins,01 Oct 22,,28 Feb 23
World of Tanks,https://www.trueachievements.com/game/World-of-Tanks/achievements,xbox-one,"837 / 6,427","415 / 1,935",35 / 110,Owned,,,22 hrs 24 mins,28 Nov 17,,26 Feb 23
LEGO DC Super-Villains,https://www.trueachievements.com/game/LEGO-DC-SuperVillains/achievements,xbox-one,"43 / 2,076","40 / 1,000",3 / 45,Owned,Playing now,,1 hr 28 mins,24 Feb 23,,25 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"369 / 4,589","215 / 1,045",16 / 47,Owned,Playing now,,3 hrs 48 mins,12 Feb 23,,13 Feb 23
Totally Reliable Delivery Service,https://www.trueachievements.com/game/Totally-Reliable-Delivery-Service/achievements,xbox-one,"239 / 4,187","150 / 1,000",4 / 25,Owned,,,49 mins,01 Jul 20,,01 Feb 23
Taiko no Tatsujin: The Drum Master!,https://www.trueachievements.com/game/Taiko-no-Tatsujin-The-Drum-Master/achievements,xbox-one,"211 / 5,310","140 / 1,000",25 / 89,Owned,Playing now,,5 hrs 44 mins,07 Jan 23,,01 Feb 23
Yakuza 0,https://www.trueachievements.com/game/Yakuza-0/achievements,xbox-one,"15 / 4,694","15 / 1,000",1 / 55,Owned,Playing now,,1 hr 16 mins,25 Jan 23,,25 Jan 23
Naraka: Bladepoint,https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,xbox-one,"160 / 4,822","120 / 1,000",7 / 40,Owned,Playing now,,6 hrs 15 mins,22 Jan 23,,24 Jan 23
DiRT Rally 2.0,https://www.trueachievements.com/game/DiRT-RALLY-20/achievements,xbox-one,"188 / 3,605","115 / 1,000",6 / 50,Owned,Playing now,,7 hrs 3 mins,16 Jan 23,,21 Jan 23
Surgeon Simulator 2,https://www.trueachievements.com/game/Surgeon-Simulator-2/achievements,xbox-one,"263 / 15,412","170 / 1,000",8 / 30,Owned,Playing now,,1 hr 15 mins,18 Jan 23,,18 Jan 23
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"27 / 1,971","25 / 1,000",1 / 19,Owned,Playing now,,40 mins,18 Jan 23,,18 Jan 23
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"117 / 1,736","100 / 1,000",2 / 14,Owned,Playing now,,5 hrs 5 mins,16 Jan 23,,16 Jan 23
Farming Simulator 22,https://www.trueachievements.com/game/Farming-Simulator-22/achievements,xbox-one,"233 / 3,389","120 / 1,000",8 / 45,Owned,Playing now,,37 hrs 14 mins,08 Jan 23,,15 Jan 23
Train Sim World 3,https://www.trueachievements.com/game/Train-Sim-World-3/achievements,xbox-one,"117 / 3,431","80 / 1,000",4 / 14,Owned,Playing now,,1 hr 55 mins,08 Jan 23,,09 Jan 23
