game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"363 / 1,430","300 / 1,000",4 / 12,Owned,Playing now,,5 hrs 47 mins,13 May 23,,23 May 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"127 / 2,661","110 / 1,000",11 / 34,Owned,Playing now,,3 hrs 39 mins,21 Sep 22,,23 May 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"23 / 4,974","20 / 1,000",2 / 30,Owned,Playing now,,1 hr 30 mins,21 Apr 23,,21 Apr 23
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"1,314 / 2,051","880 / 1,240",13 / 23,Owned,Playing now,,184 hrs 25 mins,06 Sep 17,,19 Mar 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"70 / 7,529","40 / 1,075",8 / 110,Owned,Playing now,,4 hrs 32 mins,06 Feb 23,,13 Feb 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"1,707 / 17,818","685 / 2,365",51 / 130,Owned,Playing now,,210 hrs 7 mins,31 Mar 18,,31 Dec 22
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"79 / 2,376","70 / 1,000",4 / 50,Owned,Playing now,,2 hrs 20 mins,31 Dec 22,,31 Dec 22
Deep Rock Galactic,https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,xbox-one,"25 / 4,806","25 / 1,000",1 / 67,Owned,Playing now,,19 mins,23 Dec 22,,23 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"135 / 2,441","120 / 1,000",6 / 32,Owned,Playing now,,2 hrs 36 mins,18 Dec 22,,19 Dec 22
Sonic Frontiers,https://www.trueachievements.com/game/Sonic-Frontiers/achievements,xbox-one,"102 / 1,646","95 / 1,000",5 / 40,Owned,Playing now,,2 hrs 23 mins,14 Nov 22,,17 Nov 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,055 / 2,374","595 / 1,090",33 / 65,Owned,Playing now,,252 hrs 51 mins,28 May 16,,28 Oct 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"15 / 5,210","15 / 1,000",1 / 28,Owned,Playing now,,48 mins,29 Aug 22,,29 Aug 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,380 / 3,769","865 / 1,600",74 / 119,Owned,Playing now,,163 hrs 54 mins,17 Dec 21,,05 Jun 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"20 / 2,514","20 / 1,000",2 / 53,Owned,Playing now,,1 hr 8 mins,30 Apr 22,,07 May 22
Elden Ring,https://www.trueachievements.com/game/Elden-Ring/achievements,xbox-one,"436 / 1,529","360 / 1,000",20 / 42,Owned,Playing now,,76 hrs 9 mins,11 Mar 22,,29 Mar 22
Enter the Gungeon,https://www.trueachievements.com/game/Enter-the-Gungeon/achievements,xbox-one,"121 / 4,686","45 / 1,000",2 / 51,Owned,Playing now,,1 hr 59 mins,17 Dec 21,,15 Mar 22
Exo One,https://www.trueachievements.com/game/Exo-One/achievements,xbox-one,"79 / 5,812","45 / 1,000",2 / 28,Owned,Playing now,,3 hrs 6 mins,17 Dec 21,,14 Feb 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"319 / 3,710","265 / 1,750",19 / 79,Owned,Playing now,,23 hrs 32 mins,17 Dec 21,,01 Feb 22
Astroneer,https://www.trueachievements.com/game/Astroneer/achievements,xbox-one,"44 / 3,619","30 / 1,000",3 / 54,Owned,Playing now,,30 mins,03 Jan 22,,03 Jan 22
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"782 / 1,818","550 / 1,000",16 / 24,Owned,Playing now,,8 hrs 55 mins,29 Dec 21,,02 Jan 22
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"15 / 3,358","15 / 1,000",1 / 34,Owned,Playing now,,41 mins,20 Dec 21,,20 Dec 21
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"620 / 16,595","395 / 4,500",49 / 450,Owned,,,35 hrs 8 mins,16 Nov 14,,16 Jan 21
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"1,455 / 4,432","780 / 1,880",41 / 83,Owned,Playing now,,122 hrs 36 mins,14 Oct 18,,12 Nov 20
Minecraft (iOS),https://www.trueachievements.com/game/Minecraft-Pocket-Edition-iOS/achievements,ios,"52 / 2,989","40 / 1,110",3 / 56,Owned,Playing now,,2 hrs 24 mins,04 Mar 19,,06 Mar 19
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"38 / 3,836","35 / 1,000",3 / 51,Owned,Playing now,,13 hrs 32 mins,04 Nov 18,,09 Dec 18
SUPERHOT,https://www.trueachievements.com/game/Superhot/achievements,xbox-one,"34 / 5,717","25 / 1,000",2 / 25,Owned,Playing now,,8 mins,09 Jun 18,,09 Jun 18
Sunset Overdrive,https://www.trueachievements.com/game/Sunset-Overdrive/achievements,xbox-one,"808 / 2,689","505 / 1,000",26 / 64,Owned,Playing now,,15 hrs 54 mins,25 Jan 18,,24 Feb 18
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"746 / 4,297","445 / 1,500",15 / 40,Owned,Playing now,,171 hrs 26 mins,21 Oct 16,,20 Dec 17
Cuphead,https://www.trueachievements.com/game/Cuphead/achievements,xbox-one,"138 / 2,657","115 / 1,000",6 / 28,Owned,Playing now,,8 hrs 24 mins,30 Sep 17,,01 Oct 17
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"20 / 2,362","20 / 1,000",1 / 39,Owned,Playing now,,31 mins,20 Aug 17,,20 Aug 17
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"10 / 1,425","10 / 1,000",1 / 50,Owned,Playing now,,,14 Aug 17,,14 Aug 17
Slime Rancher,https://www.trueachievements.com/game/Slime-Rancher/achievements,xbox-one,"411 / 2,475","290 / 1,000",22 / 57,Owned,Playing now,,12 hrs 34 mins,05 Aug 17,,11 Aug 17
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"813 / 2,635","410 / 1,000",27 / 54,Owned,Playing now,,158 hrs 38 mins,15 Feb 17,,25 Jun 17
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"525 / 2,482","370 / 1,000",30 / 65,Owned,Playing now,,108 hrs 23 mins,28 Oct 15,,04 Jun 17
Metal Gear Solid V: Ground Zeroes,https://www.trueachievements.com/game/Metal-Gear-Solid-V-Ground-Zeroes/achievements,xbox-one,"187 / 3,140","150 / 1,000",3 / 15,Owned,Playing now,,3 hrs 10 mins,12 Mar 17,,12 Mar 17
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"57 / 1,898","45 / 1,000",3 / 50,Owned,Playing now,,8 hrs 47 mins,07 Jan 17,,11 Jan 17
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"1,671 / 2,480","1,185 / 1,500",51 / 60,Owned,,,1419 hrs 20 mins,10 Sep 14,,23 Dec 16
YouTube,https://www.trueachievements.com/game/YouTube/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,6 hrs 19 mins,14 Nov 16,,14 Nov 16
NFL on Xbox One,https://www.trueachievements.com/game/NFL/achievements,xbox-one,0 / 0,0 / 0,2 / 8,Owned,,,36 mins,14 Nov 16,,14 Nov 16
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"808 / 1,837","545 / 1,000",33 / 50,Owned,Playing now,,61 hrs 51 mins,09 Mar 16,,26 Mar 16
Make It Rain: The Love of Money (WP),https://www.trueachievements.com/game/Make-It-Rain-The-Love-of-Money/achievements,windows-phone,77 / 320,65 / 200,11 / 20,Owned,,,,21 Feb 15,,09 Mar 16
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"20 / 1,560","20 / 1,000",2 / 44,Owned,Playing now,,24 mins,27 Feb 16,,27 Feb 16
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"730 / 1,751","480 / 1,000",25 / 50,Owned,Playing now,,54 hrs 50 mins,16 Nov 15,,06 Dec 15
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,Playing now,,5 hrs 33 mins,29 Nov 15,,29 Nov 15
Comedy Central,https://www.trueachievements.com/game/Comedy-Central/achievements,xbox-one,0 / 0,0 / 0,5 / 10,Owned,,,8 hrs 5 mins,11 Nov 14,,28 Nov 15
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"18 / 1,786","15 / 1,000",2 / 50,Owned,,,,28 Jul 13,,01 Nov 15
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"1,701 / 2,815","995 / 1,500",47 / 67,Owned,,,,13 Nov 12,,13 Aug 15
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"100 / 1,747","95 / 1,000",8 / 50,Owned,,,4 hrs 29 mins,21 Dec 14,,10 Aug 15
Minecraft: Xbox 360 Edition,https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,xbox-360,505 / 505,400 / 400,20 / 20,Owned,,,,10 May 12,29 Apr 14,10 Aug 15
Contre Jour (WP),https://www.trueachievements.com/game/Contre-Jour/achievements,windows-phone,54 / 359,45 / 200,4 / 14,Owned,,,,16 Nov 13,,04 Aug 15
Bad Piggies (WP),https://www.trueachievements.com/game/Bad-Piggies/achievements,windows-phone,28 / 534,20 / 200,2 / 20,Owned,,,,01 Jan 15,,21 Jul 15
Movies & TV,https://www.trueachievements.com/game/Movies-and-TV/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,,,6 hrs 14 mins,28 Dec 13,,18 Jul 15
Rayman Jungle Run (Windows),https://www.trueachievements.com/game/Rayman-Jungle-Run/achievements,windows,264 / 557,145 / 200,15 / 18,Owned,Playing now,,,20 Oct 13,,11 Jul 15
