game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,487 / 1,487","1,000 / 1,000",48 / 48,Owned,Playing now,,409 hrs 29 mins,26 Dec 15,26 Apr 20,26 Apr 20
Titanfall,https://www.trueachievements.com/game/Titanfall/achievements,xbox-one,"607 / 5,137","385 / 1,800",18 / 76,Owned,Playing now,,9 hrs 23 mins,26 Sep 16,,27 Sep 16
FIFA 17,https://www.trueachievements.com/game/FIFA-17/achievements,xbox-one,"194 / 2,215","135 / 1,000",8 / 44,Owned,Playing now,,7 hrs 34 mins,24 Sep 16,,24 Sep 16
Battleship,https://www.trueachievements.com/game/Battleship-Xbox-One/achievements,xbox-one,"937 / 1,939","580 / 1,000",9 / 15,Owned,Playing now,,4 hrs 11 mins,03 Sep 16,,23 Sep 16
Valiant Hearts: The Great War,https://www.trueachievements.com/game/Valiant-Hearts-The-Great-War/achievements,xbox-one,"1,691 / 1,691","1,000 / 1,000",20 / 20,Owned,Playing now,,7 hrs 30 mins,01 Oct 15,20 Sep 16,20 Sep 16
Star Trek Online,https://www.trueachievements.com/game/Star-Trek-Online/achievements,xbox-one,"10 / 4,479","10 / 1,000",1 / 36,Owned,Playing now,,1 hr 56 mins,19 Sep 16,,19 Sep 16
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,891 / 1,951","1,180 / 1,200",51 / 52,Owned,Playing now,,213 hrs 23 mins,04 Mar 16,,18 Sep 16
Defense Grid: The Awakening,https://www.trueachievements.com/game/Defense-Grid/achievements,xbox-360,71 / 484,60 / 200,5 / 12,Owned,,,,10 Jul 13,,18 Sep 16
Defense Grid 2,https://www.trueachievements.com/game/Defense-Grid-2/achievements,xbox-one,"1,508 / 2,277","780 / 1,000",54 / 65,Owned,Playing now,,12 hrs 52 mins,01 May 16,,18 Sep 16
Costume Quest 2,https://www.trueachievements.com/game/Costume-Quest-2/achievements,xbox-one,"1,056 / 1,403","800 / 1,000",15 / 18,Owned,Playing now,,20 hrs 11 mins,16 May 16,,17 Sep 16
LIMBO,https://www.trueachievements.com/game/LIMBO/achievements,xbox-one,"1,565 / 2,179","900 / 1,000",12 / 13,Owned,Playing now,,5 hrs 5 mins,18 Jun 16,,14 Sep 16
Dragon Ball XenoVerse,https://www.trueachievements.com/game/Dragon-Ball-XenoVerse/achievements,xbox-one,"2,447 / 2,447","1,000 / 1,000",50 / 50,Owned,,,130 hrs 35 mins,27 Feb 15,14 Sep 16,14 Sep 16
NBA 2K17: The Prelude,https://www.trueachievements.com/game/NBA-2K17-The-Prelude/achievements,xbox-one,"1,267 / 1,267","1,000 / 1,000",10 / 10,Owned,Playing now,,1 hr 39 mins,11 Sep 16,11 Sep 16,11 Sep 16
Geometry Wars³: Dimensions Evolved,https://www.trueachievements.com/game/Geometry-Wars-3-Dimensions/achievements,xbox-one,"145 / 3,460","105 / 1,000",4 / 30,Owned,Playing now,,1 hr 32 mins,05 Sep 16,,07 Sep 16
The Witcher 3: Wild Hunt,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,xbox-one,"1,840 / 4,237","1,070 / 1,950",46 / 77,Owned,,,154 hrs 36 mins,26 May 15,,07 Sep 16
Earthlock: Festival of Magic,https://www.trueachievements.com/game/Earthlock-Festival-of-Magic/achievements,xbox-one,"21 / 3,239","20 / 1,000",2 / 25,Owned,Playing now,,1 hr 30 mins,04 Sep 16,,05 Sep 16
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"479 / 1,676","350 / 1,000",18 / 50,Owned,Playing now,,,22 Nov 15,,04 Sep 16
Plague Inc: Evolved,https://www.trueachievements.com/game/Plague-Inc-Evolved/achievements,xbox-one,"605 / 5,142","320 / 1,250",41 / 127,Owned,Playing now,,15 hrs 58 mins,03 Oct 15,,01 Sep 16
"I, Zombie",https://www.trueachievements.com/game/I-Zombie/achievements,xbox-one,"1,343 / 1,343","1,000 / 1,000",12 / 12,Owned,Playing now,,,01 Sep 16,01 Sep 16,01 Sep 16
Mystery Castle,https://www.trueachievements.com/game/Mystery-Castle/achievements,xbox-one,"1,367 / 1,367","1,000 / 1,000",25 / 25,Owned,Playing now,,,05 Jun 16,31 Aug 16,31 Aug 16
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"1,736 / 2,345","915 / 1,180",47 / 56,Owned,,,35 hrs 32 mins,20 Nov 14,,30 Aug 16
Uno,https://www.trueachievements.com/game/Uno-Xbox-One/achievements,xbox-one,"1,916 / 1,916","1,000 / 1,000",12 / 12,Owned,Playing now,,53 hrs 28 mins,25 Aug 16,29 Aug 16,29 Aug 16
Prominence Poker,https://www.trueachievements.com/game/Prominence-Poker/achievements,xbox-one,"185 / 5,017","155 / 1,000",6 / 34,Owned,Playing now,,2 hrs 42 mins,22 Aug 16,,22 Aug 16
Dead Rising 3,https://www.trueachievements.com/game/Dead-Rising-3/achievements,xbox-one,"1,635 / 2,334","955 / 1,180",58 / 70,Owned,,,67 hrs 9 mins,09 May 14,,21 Aug 16
Resident Evil 5,https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,xbox-one,"3,037 / 3,650","1,295 / 1,400",65 / 70,Owned,Playing now,,73 hrs 38 mins,29 Jun 16,,20 Aug 16
Happy Dungeons,https://www.trueachievements.com/game/Happy-Dungeons/achievements,xbox-one,"1,700 / 4,449","615 / 1,000",24 / 32,Owned,Playing now,,53 hrs 23 mins,10 Aug 16,,18 Aug 16
Payday 2: Crimewave Edition,https://www.trueachievements.com/game/Payday-2-Crimewave-Edition/achievements,xbox-one,"1,246 / 6,722","320 / 1,000",20 / 42,Owned,Playing now,,115 hrs 5 mins,12 May 16,,16 Aug 16
Ben-Hur,https://www.trueachievements.com/game/Ben-Hur/achievements,xbox-one,"1,294 / 1,294","1,000 / 1,000",10 / 10,Owned,Playing now,,1 hr 3 mins,09 Aug 16,09 Aug 16,09 Aug 16
Happy Wars,https://www.trueachievements.com/game/Happy-Wars/achievements,xbox-one,"1,243 / 4,274","490 / 1,000",26 / 41,Owned,,,26 hrs 29 mins,25 Apr 15,,08 Aug 16
Dead Island: Riptide Definitive Edition,https://www.trueachievements.com/game/Dead-Island-Riptide/achievements,xbox-one,"2,075 / 2,886","745 / 1,000",29 / 35,Owned,Playing now,,15 hrs 47 mins,17 Jul 16,,07 Aug 16
Warriors Orochi 3 Ultimate,https://www.trueachievements.com/game/Warriors-Orochi-3-Ultimate/achievements,xbox-one,"64 / 8,895","30 / 1,000",3 / 44,Owned,Playing now,,11 hrs 54 mins,02 Aug 16,,02 Aug 16
Tumblestone,https://www.trueachievements.com/game/Tumblestone/achievements,xbox-one,"281 / 4,320","125 / 1,000",3 / 22,Owned,Playing now,,4 hrs 35 mins,17 Jul 16,,22 Jul 16
Dead Island Retro Revenge,https://www.trueachievements.com/game/Dead-Island-Retro-Revenge/achievements,xbox-one,"575 / 4,547","350 / 1,000",7 / 13,Owned,Playing now,,1 hr 38 mins,16 Jul 16,,20 Jul 16
Crimson Dragon,https://www.trueachievements.com/game/Crimson-Dragon-Xbox-One/achievements,xbox-one,"2,230 / 3,749","915 / 1,150",33 / 39,Owned,,,12 hrs 15 mins,05 Aug 14,,20 Jul 16
Gems of War,https://www.trueachievements.com/game/Gems-of-War/achievements,xbox-one,"1,223 / 1,659","800 / 1,000",16 / 18,Owned,Playing now,,40 hrs 11 mins,11 Nov 15,,19 Jul 16
The Crew,https://www.trueachievements.com/game/The-Crew/achievements,xbox-one,"1,194 / 5,417","455 / 1,000",30 / 50,Owned,Playing now,,89 hrs 38 mins,16 Jun 16,,17 Jul 16
Dead Island Definitive Edition,https://www.trueachievements.com/game/Dead-Island/achievements,xbox-one,"2,646 / 2,958","940 / 1,000",54 / 58,Owned,Playing now,,95 hrs 27 mins,01 Jun 16,,16 Jul 16
The Elder Scrolls Online,https://www.trueachievements.com/game/The-Elder-Scrolls-Online-Tamriel-Unlimited/achievements,xbox-one,"635 / 6,724","205 / 1,000",19 / 45,Owned,Playing now,,,12 Jun 15,,06 Jul 16
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"1,901 / 2,360","1,035 / 1,150",52 / 55,Owned,Playing now,,358 hrs 28 mins,11 Mar 16,,03 Jul 16
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"2,001 / 2,156","955 / 1,000",31 / 33,Owned,Playing now,,28 hrs 45 mins,16 May 16,,12 Jun 16
Dark Souls III,https://www.trueachievements.com/game/Dark-Souls-III/achievements,xbox-one,"1,004 / 1,908","700 / 1,000",35 / 43,Owned,Playing now,,90 hrs 30 mins,11 Apr 16,,09 Jun 16
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"212 / 2,002","120 / 1,000",6 / 30,Owned,Playing now,,2 hrs 4 mins,01 Jun 16,,01 Jun 16
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"2,483 / 4,530","1,050 / 1,405",56 / 67,Owned,Playing now,,867 hrs 7 mins,06 Nov 15,,26 May 16
Battleborn,https://www.trueachievements.com/game/Battleborn/achievements,xbox-one,"282 / 3,664","205 / 1,000",14 / 50,Owned,Playing now,,36 hrs 50 mins,10 May 16,,21 May 16
Enigmatis: The Ghosts of Maple Creek,https://www.trueachievements.com/game/Enigmatis-The-Ghosts-of-Maple-Creek/achievements,xbox-one,"561 / 1,233","500 / 1,000",7 / 11,Owned,Playing now,,3 hrs 13 mins,13 May 16,,14 May 16
The Park,https://www.trueachievements.com/game/The-Park/achievements,xbox-one,"1,038 / 1,038","1,000 / 1,000",14 / 14,Owned,Playing now,,1 hr 27 mins,05 May 16,05 May 16,05 May 16
Brick Breaker (Xbox One),https://www.trueachievements.com/game/Brick-Breaker-Xbox-One/achievements,xbox-one,"1,111 / 9,390","450 / 1,000",9 / 20,Owned,Playing now,,10 hrs 45 mins,28 Apr 16,,01 May 16
FIFA 16,https://www.trueachievements.com/game/FIFA-16/achievements,xbox-one,"844 / 2,170","450 / 1,000",24 / 48,Owned,Playing now,,147 hrs 25 mins,22 Dec 15,,30 Apr 16
Battlefield Hardline,https://www.trueachievements.com/game/Battlefield-Hardline/achievements,xbox-one,"422 / 2,347","330 / 1,000",15 / 40,Owned,Playing now,,21 hrs 8 mins,28 Apr 16,,29 Apr 16
Battle Ages,https://www.trueachievements.com/game/Battle-Ages/achievements,xbox-one,"25 / 2,261","25 / 1,000",1 / 14,Owned,Playing now,,20 hrs 29 mins,25 Apr 16,,25 Apr 16
Gears of War: Judgment,https://www.trueachievements.com/game/Gears-of-War-Judgment/achievements,xbox-360,"3,454 / 4,396","1,295 / 1,500",65 / 70,Owned,,,,22 Mar 13,,24 Apr 16
Dark Souls,https://www.trueachievements.com/game/Dark-Souls/achievements,xbox-360,"1,379 / 2,510","645 / 1,000",25 / 41,Owned,,,,11 Jan 12,,21 Apr 16
Resident Evil Revelations 2,https://www.trueachievements.com/game/Resident-Evil-Revelations-2/achievements,xbox-one,"624 / 7,446","400 / 1,960",13 / 43,Owned,Playing now,,37 hrs 34 mins,01 Apr 16,,07 Apr 16
Resident Evil 6,https://www.trueachievements.com/game/Resident-Evil-6/achievements,xbox-one,"1,968 / 5,879","805 / 1,500",43 / 70,Owned,Playing now,,62 hrs 32 mins,29 Mar 16,,29 Mar 16
