game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"816 / 2,988","496 / 1,000",15 / 27,Owned,Playing now,,,20 Jan 21,,17 Feb 21
Tetris Effect: Connected,https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,xbox-one,"870 / 6,777","380 / 1,000",20 / 42,Owned,Playing now,,18 hrs 40 mins,06 Dec 20,,22 Jan 21
DOOM Eternal (Windows),https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,windows,"1,631 / 3,463","735 / 1,000",20 / 33,Owned,Playing now,,,14 Dec 20,,16 Jan 21
A Plague Tale: Innocence (Windows),https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,windows,"799 / 1,876","535 / 1,000",24 / 35,Owned,Playing now,,,23 Aug 20,,02 Sep 20
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"100 / 6,578","80 / 1,000",10 / 60,Owned,Playing now,,,08 Jan 19,,16 Jan 19
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"113 / 2,785","65 / 1,000",5 / 40,Owned,Playing now,,16 hrs 31 mins,07 Jan 17,,15 Jan 17
Dark Souls (GFWL),https://www.trueachievements.com/game/Dark-Souls-PC/achievements,games-for-windows-live,"514 / 2,691","295 / 1,000",15 / 41,Owned,,,,23 Apr 13,,15 Dec 14
Super Street Fighter IV Arcade Edition (GFWL),https://www.trueachievements.com/game/Super-Street-Fighter-4-Arcade-Edition-PC/achievements,games-for-windows-live,"773 / 4,761","360 / 1,160",20 / 58,Owned,,,,14 Jul 12,,24 May 14
BioShock,https://www.trueachievements.com/game/BioShock/achievements,xbox-360,"903 / 1,507","690 / 1,000",40 / 50,Owned,,,,14 Mar 14,,14 Mar 14
The Darkness,https://www.trueachievements.com/game/The-Darkness/achievements,xbox-360,"154 / 2,356","130 / 1,000",10 / 50,Owned,,,,14 Mar 14,,14 Mar 14
Test Drive Unlimited,https://www.trueachievements.com/game/Test-Drive-Unlimited/achievements,xbox-360,"21 / 1,954","20 / 1,000",1 / 46,Owned,,,,14 Mar 14,,14 Mar 14
Assassin's Creed,https://www.trueachievements.com/game/Assassins-Creed/achievements,xbox-360,"279 / 1,592","240 / 1,000",13 / 44,Owned,,,,14 Mar 14,,14 Mar 14
Forza Motorsport 2,https://www.trueachievements.com/game/Forza-Motorsport-2/achievements,xbox-360,"10 / 2,485","10 / 1,000",2 / 44,Owned,,,,14 Mar 14,,14 Mar 14
Devil May Cry 4,https://www.trueachievements.com/game/Devil-May-Cry-4/achievements,xbox-360,"58 / 4,730","50 / 1,000",5 / 46,Owned,,,,14 Mar 14,,14 Mar 14
Virtua Fighter 5,https://www.trueachievements.com/game/Virtua-Fighter-5/achievements,xbox-360,"17 / 3,072","15 / 1,000",1 / 32,Owned,,,,14 Mar 14,,14 Mar 14
Stranglehold,https://www.trueachievements.com/game/Stranglehold/achievements,xbox-360,"28 / 2,728","25 / 1,000",3 / 45,Owned,,,,14 Mar 14,,14 Mar 14
Ninja Gaiden II,https://www.trueachievements.com/game/Ninja-Gaiden-2/achievements,xbox-360,"95 / 3,546","85 / 1,000",15 / 60,Owned,,,,14 Mar 14,,14 Mar 14
SoulCalibur IV,https://www.trueachievements.com/game/Soulcalibur-IV/achievements,xbox-360,"6 / 2,465","5 / 1,000",1 / 50,Owned,,,,14 Mar 14,,14 Mar 14
Dragon Ball Z: Burst Limit,https://www.trueachievements.com/game/Dragon-Ball-Z-Burst-Limit/achievements,xbox-360,"1,111 / 6,592","500 / 1,000",37 / 50,Owned,,,,14 Mar 14,,14 Mar 14
Dead or Alive 4,https://www.trueachievements.com/game/Dead-or-Alive-4/achievements,xbox-360,"22 / 4,926","20 / 1,000",2 / 45,Owned,,,,14 Mar 14,,14 Mar 14
Gears of War,https://www.trueachievements.com/game/Gears-of-War/achievements,xbox-360,"118 / 2,676","100 / 1,000",9 / 49,Owned,,,,14 Mar 14,,14 Mar 14
