game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Battlefield 4,https://www.trueachievements.com/game/Battlefield-4/achievements,xbox-one,"222 / 2,097","170 / 1,000",8 / 42,Owned,Playing now,,,29 May 23,,01 Jun 23
Devil May Cry 4 Special Edition,https://www.trueachievements.com/game/Devil-May-Cry-4-Special-Edition/achievements,xbox-one,"23 / 6,122","20 / 1,000",2 / 42,Owned,Playing now,,1 hr 32 mins,12 May 23,,12 May 23
Devil May Cry 5,https://www.trueachievements.com/game/Devil-May-Cry-5/achievements,xbox-one,"1,139 / 7,634","400 / 1,090",26 / 52,Owned,,,93 hrs 57 mins,24 Aug 19,,20 Apr 23
Sid Meier's Civilization VI,https://www.trueachievements.com/game/Civilization-VI/achievements,xbox-one,"122 / 4,841","100 / 1,000",7 / 39,Owned,Playing now,,9 hrs 37 mins,10 Apr 23,,13 Apr 23
Halo Wars 2,https://www.trueachievements.com/game/Halo-Wars-2/achievements,xbox-one,"913 / 3,295","470 / 1,060",35 / 60,Owned,,,58 hrs 4 mins,11 May 19,,03 Apr 23
Halo Wars: Definitive Edition,https://www.trueachievements.com/game/Halo-Wars-Definitive-Edition/achievements,xbox-one,"6 / 4,954","5 / 1,500",1 / 75,Owned,Playing now,,,28 Mar 23,,28 Mar 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"1,428 / 3,836","630 / 1,000",35 / 51,Owned,Playing now,,417 hrs 41 mins,12 May 20,,11 Mar 23
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"118 / 2,135","100 / 1,000",7 / 43,Owned,Playing now,,9 hrs 13 mins,24 Feb 23,,27 Feb 23
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"36 / 5,210","30 / 1,000",2 / 28,Owned,Playing now,,2 hrs 10 mins,06 Sep 22,,17 Sep 22
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"871 / 2,653","580 / 1,000",16 / 24,Owned,Playing now,,12 hrs 55 mins,22 Dec 21,,10 Sep 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"332 / 2,661","240 / 1,000",15 / 34,Owned,Playing now,,16 hrs 35 mins,22 Jun 22,,23 Jul 22
Naraka: Bladepoint,https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,xbox-one,"232 / 4,822","165 / 1,000",10 / 40,Owned,Playing now,,16 hrs 0 mins,23 Jun 22,,30 Jun 22
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"165 / 1,595","130 / 1,000",8 / 50,Owned,Playing now,,17 hrs 19 mins,09 Jun 22,,18 Jun 22
Jurassic World Evolution 2,https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,xbox-one,"380 / 6,531","195 / 1,000",15 / 44,Owned,Playing now,,32 hrs 43 mins,31 May 22,,08 Jun 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"79 / 2,751","50 / 1,000",4 / 53,Owned,Playing now,,9 hrs 46 mins,02 Jun 22,,07 Jun 22
Trek to Yomi,https://www.trueachievements.com/game/Trek-to-Yomi/achievements,xbox-one,"142 / 5,688","105 / 1,000",6 / 28,Owned,Playing now,,1 hr 57 mins,02 Jun 22,,02 Jun 22
Paladins: Champions of the Realm,https://www.trueachievements.com/game/Paladins-Champions-of-the-Realm/achievements,xbox-one,"1,673 / 3,615","985 / 1,205",23 / 35,Owned,Playing now,,82 hrs 14 mins,17 Jul 20,,01 Jun 22
7 Days to Die,https://www.trueachievements.com/game/7-Days-to-Die/achievements,xbox-one,"56 / 4,590","45 / 1,000",4 / 43,Owned,Playing now,,,20 May 22,,20 May 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"3,782 / 25,468","1,855 / 6,990",207 / 699,Owned,,,137 hrs 5 mins,11 Jul 18,,19 May 22
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"1,279 / 9,628","765 / 2,175",59 / 141,Owned,,,50 hrs 11 mins,01 Jul 19,,23 Mar 22
Mortal Shell: Enhanced Edition,https://www.trueachievements.com/game/Mortal-Shell/achievements,xbox-one,"25 / 5,323","25 / 1,000",1 / 25,Owned,Playing now,,15 mins,20 Mar 22,,20 Mar 22
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"259 / 12,807","85 / 1,000",7 / 43,Owned,Playing now,,20 hrs 58 mins,08 Mar 22,,19 Mar 22
Kill It With Fire,https://www.trueachievements.com/game/Kill-It-With-Fire/achievements,xbox-one,"10 / 2,415","10 / 1,000",1 / 24,Owned,Playing now,,9 mins,13 Mar 22,,13 Mar 22
The Long Dark,https://www.trueachievements.com/game/The-Long-Dark/achievements,xbox-one,"17 / 10,145","10 / 1,000",1 / 40,Owned,Playing now,,3 hrs 1 min,05 Mar 22,,05 Mar 22
