game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"1,854 / 5,891","1,000 / 2,400",17 / 37,Owned,,,61 hrs 19 mins,10 Jul 21,,05 Jun 23
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"57 / 2,549","45 / 1,000",3 / 44,Owned,,,5 hrs 23 mins,03 May 21,,02 Jun 23
NBA 2K23,https://www.trueachievements.com/game/NBA-2K23/achievements,xbox-series-x-s,"402 / 3,935","145 / 1,000",5 / 45,Owned,Playing now,,11 hrs 40 mins,21 May 23,,24 May 23
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"802 / 5,381","360 / 1,470",18 / 84,Owned,,,21 hrs 46 mins,14 Oct 21,,23 May 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"1,339 / 5,094","815 / 2,315",42 / 102,Owned,,,265 hrs 49 mins,09 Jun 21,,06 May 23
Madden NFL 23,https://www.trueachievements.com/game/Madden-NFL-23/achievements,xbox-series-x-s,"78 / 4,319","60 / 1,000",1 / 23,Owned,Playing now,,17 hrs 43 mins,26 Apr 23,,26 Apr 23
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"122 / 2,920","90 / 1,000",5 / 27,Owned,Playing now,,4 hrs 59 mins,10 Mar 23,,26 Apr 23
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"174 / 2,870","140 / 1,110",11 / 56,Owned,Playing now,,2 hrs 48 mins,23 Apr 23,,24 Apr 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"271 / 2,586","210 / 1,000",5 / 25,Owned,Playing now,,9 hrs 39 mins,15 Apr 23,,16 Apr 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"1,011 / 3,944","610 / 1,180",17 / 33,Owned,,,9 hrs 21 mins,15 Dec 21,,14 Apr 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"1,634 / 2,661","760 / 1,000",30 / 34,Owned,,,75 hrs 33 mins,21 Jun 22,,14 Apr 23
