game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"81 / 3,559","65 / 1,000",9 / 62,Owned,Playing now,,6 hrs 22 mins,23 Jun 19,,30 Oct 21
Trivial Pursuit Live!,https://www.trueachievements.com/game/TRIVIAL-PURSUIT-LIVE-Xbox-One/achievements,xbox-one,"861 / 1,951","580 / 1,000",12 / 15,Owned,Playing now,,24 hrs 26 mins,29 Jul 15,,12 Nov 20
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"984 / 12,839","230 / 1,000",19 / 43,Owned,Playing now,,70 hrs 45 mins,19 Aug 20,,27 Aug 20
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"72 / 3,155","50 / 1,000",2 / 20,Owned,Playing now,,6 hrs 50 mins,16 Aug 20,,16 Aug 20
F1 2020,https://www.trueachievements.com/game/F1-2020/achievements,xbox-one,"305 / 2,391","205 / 1,000",13 / 50,Owned,Playing now,,10 hrs 33 mins,10 Jul 20,,13 Jul 20
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,772 / 3,934","1,210 / 2,200",50 / 77,Owned,Playing now,,159 hrs 29 mins,18 Feb 16,,01 Jul 20
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"497 / 5,815","305 / 1,950",21 / 95,Owned,Playing now,,18 hrs 40 mins,23 Apr 19,,19 Jun 20
FIFA 20,https://www.trueachievements.com/game/FIFA-20/achievements,xbox-one,"439 / 3,425","270 / 1,000",13 / 31,Owned,Playing now,,176 hrs 40 mins,04 Jan 20,,19 Jun 20
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"2,283 / 2,283","1,045 / 1,045",43 / 43,Owned,Playing now,,397 hrs 37 mins,06 Dec 17,25 May 20,25 May 20
World of Warships: Legends,https://www.trueachievements.com/game/World-of-Warships-Legends/achievements,xbox-one,"621 / 2,656","310 / 1,000",15 / 38,Owned,Playing now,,28 hrs 45 mins,15 May 20,,19 May 20
The Elder Scrolls Online,https://www.trueachievements.com/game/The-Elder-Scrolls-Online-Tamriel-Unlimited/achievements,xbox-one,"613 / 8,496","235 / 1,440",24 / 57,Owned,Playing now,,622 hrs 30 mins,09 Jun 15,,12 May 20
Madden NFL 19,https://www.trueachievements.com/game/Madden-NFL-19/achievements,xbox-one,"623 / 2,730","360 / 1,000",19 / 38,Owned,Playing now,,106 hrs 26 mins,15 Feb 19,,01 May 20
Wheel of Fortune,https://www.trueachievements.com/game/Wheel-Of-Fortune/achievements,xbox-one,"363 / 1,562","300 / 1,000",5 / 13,Owned,Playing now,,4 hrs 21 mins,19 Apr 20,,29 Apr 20
Prominence Poker,https://www.trueachievements.com/game/Prominence-Poker/achievements,xbox-one,"635 / 6,628","390 / 1,245",15 / 42,Owned,Playing now,,13 hrs 6 mins,18 Aug 16,,10 Apr 20
Sid Meier's Civilization VI,https://www.trueachievements.com/game/Civilization-VI/achievements,xbox-one,"699 / 4,847","325 / 1,000",18 / 39,Owned,Playing now,,,28 Mar 20,,04 Apr 20
WRC 6,https://www.trueachievements.com/game/WRC-6/achievements,xbox-one,"158 / 6,413","70 / 1,000",6 / 41,Owned,Playing now,,1 hr 28 mins,07 Feb 19,,27 Mar 20
The Golf Club 2019,https://www.trueachievements.com/game/The-Golf-Club-2019/achievements,xbox-one,"37 / 2,983","30 / 1,000",2 / 29,Owned,Playing now,,1 hr 45 mins,26 Mar 20,,26 Mar 20
