game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"139 / 2,696","105 / 1,000",7 / 51,Owned,Playing now,,8 hrs 49 mins,25 Apr 23,,02 May 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"218 / 3,735","160 / 1,485",13 / 81,Owned,Playing now,,12 hrs 14 mins,28 Dec 22,,01 May 23
eFootball 2023,https://www.trueachievements.com/game/eFootball/achievements,xbox-one,"567 / 1,691","440 / 1,000",7 / 17,Owned,Playing now,,2 hrs 47 mins,21 Apr 23,,25 Apr 23
It Takes Two,https://www.trueachievements.com/game/It-Takes-Two/achievements,xbox-one,"264 / 1,785","225 / 1,000",5 / 20,Owned,Playing now,,14 hrs 53 mins,09 Mar 23,,11 Mar 23
Monster Hunter Rise,https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,xbox-one,"955 / 7,283","340 / 1,000",20 / 50,Owned,Playing now,,109 hrs 59 mins,20 Jan 23,,06 Mar 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"554 / 3,769","405 / 1,600",40 / 119,Owned,Playing now,,22 hrs 48 mins,08 Jan 23,,14 Jan 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"364 / 5,270","245 / 1,090",29 / 83,Owned,Playing now,,21 hrs 23 mins,29 Dec 22,,10 Jan 23
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"25 / 2,799","25 / 1,000",1 / 30,Owned,Playing now,,17 mins,07 Jan 23,,07 Jan 23
The Legend of Tianding,https://www.trueachievements.com/game/The-Legend-of-Tianding/achievements,xbox-one,"10 / 3,708","10 / 1,000",1 / 26,Owned,Playing now,,18 mins,04 Jan 23,,04 Jan 23
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"5 / 4,639","5 / 1,000",1 / 75,Owned,Playing now,,8 hrs 14 mins,28 Dec 22,,28 Dec 22
Final Fantasy XIII-2,https://www.trueachievements.com/game/Final-Fantasy-XIII-2/achievements,xbox-360,"15 / 1,804","15 / 1,000",1 / 31,Owned,,,,02 Jul 19,,02 Jul 19
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"175 / 2,359","140 / 1,000",11 / 55,Owned,,,105 hrs 55 mins,10 Nov 18,,01 Jul 19
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"118 / 3,559","85 / 1,000",11 / 62,Owned,,,69 hrs 41 mins,23 Nov 18,,25 Jun 19
Shadow of the Tomb Raider,https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,xbox-one,"15 / 1,674","15 / 1,000",1 / 63,Owned,,,16 hrs 22 mins,25 Jun 19,,25 Jun 19
Dead or Alive 5 Last Round,https://www.trueachievements.com/game/Dead-or-Alive-5-Last-Round/achievements,xbox-one,"11 / 3,055","10 / 1,000",1 / 48,Owned,,,6 mins,09 Nov 18,,09 Nov 18
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,26 / 475,25 / 200,3 / 20,Owned,,,,09 May 16,,14 May 16
Despicable Me: Minion Rush (Windows),https://www.trueachievements.com/game/Despicable-Me-Minion-Rush-Windows-8/achievements,windows,10 / 665,10 / 200,1 / 20,Owned,,,,28 Dec 15,,28 Dec 15
