game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
FIFA 13,https://www.trueachievements.com/game/FIFA-13/achievements,xbox-360,"89 / 2,068","55 / 1,000",4 / 48,Owned,,,,06 Dec 12,,16 Dec 12
Top Spin 4,https://www.trueachievements.com/game/Top-Spin-4/achievements,xbox-360,"45 / 2,803","40 / 1,000",4 / 40,Owned,,,,14 Jul 12,,23 Jul 12
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"27 / 1,975","25 / 1,000",3 / 50,Owned,,,,11 Nov 11,,30 May 12
Final Fantasy XIII-2,https://www.trueachievements.com/game/Final-Fantasy-XIII-2/achievements,xbox-360,"216 / 1,803","181 / 1,000",11 / 31,Owned,,,,03 Mar 12,,13 Mar 12
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"10 / 1,473","10 / 1,000",1 / 50,Owned,,,,04 Dec 11,,08 Dec 11
Risk: Factions,https://www.trueachievements.com/game/Risk-Factions/achievements,xbox-360,5 / 388,5 / 200,1 / 12,Owned,,,,21 Jul 10,,20 Nov 11
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"22 / 1,891","20 / 1,000",2 / 50,Owned,,,,27 Mar 11,,22 Jul 11
NCAA Football 12,https://www.trueachievements.com/game/NCAA-Football-12/achievements,xbox-360,"73 / 2,123","55 / 1,000",4 / 39,Owned,,,,16 Jul 11,,20 Jul 11
Major League Baseball 2K11,https://www.trueachievements.com/game/MLB-2K11/achievements,xbox-360,"100 / 3,105","70 / 1,000",7 / 50,Owned,,,,16 Mar 11,,12 Jul 11
Dungeon Siege III,https://www.trueachievements.com/game/Dungeon-Siege-3/achievements,xbox-360,"782 / 2,182","460 / 1,000",18 / 44,Owned,,,,04 Jul 11,,12 Jul 11
Dance Central,https://www.trueachievements.com/game/Dance-Central/achievements,xbox-360,"128 / 5,240","85 / 1,000",5 / 50,Owned,,,,13 Apr 11,,02 Jun 11
Kinect Adventures,https://www.trueachievements.com/game/Kinect-Adventures/achievements,xbox-360,"115 / 3,583","90 / 1,000",5 / 32,Owned,,,,13 Apr 11,,14 Apr 11
WWE: All Stars,https://www.trueachievements.com/game/WWE-All-Stars/achievements,xbox-360,"223 / 1,979","195 / 1,000",12 / 45,Owned,,,,14 Apr 11,,14 Apr 11
Karaoke Revolution: American Idol 2,https://www.trueachievements.com/game/Karaoke-Revolution-American-Idol-2/achievements,xbox-360,"41 / 2,529","35 / 1,000",2 / 50,Owned,,,,02 Apr 10,,20 Mar 11
Lips,https://www.trueachievements.com/game/Lips/achievements,xbox-360,"179 / 2,076","150 / 1,000",8 / 40,Owned,,,,23 Oct 10,,20 Mar 11
You Don't Know Jack,https://www.trueachievements.com/game/You-Dont-Know-Jack/achievements,xbox-360,"26 / 2,188","25 / 1,000",3 / 40,Owned,,,,21 Feb 11,,27 Feb 11
