game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Star Wars Jedi: Survivor,https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,xbox-series-x-s,"47 / 1,865","45 / 1,000",3 / 53,Owned,Playing now,,3 hrs 24 mins,03 Jun 23,,03 Jun 23
Diablo IV,https://www.trueachievements.com/game/Diablo-IV/achievements,xbox-one,"42 / 24,875","25 / 1,000",1 / 25,Owned,Playing now,,2 hrs 27 mins,03 Jun 23,,03 Jun 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"83 / 1,771","80 / 1,000",4 / 39,Owned,Playing now,,20 hrs 45 mins,29 Apr 23,,28 May 23
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"3,345 / 4,424","1,090 / 1,400",53 / 66,Owned,Playing now,,631 hrs 53 mins,31 Oct 22,,12 Apr 23
Final Fantasy VII,https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,xbox-one,"30 / 2,638","30 / 1,000",2 / 31,Owned,Playing now,,2 hrs 52 mins,30 Mar 23,,30 Mar 23
Final Fantasy VIII Remastered,https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,xbox-one,"2,135 / 2,135","1,000 / 1,000",34 / 34,Owned,Playing now,,58 hrs 16 mins,23 Mar 23,29 Mar 23,29 Mar 23
Dead Space,https://www.trueachievements.com/game/Dead-Space/achievements,xbox-series-x-s,"1,910 / 1,910","1,000 / 1,000",47 / 47,Owned,Playing now,,114 hrs 43 mins,28 Jan 23,23 Mar 23,23 Mar 23
Diablo II: Resurrected,https://www.trueachievements.com/game/Diablo-II-Resurrected/achievements,xbox-one,"92 / 6,185","70 / 1,000",4 / 43,Owned,Playing now,,22 hrs 55 mins,25 Sep 21,,20 Mar 23
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"3,601 / 3,655","1,555 / 1,570",68 / 69,Owned,Playing now,,,19 Sep 21,,16 Mar 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"154 / 5,946","90 / 1,000",5 / 42,Owned,Playing now,,12 hrs 27 mins,26 Feb 23,,27 Feb 23
CRISIS CORE -FINAL FANTASY VII- REUNION,https://www.trueachievements.com/game/Crisis-Core-Final-Fantasy-VII-Reunion/achievements,xbox-one,"2,251 / 2,251","1,000 / 1,000",51 / 51,Owned,Playing now,,55 hrs 18 mins,12 Feb 23,18 Feb 23,18 Feb 23
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"5,704 / 5,762","1,995 / 2,010",98 / 99,Owned,Playing now,,187 hrs 55 mins,08 Oct 21,,12 Feb 23
Iris Fall,https://www.trueachievements.com/game/Iris-Fall/achievements,xbox-one,"1,500 / 1,500","1,000 / 1,000",22 / 22,Owned,Playing now,,14 hrs 33 mins,04 Feb 23,04 Feb 23,04 Feb 23
Bully: Scholarship Edition,https://www.trueachievements.com/game/Bully-Scholarship-Edition/achievements,xbox-360,"1,697 / 1,697","1,000 / 1,000",38 / 38,Owned,,,,01 Apr 14,04 Feb 23,04 Feb 23
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"2,506 / 2,505","1,550 / 1,550",72 / 72,Owned,Playing now,,,10 Oct 22,27 Jan 23,27 Jan 23
Watch Dogs: Legion,https://www.trueachievements.com/game/Watch-Dogs-Legion/achievements,xbox-one,"2,961 / 2,961","1,165 / 1,165",48 / 48,Owned,Playing now,,99 hrs 6 mins,20 Nov 20,22 Jan 23,22 Jan 23
Gotham Knights,https://www.trueachievements.com/game/Gotham-Knights/achievements,xbox-series-x-s,"2,845 / 2,845","1,195 / 1,195",55 / 55,Owned,Playing now,,99 hrs 17 mins,22 Oct 22,02 Jan 23,02 Jan 23
Grand Theft Auto V,https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,xbox-series-x-s,"5,284 / 6,629","1,650 / 1,750",75 / 77,Owned,Playing now,,17 hrs 12 mins,17 Dec 22,,18 Dec 22
The Elder Scrolls Online,https://www.trueachievements.com/game/The-Elder-Scrolls-Online-Tamriel-Unlimited/achievements,xbox-one,"2,541 / 13,854","685 / 2,430",37 / 79,Owned,Playing now,,638 hrs 10 mins,22 Jul 21,,02 Nov 22
Destroy All Humans! 2: Reprobed,https://www.trueachievements.com/game/Destroy-All-Humans-2-Reprobed/achievements,xbox-series-x-s,"1,885 / 1,885","1,000 / 1,000",44 / 44,Owned,Playing now,,38 hrs 59 mins,30 Sep 22,10 Oct 22,10 Oct 22
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"3,188 / 5,495","1,865 / 2,915",86 / 127,Owned,Playing now,,161 hrs 53 mins,20 May 21,,07 Oct 22
Saints Row IV: Re-Elected,https://www.trueachievements.com/game/Saints-Row-IV-Re-Elected/achievements,xbox-one,"2,527 / 2,527","1,200 / 1,200",70 / 70,Owned,Playing now,,90 hrs 18 mins,11 Sep 22,29 Sep 22,29 Sep 22
Dead Island Definitive Edition,https://www.trueachievements.com/game/Dead-Island/achievements,xbox-one,"1,748 / 2,958","740 / 1,000",45 / 58,Owned,Playing now,,90 hrs 50 mins,14 Jun 16,,26 Sep 22
Alice: Madness Returns,https://www.trueachievements.com/game/Alice-Madness-Returns/achievements,xbox-360,"2,415 / 2,414","1,000 / 1,000",50 / 50,Owned,Playing now,,,20 Aug 22,11 Sep 22,11 Sep 22
Saints Row,https://www.trueachievements.com/game/Saints-Row/achievements,xbox-one,"2,313 / 2,313","1,000 / 1,000",50 / 50,Owned,Playing now,,165 hrs 25 mins,28 Aug 22,10 Sep 22,10 Sep 22
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"5,580 / 7,900","1,650 / 1,750",75 / 77,Owned,Playing now,,617 hrs 8 mins,23 Jan 16,,20 Aug 22
Deus Ex: Mankind Divided,https://www.trueachievements.com/game/Deus-Ex-Mankind-Divided/achievements,xbox-one,"5,374 / 5,373","1,570 / 1,570",81 / 81,Owned,Playing now,,84 hrs 21 mins,20 Feb 22,31 Jul 22,31 Jul 22
G.I. Joe: Operation Blackout,https://www.trueachievements.com/game/GI-Joe-Operation-Blackout/achievements,xbox-one,"3,244 / 3,244","1,000 / 1,000",34 / 34,Owned,Playing now,,14 hrs 12 mins,30 May 22,13 Jun 22,13 Jun 22
Road 96,https://www.trueachievements.com/game/Road-96/achievements,xbox-one,"1,530 / 1,530","1,000 / 1,000",12 / 12,Owned,Playing now,,16 hrs 40 mins,09 May 22,30 May 22,30 May 22
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"1,371 / 2,377","600 / 1,060",37 / 53,Owned,Playing now,,170 hrs 51 mins,19 Nov 20,,10 May 22
Dying Light,https://www.trueachievements.com/game/Dying-Light/achievements,xbox-one,"2,143 / 2,232","1,065 / 1,100",53 / 55,Owned,,,122 hrs 42 mins,01 Feb 15,,30 Apr 22
Tiny Tina's Wonderlands,https://www.trueachievements.com/game/Tiny-Tinas-Wonderlands/achievements,xbox-one,"706 / 1,980","440 / 1,000",24 / 39,Owned,Playing now,,45 hrs 16 mins,09 Apr 22,,17 Apr 22
NieR Replicant ver.1.22474487139...,https://www.trueachievements.com/game/Nier-Replicant-Ver-122474487139/achievements,xbox-one,"31 / 2,198","30 / 1,000",2 / 47,Owned,Playing now,,1 hr 54 mins,20 Mar 22,,20 Mar 22
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"1,796 / 1,938","970 / 1,000",48 / 49,Owned,Playing now,,54 hrs 8 mins,08 May 21,,06 Feb 22
Deus Ex: Human Revolution,https://www.trueachievements.com/game/Deus-Ex-Human-Revolution/achievements,xbox-360,"2,861 / 2,860","1,250 / 1,250",59 / 59,Owned,Playing now,,,20 Jan 22,06 Feb 22,05 Feb 22
Marvel: Ultimate Alliance,https://www.trueachievements.com/game/Marvel-Ultimate-Alliance-Xbox-One/achievements,xbox-one,"3,896 / 3,895","1,250 / 1,250",58 / 58,Owned,Playing now,,,31 Dec 21,20 Jan 22,20 Jan 22
Moving Out,https://www.trueachievements.com/game/Moving-Out/achievements,xbox-one,"6,883 / 6,882","2,000 / 2,000",38 / 38,Owned,Playing now,,26 hrs 48 mins,24 Nov 21,17 Jan 22,17 Jan 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"2,287 / 2,287","1,000 / 1,000",44 / 44,Owned,Playing now,,221 hrs 9 mins,10 Dec 20,07 Nov 21,07 Nov 21
Marvel's Guardians of the Galaxy,https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,xbox-one,"1,591 / 1,591","1,000 / 1,000",58 / 58,Owned,Playing now,,36 hrs 31 mins,28 Oct 21,06 Nov 21,06 Nov 21
Baldur's Gate: Dark Alliance,https://www.trueachievements.com/game/Baldurs-Gate-Dark-Alliance/achievements,xbox-one,"1,726 / 1,726","1,000 / 1,000",10 / 10,Owned,Playing now,,18 hrs 6 mins,03 Oct 21,06 Nov 21,06 Nov 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"1,079 / 3,642","505 / 1,000",33 / 55,Owned,Playing now,,20 hrs 30 mins,24 Oct 21,,30 Oct 21
Life is Strange 2,https://www.trueachievements.com/game/Life-Is-Strange-2/achievements,xbox-one,512 / 512,380 / 380,18 / 18,Owned,Playing now,,9 hrs 3 mins,25 Sep 21,29 Sep 21,29 Sep 21
The Walking Dead: The Final Season,https://www.trueachievements.com/game/The-Walking-Dead-The-Final-Season/achievements,xbox-one,"1,294 / 1,294","1,000 / 1,000",48 / 48,Owned,Playing now,,33 hrs 12 mins,13 Sep 21,18 Sep 21,18 Sep 21
Saints Row: The Third Remastered,https://www.trueachievements.com/game/Saints-Row-The-Third-Remastered/achievements,xbox-one,"2,660 / 2,660","1,290 / 1,290",79 / 79,Owned,Playing now,,60 hrs 25 mins,11 Jul 21,20 Jul 21,20 Jul 21
Just Cause,https://www.trueachievements.com/game/Just-Cause/achievements,xbox-360,"1,853 / 1,853","1,000 / 1,000",50 / 50,Owned,Playing now,,,04 Jul 21,08 Jul 21,07 Jul 21
Saints Row: The Third,https://www.trueachievements.com/game/Saints-Row-The-Third/achievements,xbox-360,"2,216 / 2,216","1,300 / 1,300",80 / 80,Owned,,,,17 Jan 12,21 Mar 12,23 Jun 21
Mass Effect 3,https://www.trueachievements.com/game/Mass-Effect-3/achievements,xbox-360,"1,961 / 2,387","1,375 / 1,550",64 / 68,Owned,Playing now,,,11 Apr 17,,23 Jun 21
