game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
NBA 2K23,https://www.trueachievements.com/game/NBA-2K23/achievements,xbox-series-x-s,"465 / 3,935","310 / 1,000",19 / 45,Owned,,,213 hrs 3 mins,09 Sep 22,,30 May 23
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"318 / 3,985","200 / 1,240",15 / 73,Owned,,,49 hrs 8 mins,19 Jul 19,,29 May 23
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"172 / 1,897","150 / 1,000",4 / 20,Owned,Playing now,,18 hrs 32 mins,20 May 23,,21 May 23
Brawlhalla,https://www.trueachievements.com/game/Brawlhalla/achievements,xbox-one,"1,110 / 9,067","380 / 1,450",23 / 57,Owned,,,63 hrs 40 mins,12 May 19,,26 Mar 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"45 / 4,483","40 / 1,000",3 / 44,Owned,Playing now,,33 mins,23 Mar 23,,24 Mar 23
JoJo's Bizarre Adventure: All-Star Battle R,https://www.trueachievements.com/game/JoJos-Bizarre-Adventure-All-Star-Battle-R/achievements,xbox-one,"1,098 / 4,166","405 / 1,000",21 / 45,Owned,,,10 hrs 46 mins,24 Feb 23,,09 Mar 23
Madden NFL 23,https://www.trueachievements.com/game/Madden-NFL-23/achievements,xbox-series-x-s,"78 / 4,319","60 / 1,000",1 / 23,Owned,,,14 hrs 28 mins,18 Feb 23,,18 Feb 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"1,209 / 2,441","715 / 1,000",26 / 32,Owned,,,26 hrs 12 mins,29 Jan 23,,12 Feb 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"1,090 / 5,183","670 / 1,505",51 / 105,Owned,,,44 hrs 29 mins,21 Jul 19,,28 Jan 23
Madden NFL 21,https://www.trueachievements.com/game/Madden-NFL-21/achievements,xbox-series-x-s,"1,334 / 2,610","550 / 1,000",11 / 28,Owned,,,14 hrs 39 mins,26 Jan 22,,28 Jan 23
NBA 2K22 (Xbox One),https://www.trueachievements.com/game/NBA-2K22-Xbox-One/achievements,xbox-one,"978 / 3,813","490 / 1,000",24 / 50,Owned,,,662 hrs 31 mins,11 Sep 21,,23 Jan 23
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"41 / 2,453","30 / 1,000",1 / 24,Owned,,,333 hrs 21 mins,24 Oct 22,,24 Oct 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"423 / 5,210","235 / 1,000",14 / 28,Owned,,,17 hrs 54 mins,24 Jul 22,,14 Aug 22
Stick Fight: The Game,https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,xbox-one,"413 / 2,829","340 / 1,000",12 / 28,Owned,,,1 hr 35 mins,17 Jul 22,,07 Aug 22
NBA 2K22,https://www.trueachievements.com/game/NBA-2K22/achievements,xbox-series-x-s,"1,146 / 4,286","430 / 1,000",22 / 45,Owned,,,111 hrs 15 mins,27 Dec 21,,07 Aug 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"328 / 2,661","230 / 1,000",17 / 34,Owned,,,16 hrs 35 mins,24 Jun 22,,16 Jul 22
Naraka: Bladepoint,https://www.trueachievements.com/game/Naraka-Bladepoint/achievements,xbox-one,"15 / 4,822","15 / 1,000",1 / 40,Owned,,,1 hr 14 mins,05 Jul 22,,05 Jul 22
Unravel,https://www.trueachievements.com/game/Unravel/achievements,xbox-one,"20 / 3,049","20 / 1,000",1 / 26,Owned,,,,21 Jun 22,,21 Jun 22
Pac-Man Museum+,https://www.trueachievements.com/game/PacMan-Museum-Plus/achievements,xbox-one,"15 / 11,600","15 / 1,000",1 / 41,Owned,,,57 mins,17 Jun 22,,17 Jun 22
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"76 / 1,595","70 / 1,000",5 / 50,Owned,,,14 hrs 44 mins,13 Jun 22,,16 Jun 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"184 / 2,551","145 / 1,000",3 / 44,Owned,,,28 hrs 26 mins,19 Dec 21,,20 May 22
Batman: Return to Arkham - Arkham City,https://www.trueachievements.com/game/Batman-Arkham-City-Xbox-One/achievements,xbox-one,"428 / 5,003","325 / 1,500",18 / 70,Owned,,,,13 Mar 22,,17 May 22
Exo One,https://www.trueachievements.com/game/Exo-One/achievements,xbox-one,"126 / 5,812","70 / 1,000",3 / 28,Owned,,,1 hr 5 mins,26 Mar 22,,27 Mar 22
Madden NFL 22,https://www.trueachievements.com/game/Madden-NFL-22/achievements,xbox-series-x-s,"477 / 2,309","315 / 1,000",4 / 19,Owned,,,24 hrs 28 mins,15 Mar 22,,26 Mar 22
Rush: A Disney Pixar Adventure,https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,xbox-one,"34 / 3,362","30 / 1,000",2 / 50,Owned,,,41 mins,22 Mar 22,,23 Mar 22
Batman: Return to Arkham - Arkham Asylum,https://www.trueachievements.com/game/Batman-Arkham-Asylum-Xbox-One/achievements,xbox-one,"696 / 2,271","515 / 1,000",25 / 47,Owned,,,,06 Mar 22,,13 Mar 22
NBA LIVE 19,https://www.trueachievements.com/game/NBA-LIVE-19/achievements,xbox-one,"187 / 6,544","125 / 1,000",7 / 29,Owned,,,2 hrs 23 mins,29 Nov 20,,30 Jan 22
Broken Age,https://www.trueachievements.com/game/Broken-Age/achievements,xbox-one,"178 / 3,424","100 / 1,000",6 / 45,Owned,,,2 hrs 36 mins,02 Jan 22,,02 Jan 22
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"2,040 / 6,306","900 / 1,920",37 / 75,Owned,,,17 hrs 57 mins,19 Jul 19,,25 Dec 21
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"674 / 2,653","475 / 1,000",12 / 24,Owned,,,10 hrs 37 mins,16 Dec 21,,19 Dec 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"330 / 2,514","260 / 1,000",20 / 53,Owned,,,30 hrs 51 mins,18 Nov 21,,30 Nov 21
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"108 / 3,642","85 / 1,000",6 / 55,Owned,,,1 hr 24 mins,27 Nov 21,,27 Nov 21
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"5 / 6,578","5 / 1,000",1 / 60,Owned,,,32 mins,24 Nov 21,,24 Nov 21
Marvel's Avengers,https://www.trueachievements.com/game/Marvels-Avengers/achievements,xbox-one,"65 / 2,725","35 / 1,000",2 / 50,Owned,,,2 hrs 5 mins,23 Nov 21,,23 Nov 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"30 / 4,355","25 / 1,000",2 / 34,Owned,,,8 hrs 24 mins,22 Nov 21,,22 Nov 21
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"828 / 3,807","340 / 1,000",14 / 35,Owned,,,33 hrs 30 mins,03 Aug 19,,27 Oct 21
Subnautica,https://www.trueachievements.com/game/Subnautica/achievements,xbox-one,"25 / 1,910","25 / 1,000",1 / 17,Owned,,,1 hr 9 mins,16 Oct 21,,16 Oct 21
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"104 / 2,362","85 / 1,250",7 / 60,Owned,,,,05 Sep 21,,12 Oct 21
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"311 / 3,108","205 / 1,000",13 / 50,Owned,,,515 hrs 53 mins,16 May 19,,06 Sep 21
Splitgate,https://www.trueachievements.com/game/Splitgate/achievements,xbox-one,"292 / 6,907","220 / 1,000",11 / 30,Owned,,,13 hrs 6 mins,08 Aug 21,,21 Aug 21
Last Stop,https://www.trueachievements.com/game/Last-Stop/achievements,xbox-one,"1,199 / 1,540","805 / 1,000",25 / 35,Owned,,,11 hrs 37 mins,28 Jul 21,,31 Jul 21
Rec Room,https://www.trueachievements.com/game/Rec-Room/achievements,xbox-one,"102 / 4,162","100 / 1,000",2 / 10,Owned,,,1 hr 33 mins,12 Jul 21,,12 Jul 21
Hotshot Racing,https://www.trueachievements.com/game/Hotshot-Racing/achievements,xbox-one,"38 / 6,358","30 / 1,000",2 / 50,Owned,,,15 mins,06 Jul 21,,06 Jul 21
NBA 2K21 (Xbox One),https://www.trueachievements.com/game/NBA-2K21-Xbox-One/achievements,xbox-one,"1,008 / 4,342","520 / 1,000",28 / 50,Owned,,,351 hrs 25 mins,04 Sep 20,,05 Jul 21
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"169 / 1,971","125 / 1,000",3 / 19,Owned,,,49 mins,03 Jul 21,,03 Jul 21
ScreamRide,https://www.trueachievements.com/game/ScreamRide/achievements,xbox-one,"16 / 13,642","15 / 1,000",3 / 47,Owned,,,31 mins,02 Jul 21,,02 Jul 21
The Walking Dead: Michonne,https://www.trueachievements.com/game/The-Walking-Dead-Michonne/achievements,xbox-one,156 / 349,150 / 330,4 / 7,Owned,,,,02 Jul 21,,02 Jul 21
SUPERHOT: MIND CONTROL DELETE,https://www.trueachievements.com/game/SUPERHOT-MIND-CONTROL-DELETE/achievements,xbox-one,"405 / 2,326","330 / 1,000",5 / 14,Owned,,,1 hr 41 mins,28 Jun 21,,01 Jul 21
Pandemic: The Board Game,https://www.trueachievements.com/game/Pandemic-The-Board-Game/achievements,xbox-one,"50 / 4,202","50 / 1,000",1 / 21,Owned,,,16 mins,29 Jun 21,,29 Jun 21
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"655 / 1,892","485 / 1,000",29 / 69,Owned,,,,20 Jun 21,,28 Jun 21
3on3 FreeStyle,https://www.trueachievements.com/game/3on3-FreeStyle/achievements,xbox-one,"48 / 9,325","30 / 1,000",2 / 34,Owned,,,5 hrs 21 mins,22 Jun 21,,22 Jun 21
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"265 / 1,736","200 / 1,000",4 / 14,Owned,,,4 mins,18 Jun 21,,19 Jun 21
The Evil Within 2,https://www.trueachievements.com/game/The-Evil-Within-2/achievements,xbox-one,"27 / 2,164","25 / 1,000",3 / 51,Owned,,,2 hrs 23 mins,18 Jun 21,,18 Jun 21
EA SPORTS UFC 3,https://www.trueachievements.com/game/EA-SPORTS-UFC-3/achievements,xbox-one,"517 / 5,617","340 / 1,000",14 / 32,Owned,,,9 hrs 23 mins,04 Apr 21,,18 Jun 21
Knockout City,https://www.trueachievements.com/game/Knockout-City/achievements,xbox-one,"91 / 3,836","55 / 1,000",4 / 50,Owned,,,7 hrs 18 mins,16 Jun 21,,17 Jun 21
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"15 / 3,893","15 / 1,000",1 / 62,Owned,,,4 hrs 28 mins,27 May 21,,27 May 21
SSX,https://www.trueachievements.com/game/SSX/achievements,xbox-360,"10 / 5,639","10 / 1,000",2 / 50,Owned,,,,25 May 21,,25 May 21
Fallout 4,https://www.trueachievements.com/game/Fallout-4/achievements,xbox-one,"10 / 1,751","10 / 1,000",1 / 50,Owned,,,3 hrs 1 min,13 May 21,,13 May 21
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"348 / 1,430","300 / 1,000",4 / 12,Owned,,,6 hrs 30 mins,08 May 21,,08 May 21
Fight Night Champion,https://www.trueachievements.com/game/Fight-Night-Champion/achievements,xbox-360,"129 / 14,819","95 / 1,000",8 / 44,Owned,,,,06 Apr 21,,07 Apr 21
NBA 2K20,https://www.trueachievements.com/game/NBA-2K20/achievements,xbox-one,"1,268 / 4,134","675 / 1,000",37 / 50,Owned,,,410 hrs 9 mins,15 Sep 19,,02 Apr 21
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"321 / 2,549","240 / 1,000",14 / 44,Owned,,,214 hrs 47 mins,26 Dec 20,,28 Mar 21
Saints Row IV,https://www.trueachievements.com/game/Saints-Row-IV/achievements,xbox-360,"163 / 1,879","140 / 1,000",9 / 50,Owned,,,,13 Feb 21,,14 Feb 21
Madden NFL 21 (Xbox One),https://www.trueachievements.com/game/Madden-NFL-21-Xbox-One/achievements,xbox-one,"918 / 2,449","420 / 1,000",9 / 28,Owned,,,30 hrs 16 mins,04 Feb 21,,08 Feb 21
Madden NFL 20,https://www.trueachievements.com/game/Madden-NFL-20/achievements,xbox-one,"250 / 2,413","155 / 1,000",12 / 38,Owned,,,59 hrs 4 mins,26 Nov 20,,17 Jan 21
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"113 / 3,511","90 / 1,000",4 / 47,Owned,,,,14 Nov 20,,16 Nov 20
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"5 / 3,212","5 / 1,000",1 / 42,Owned,,,4 hrs 5 mins,15 Nov 20,,15 Nov 20
