game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"829 / 2,785","400 / 1,000",18 / 40,Owned,Playing now,,51 hrs 39 mins,06 Sep 15,,24 Apr 20
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"81 / 2,020","75 / 1,000",3 / 39,Owned,Playing now,,,28 Nov 19,,28 Nov 19
Assassin's Creed Unity,https://www.trueachievements.com/game/Assassins-Creed-Unity/achievements,xbox-one,"2,273 / 2,617","1,190 / 1,300",53 / 57,Owned,Playing now,,154 hrs 53 mins,05 Aug 15,,08 Sep 19
Forza Horizon 2,https://www.trueachievements.com/game/Forza-Horizon-2/achievements,xbox-one,"1,052 / 2,944","620 / 1,000",36 / 50,Owned,Playing now,,86 hrs 34 mins,15 Jul 19,,25 Aug 19
Dark Souls III,https://www.trueachievements.com/game/Dark-Souls-III/achievements,xbox-one,"966 / 1,908","665 / 1,000",34 / 43,Owned,Playing now,,97 hrs 14 mins,17 Dec 16,,18 Aug 18
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"815 / 1,626","580 / 1,000",8 / 13,Owned,Playing now,,69 hrs 47 mins,08 Sep 17,,25 Sep 17
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"2,481 / 2,480","1,500 / 1,500",60 / 60,Owned,Playing now,,822 hrs 47 mins,02 Aug 15,01 Sep 17,01 Sep 17
Dark Souls,https://www.trueachievements.com/game/Dark-Souls/achievements,xbox-360,"1,869 / 2,510","810 / 1,000",37 / 41,Owned,Playing now,,,02 May 16,,19 Aug 17
Twitch,https://www.trueachievements.com/game/Twitch/achievements,xbox-one,0 / 0,0 / 0,4 / 10,Owned,Playing now,,24 hrs 37 mins,23 Nov 16,,12 Jan 17
Madden NFL 17,https://www.trueachievements.com/game/Madden-NFL-17/achievements,xbox-one,"171 / 2,358","100 / 1,000",4 / 35,Owned,Playing now,,14 hrs 43 mins,29 Sep 16,,02 Oct 16
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"115 / 2,102","95 / 1,000",5 / 59,Owned,Playing now,,6 hrs 35 mins,09 Sep 16,,09 Sep 16
Dark Souls II: Scholar of the First Sin,https://www.trueachievements.com/game/Dark-Souls-II-Scholar-of-the-First-Sin/achievements,xbox-one,"1,063 / 1,972","660 / 1,000",26 / 38,Owned,Playing now,,170 hrs 40 mins,12 Apr 16,,22 Aug 16
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"274 / 2,482","220 / 1,000",22 / 65,Owned,Playing now,,10 hrs 5 mins,01 Jul 16,,02 Jul 16
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,891 / 14,226","860 / 4,000",111 / 400,Owned,Playing now,,58 hrs 25 mins,21 Jun 15,,21 Mar 16
Microsoft Minesweeper (Windows 8),https://www.trueachievements.com/game/Microsoft-Minesweeper/achievements,windows,69 / 69,50 / 50,4 / 4,Owned,,,,25 Dec 12,08 Jan 13,17 Jan 16
Destiny (Xbox 360),https://www.trueachievements.com/game/Destiny-Xbox-360/achievements,xbox-360,"1,463 / 2,177","1,005 / 1,250",43 / 51,Owned,,,,12 Sep 14,,24 Sep 15
The Elder Scrolls Online,https://www.trueachievements.com/game/The-Elder-Scrolls-Online-Tamriel-Unlimited/achievements,xbox-one,"11 / 6,724","10 / 1,000",2 / 45,Owned,Playing now,,,30 Aug 15,,01 Sep 15
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,Playing now,,41 hrs 3 mins,06 Aug 15,,25 Aug 15
Titanfall,https://www.trueachievements.com/game/Titanfall/achievements,xbox-one,"209 / 3,835","180 / 1,400",8 / 52,Owned,Playing now,,4 hrs 43 mins,22 Aug 15,,22 Aug 15
Trials Fusion,https://www.trueachievements.com/game/Trials-Fusion/achievements,xbox-one,"589 / 5,602","290 / 1,250",6 / 21,Owned,Playing now,,37 hrs 14 mins,08 Jul 15,,18 Jul 15
Microsoft Solitaire Collection (Windows),https://www.trueachievements.com/game/Solitaire-Collection/achievements,windows,113 / 973,55 / 200,5 / 20,Owned,,,,08 Jan 13,,02 Jul 15
Star Wars: The Force Unleashed II,https://www.trueachievements.com/game/Star-Wars-the-Force-Unleashed-2/achievements,xbox-360,"928 / 2,029","570 / 1,000",27 / 50,Owned,,,,02 Jul 15,,02 Jul 15
Halo 3: ODST,https://www.trueachievements.com/game/Halo-3-ODST/achievements,xbox-360,"755 / 1,594","590 / 1,000",24 / 47,Owned,,,,01 Jul 14,,16 May 15
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"93 / 1,480","80 / 1,000",6 / 49,Owned,,,,31 Mar 13,,18 Apr 15
Watch_Dogs (Xbox 360),https://www.trueachievements.com/game/Watch-Dogs-Xbox-360/achievements,xbox-360,"52 / 2,457","45 / 1,000",3 / 39,Owned,,,,02 Jul 15,,10 Apr 15
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"1,661 / 2,117","1,035 / 1,237",48 / 55,Owned,,,,03 Mar 12,,28 Mar 15
Assassin's Creed Rogue,https://www.trueachievements.com/game/Assassins-Creed-Rogue/achievements,xbox-360,"259 / 1,888","200 / 1,000",11 / 46,Owned,,,,19 Nov 14,,29 Nov 14
Need for Speed Rivals (Xbox 360),https://www.trueachievements.com/game/Need-for-Speed-Rivals-Xbox-360/achievements,xbox-360,"897 / 2,532","490 / 1,000",14 / 25,Owned,,,,07 Jan 14,,10 Sep 14
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"1,981 / 2,438","1,330 / 1,550",65 / 75,Owned,,,,10 Dec 11,,16 Aug 14
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"888 / 1,975","545 / 1,000",30 / 50,Owned,,,,10 Nov 11,,08 Aug 14
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"532 / 1,933","425 / 1,000",25 / 50,Owned,,,,31 Jul 14,,01 Aug 14
