game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
FIFA 21 (Xbox One),https://www.trueachievements.com/game/FIFA-21-Xbox-One/achievements,xbox-one,"134 / 2,892","75 / 1,000",3 / 36,Owned,Playing now,,10 hrs 16 mins,30 Oct 20,,24 Dec 20
F1 2020,https://www.trueachievements.com/game/F1-2020/achievements,xbox-one,"602 / 2,391","355 / 1,000",20 / 50,Owned,Playing now,,52 hrs 47 mins,29 Jul 20,,27 Aug 20
F1 2019,https://www.trueachievements.com/game/F1-2019/achievements,xbox-one,"904 / 3,252","435 / 1,000",24 / 50,Owned,Playing now,,243 hrs 12 mins,25 Jun 19,,26 Jan 20
FIFA 20,https://www.trueachievements.com/game/FIFA-20/achievements,xbox-one,"636 / 3,425","295 / 1,000",8 / 31,Owned,Playing now,,264 hrs 31 mins,27 Sep 19,,10 Jan 20
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"390 / 2,632","270 / 1,000",15 / 50,Owned,Playing now,,10 hrs 31 mins,25 Nov 19,,27 Nov 19
FIFA 19,https://www.trueachievements.com/game/FIFA-19/achievements,xbox-one,"978 / 2,931","540 / 1,000",23 / 41,Owned,Playing now,,184 hrs 18 mins,02 Oct 18,,08 Jun 19
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"670 / 3,559","310 / 1,000",25 / 62,Owned,Playing now,,136 hrs 43 mins,25 Dec 18,,26 Feb 19
Assetto Corsa,https://www.trueachievements.com/game/Assetto-Corsa/achievements,xbox-one,"674 / 14,944","190 / 1,000",10 / 41,Owned,Playing now,,103 hrs 25 mins,17 Mar 18,,13 Dec 18
F1 2018,https://www.trueachievements.com/game/F1-2018/achievements,xbox-one,"1,487 / 2,898","560 / 1,000",30 / 49,Owned,Playing now,,491 hrs 8 mins,24 Aug 18,,09 Nov 18
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"663 / 3,767","390 / 1,250",21 / 59,Owned,Playing now,,49 hrs 56 mins,16 Jul 16,,23 May 18
FIFA 18,https://www.trueachievements.com/game/FIFA-18/achievements,xbox-one,"705 / 2,275","420 / 1,000",19 / 44,Owned,Playing now,,368 hrs 33 mins,05 Oct 17,,13 Mar 18
F1 2017,https://www.trueachievements.com/game/F1-2017/achievements,xbox-one,"702 / 2,090","425 / 1,000",25 / 50,Owned,Playing now,,393 hrs 16 mins,25 Aug 17,,11 Mar 18
Project CARS 2,https://www.trueachievements.com/game/Project-CARS-2/achievements,xbox-one,"219 / 6,044","75 / 1,000",8 / 47,Owned,Playing now,,185 hrs 4 mins,23 Sep 17,,31 Oct 17
F1 2016,https://www.trueachievements.com/game/F1-2016/achievements,xbox-one,"1,298 / 2,178","670 / 1,000",37 / 49,Owned,Playing now,,685 hrs 33 mins,18 Aug 16,,15 Jul 17
Forza Motorsport 6,https://www.trueachievements.com/game/Forza-Motorsport-6/achievements,xbox-one,"1,044 / 4,315","370 / 1,250",28 / 76,Owned,Playing now,,240 hrs 51 mins,05 Feb 16,,28 Jun 17
FIFA 17,https://www.trueachievements.com/game/FIFA-17/achievements,xbox-one,"788 / 2,215","480 / 1,000",21 / 44,Owned,Playing now,,204 hrs 12 mins,29 Sep 16,,16 Jun 17
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"195 / 2,036","170 / 1,000",14 / 64,Owned,Playing now,,8 hrs 15 mins,30 Jan 17,,10 Feb 17
YouTube,https://www.trueachievements.com/game/YouTube/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,Playing now,,2 hrs 6 mins,27 Aug 15,,14 Nov 16
F1 2015,https://www.trueachievements.com/game/F1-2015/achievements,xbox-one,"963 / 2,849","410 / 1,000",21 / 45,Owned,,,167 hrs 31 mins,09 Jul 15,,07 Aug 16
FIFA 16,https://www.trueachievements.com/game/FIFA-16/achievements,xbox-one,"557 / 2,170","350 / 1,000",24 / 48,Owned,Playing now,,251 hrs 28 mins,25 Sep 15,,30 May 16
Project CARS,https://www.trueachievements.com/game/Project-CARS/achievements,xbox-one,"846 / 5,715","245 / 1,000",14 / 45,Owned,Playing now,,505 hrs 56 mins,09 May 15,,19 Feb 16
DiRT 3,https://www.trueachievements.com/game/DiRT-3/achievements,xbox-360,"253 / 2,992","115 / 1,000",9 / 50,Owned,Playing now,,,14 Nov 15,,02 Feb 16
F1 2013,https://www.trueachievements.com/game/F1-2013/achievements,xbox-360,"2,893 / 4,492","680 / 1,000",31 / 45,Owned,,,,04 Oct 13,,05 Jul 15
FIFA 15,https://www.trueachievements.com/game/FIFA-15/achievements,xbox-one,"754 / 2,047","475 / 1,000",18 / 45,Owned,Playing now,,65 hrs 54 mins,04 May 15,,27 Jun 15
F1 2014,https://www.trueachievements.com/game/F1-2014/achievements,xbox-360,"1,082 / 2,357","480 / 1,000",23 / 49,Owned,,,,17 Oct 14,,09 Apr 15
FIFA 15 (Xbox 360),https://www.trueachievements.com/game/FIFA-15-Xbox-360/achievements,xbox-360,"924 / 1,957","570 / 1,000",13 / 38,Owned,,,,04 Oct 14,,26 Mar 15
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"290 / 3,162","235 / 1,250",15 / 58,Owned,,,,24 Sep 13,,14 Mar 15
FIFA 14 (Xbox 360),https://www.trueachievements.com/game/FIFA-14-Xbox-360/achievements,xbox-360,"820 / 1,919","505 / 1,000",21 / 43,Owned,,,,16 Dec 13,,03 Oct 14
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"118 / 3,208","80 / 1,000",2 / 50,Owned,,,,04 Jul 15,,29 Aug 14
DiRT 2,https://www.trueachievements.com/game/DiRT-2/achievements,xbox-360,"35 / 1,681","35 / 1,000",3 / 47,Owned,,,,04 Aug 14,,04 Aug 14
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"104 / 1,494","100 / 1,000",6 / 37,Owned,,,,16 Jul 14,,21 Jul 14
Call of Duty: World at War,https://www.trueachievements.com/game/Call-of-Duty-World-at-War/achievements,xbox-360,"318 / 1,879","195 / 1,000",12 / 46,Owned,,,,14 Jul 14,,16 Jul 14
F1 2012,https://www.trueachievements.com/game/F1-2012/achievements,xbox-360,"172 / 2,280","135 / 1,000",7 / 49,Owned,,,,14 Sep 13,,03 Oct 13
Call of Duty: Modern Warfare 2 (2009),https://www.trueachievements.com/game/Modern-Warfare-2-2009/achievements,xbox-360,"286 / 1,532","255 / 1,000",18 / 50,Owned,,,,15 Sep 13,,18 Sep 13
Top Spin 4,https://www.trueachievements.com/game/Top-Spin-4/achievements,xbox-360,"18 / 2,803","15 / 1,000",1 / 40,Owned,,,,04 Jul 15,,14 Sep 13
