game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
THIEF,https://www.trueachievements.com/game/THIEF/achievements,xbox-one,"86 / 4,783","50 / 1,000",6 / 37,Owned,Playing now,,4 hrs 54 mins,13 Jun 19,,17 Jun 19
EA SPORTS UFC 3,https://www.trueachievements.com/game/EA-SPORTS-UFC-3/achievements,xbox-one,"142 / 5,616","105 / 1,000",5 / 32,Owned,Playing now,,2 hrs 50 mins,30 May 19,,04 Jun 19
Madden NFL 19,https://www.trueachievements.com/game/Madden-NFL-19/achievements,xbox-one,"158 / 2,730","70 / 1,000",1 / 38,Owned,Playing now,,41 mins,30 May 19,,30 May 19
Need for Speed Payback,https://www.trueachievements.com/game/Need-for-Speed-Payback/achievements,xbox-one,"10 / 3,267","10 / 1,000",1 / 53,Owned,Playing now,,43 mins,30 May 19,,30 May 19
Late Shift,https://www.trueachievements.com/game/Late-Shift/achievements,xbox-one,"152 / 1,457","125 / 1,000",5 / 20,Owned,Playing now,,2 hrs 13 mins,30 May 19,,30 May 19
Sekiro: Shadows Die Twice - GOTY Edition,https://www.trueachievements.com/game/Sekiro-Shadows-Die-Twice/achievements,xbox-one,"61 / 2,273","60 / 1,000",3 / 34,Owned,Playing now,,,12 Apr 19,,12 Apr 19
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"430 / 2,297","300 / 1,000",19 / 50,Owned,Playing now,,20 hrs 9 mins,10 Mar 19,,14 Mar 19
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"329 / 3,836","230 / 1,000",15 / 51,Owned,Playing now,,47 hrs 58 mins,28 Oct 18,,10 Mar 19
Salt and Sanctuary,https://www.trueachievements.com/game/Salt-and-Sanctuary/achievements,xbox-one,"211 / 2,065","155 / 1,000",11 / 37,Owned,Playing now,,,17 Feb 19,,22 Feb 19
Ashen,https://www.trueachievements.com/game/Ashen/achievements,xbox-one,"33 / 3,147","17 / 1,000",1 / 31,Owned,Playing now,,,22 Feb 19,,22 Feb 19
Mutant Year Zero: Road to Eden,https://www.trueachievements.com/game/Mutant-Year-Zero-Road-to-Eden/achievements,xbox-one,"146 / 3,699","90 / 1,000",7 / 36,Owned,Playing now,,,16 Feb 19,,17 Feb 19
>observer_,https://www.trueachievements.com/game/observer/achievements,xbox-one,"104 / 2,106","80 / 1,000",2 / 19,Owned,Playing now,,3 hrs 33 mins,15 Feb 19,,15 Feb 19
Ruiner,https://www.trueachievements.com/game/Ruiner/achievements,xbox-one,"907 / 9,118","370 / 1,500",12 / 33,Owned,Playing now,,6 hrs 58 mins,09 Jan 19,,14 Feb 19
Life is Strange,https://www.trueachievements.com/game/Life-Is-Strange/achievements,xbox-one,"459 / 1,404","375 / 1,000",15 / 60,Owned,Playing now,,12 hrs 20 mins,06 Feb 19,,12 Feb 19
theHunter: Call of the Wild,https://www.trueachievements.com/game/theHunter-Call-of-the-Wild/achievements,xbox-one,"189 / 9,251","100 / 1,000",9 / 48,Owned,Playing now,,8 hrs 17 mins,09 Feb 19,,10 Feb 19
Life is Strange: Before The Storm,https://www.trueachievements.com/game/Life-Is-Strange-Before-The-Storm/achievements,xbox-one,21 / 336,20 / 300,2 / 11,Owned,Playing now,,40 mins,06 Feb 19,,06 Feb 19
Wolfenstein: The New Order,https://www.trueachievements.com/game/Wolfenstein-The-New-Order/achievements,xbox-one,"34 / 1,948","30 / 1,000",3 / 50,Owned,Playing now,,1 hr 42 mins,04 Feb 19,,04 Feb 19
Middle-earth: Shadow of Mordor - Game of the Year Edition,https://www.trueachievements.com/game/Middle-earth-Shadow-of-Mordor-Game-of-the-Year-Edition/achievements,xbox-one,"20 / 4,091","20 / 1,680",1 / 74,Owned,Playing now,,35 mins,03 Feb 19,,03 Feb 19
Sniper Elite 4,https://www.trueachievements.com/game/Sniper-Elite-4/achievements,xbox-one,"690 / 3,826","330 / 1,000",22 / 50,Owned,Playing now,,31 hrs 55 mins,23 Jan 19,,03 Feb 19
DOOM,https://www.trueachievements.com/game/DOOM/achievements,xbox-one,"25 / 2,156","25 / 1,000",1 / 33,Owned,Playing now,,27 mins,22 Jan 19,,22 Jan 19
Hellblade: Senua's Sacrifice,https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,xbox-one,"90 / 1,632","90 / 1,000",1 / 14,Owned,Playing now,,,14 Jan 19,,14 Jan 19
Monster Hunter: World,https://www.trueachievements.com/game/Monster-Hunter-World/achievements,xbox-one,"22 / 4,868","20 / 1,000",2 / 49,Owned,Playing now,,3 hrs 26 mins,15 Nov 18,,21 Dec 18
The Witcher 3: Wild Hunt - Complete Edition,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,xbox-one,"1,028 / 4,902","635 / 2,000",32 / 78,Owned,Playing now,,66 hrs 15 mins,20 Nov 18,,19 Dec 18
