game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
World of Tanks: Valor (Xbox 360),https://www.trueachievements.com/game/World-of-Tanks-Xbox-360-Edition/achievements,xbox-360,"4,168 / 5,309","1,255 / 1,450",79 / 89,Owned,Playing now,,,21 May 14,,22 Mar 16
Borderlands,https://www.trueachievements.com/game/Borderlands/achievements,xbox-360,"90 / 1,351","75 / 1,000",8 / 50,Owned,Playing now,,,21 Mar 16,,21 Mar 16
Sacred Citadel,https://www.trueachievements.com/game/Sacred-Citadel/achievements,xbox-360,"963 / 1,425",375 / 500,27 / 35,Owned,Playing now,,,02 Feb 16,,25 Feb 16
Magic 2015 - Duels of the Planeswalkers (Xbox 360),https://www.trueachievements.com/game/Magic-2015-Duels-of-the-Planeswalkers-Xbox-360/achievements,xbox-360,538 / 911,350 / 500,26 / 35,Owned,,,,18 Jul 14,,21 Feb 16
World Series of Poker: Full House Pro,https://www.trueachievements.com/game/WSOP-Full-House-Pro/achievements,xbox-360,"259 / 1,724",145 / 400,14 / 30,Owned,,,,04 Sep 13,,15 Feb 16
Pool Nation,https://www.trueachievements.com/game/Pool-Nation/achievements,xbox-360,"153 / 1,493",115 / 400,8 / 20,Owned,,,,14 Nov 14,,15 Feb 16
Forza Horizon 2 Presents Fast & Furious (Xbox 360),https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious-Xbox-360/achievements,xbox-360,"1,168 / 1,168","1,000 / 1,000",25 / 25,Owned,Playing now,,,20 Apr 15,15 Feb 16,15 Feb 16
DiRT Showdown,https://www.trueachievements.com/game/DiRT-Showdown/achievements,xbox-360,"131 / 3,070","100 / 1,000",9 / 49,Owned,Playing now,,,03 Jan 16,,07 Feb 16
Sacred 3,https://www.trueachievements.com/game/Sacred-3/achievements,xbox-360,"25 / 4,310","25 / 1,000",2 / 37,Owned,Playing now,,,18 Dec 15,,18 Dec 15
CastleStorm,https://www.trueachievements.com/game/CastleStorm/achievements,xbox-360,"11 / 1,007",10 / 400,2 / 30,Owned,Playing now,,,09 Dec 15,,09 Dec 15
Tales from the Borderlands (Xbox 360),https://www.trueachievements.com/game/Tales-from-the-Borderlands-Xbox-360/achievements,xbox-360,20 / 221,20 / 200,1 / 7,Owned,Playing now,,,06 Dec 15,,06 Dec 15
Darksiders II,https://www.trueachievements.com/game/Darksiders-II/achievements,xbox-360,"20 / 2,502","20 / 1,000",1 / 50,Owned,,,,26 Oct 14,,02 Dec 15
F1 2013,https://www.trueachievements.com/game/F1-2013/achievements,xbox-360,"15 / 4,492","15 / 1,000",1 / 45,Owned,Playing now,,,01 Dec 15,,01 Dec 15
Hexic HD,https://www.trueachievements.com/game/Hexic/achievements,xbox-360,27 / 810,25 / 200,3 / 12,Owned,Playing now,,,19 Nov 15,,24 Nov 15
Mafia II,https://www.trueachievements.com/game/Mafia-II/achievements,xbox-360,"40 / 1,618","40 / 1,000",3 / 47,Owned,Playing now,,,22 Nov 15,,21 Nov 15
Frozen Free Fall: Snowball Fight (Xbox 360),https://www.trueachievements.com/game/Frozen-Free-Fall-Snowball-Fight-Xbox-360/achievements,xbox-360,"97 / 3,523","80 / 1,000",2 / 17,Owned,Playing now,,,19 Nov 15,,21 Nov 15
Angry Birds Star Wars (Xbox 360),https://www.trueachievements.com/game/Angry-Birds-Star-Wars-Xbox-360/achievements,xbox-360,"15 / 3,576","15 / 1,000",1 / 50,Owned,Playing now,,,19 Nov 15,,18 Nov 15
DuckTales Remastered (Arcade),https://www.trueachievements.com/game/DuckTales-Remastered-XBLA/achievements,xbox-360,"321 / 1,098",210 / 400,15 / 20,Owned,,,,06 May 15,,18 Nov 15
Escape Dead Island,https://www.trueachievements.com/game/Escape-Dead-Island/achievements,xbox-360,"715 / 1,752","540 / 1,000",34 / 50,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Far Cry 4 (Xbox 360),https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,xbox-360,"543 / 1,510","435 / 1,000",21 / 50,Owned,Playing now,,,19 Nov 15,,18 Nov 15
LEGO Jurassic World (Xbox 360),https://www.trueachievements.com/game/LEGO-Jurassic-World-Xbox-360/achievements,xbox-360,"667 / 1,681","500 / 1,000",28 / 49,Owned,Playing now,,,19 Nov 15,,18 Nov 15
LEGO The Hobbit (Xbox 360),https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,xbox-360,"146 / 1,586","135 / 1,000",6 / 39,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Madden NFL 16 (Xbox 360),https://www.trueachievements.com/game/Madden-NFL-16-Xbox-360/achievements,xbox-360,"209 / 2,336","150 / 1,000",3 / 35,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Metal Gear Solid V: The Phantom Pain (Xbox 360),https://www.trueachievements.com/game/Metal-Gear-Solid-V-The-Phantom-Pain-Xbox-360/achievements,xbox-360,"15 / 2,288","15 / 1,000",1 / 42,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Middle-earth: Shadow of Mordor (Xbox 360),https://www.trueachievements.com/game/Middle-earth-Shadow-of-Mordor-Xbox-360/achievements,xbox-360,"1,268 / 1,741","800 / 1,000",40 / 50,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Payday 2,https://www.trueachievements.com/game/Payday-2/achievements,xbox-360,"93 / 2,665","80 / 1,000",7 / 43,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Plants vs. Zombies,https://www.trueachievements.com/game/Plants-vs-Zombies/achievements,xbox-360,61 / 429,45 / 200,3 / 12,Owned,Playing now,,,08 Jul 15,,18 Nov 15
Saints Row: Gat Out of Hell (Xbox 360),https://www.trueachievements.com/game/Saints-Row-Gat-Out-of-Hell-Xbox-360/achievements,xbox-360,"817 / 2,050","480 / 1,000",19 / 45,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Split/Second,https://www.trueachievements.com/game/SplitSecond/achievements,xbox-360,"971 / 2,859","465 / 1,000",28 / 46,Owned,,,,17 Oct 13,,18 Nov 15
The BIGS 2,https://www.trueachievements.com/game/The-BIGS-2/achievements,xbox-360,"48 / 2,508","40 / 1,000",2 / 37,Owned,Playing now,,,19 Nov 15,,18 Nov 15
The Evil Within (Xbox 360),https://www.trueachievements.com/game/The-Evil-Within-Xbox-360/achievements,xbox-360,"54 / 2,579","50 / 1,000",3 / 41,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Tron: Evolution,https://www.trueachievements.com/game/Tron-Evolution/achievements,xbox-360,"31 / 3,343","30 / 1,000",3 / 41,Owned,Playing now,,,19 Nov 15,,18 Nov 15
Terraria (Xbox 360),https://www.trueachievements.com/game/Terraria-Xbox-360/achievements,xbox-360,"5 / 1,096",5 / 400,1 / 30,Owned,,,,01 Apr 15,,30 Jun 15
Forza Horizon 2 Presents Fast & Furious,https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious/achievements,xbox-one,"559 / 1,120","530 / 1,000",14 / 25,Owned,,,,13 Apr 15,,13 Apr 15
Pool Nation FX,https://www.trueachievements.com/game/Pool-Nation-FX/achievements,xbox-one,"25 / 8,017","20 / 1,000",2 / 40,Owned,,,2 hrs 45 mins,02 Apr 15,,02 Apr 15
Rayman Legends,https://www.trueachievements.com/game/Rayman-Legends/achievements,xbox-one,"65 / 3,171","50 / 1,000",5 / 50,Owned,,,2 hrs 30 mins,01 Mar 15,,09 Mar 15
Trials Fusion,https://www.trueachievements.com/game/Trials-Fusion/achievements,xbox-one,"476 / 4,928","265 / 1,000",5 / 16,Owned,,,8 hrs 13 mins,24 Feb 15,,09 Mar 15
Project Spark,https://www.trueachievements.com/game/Project-Spark/achievements,xbox-one,"25 / 4,946","20 / 1,000",4 / 92,Owned,,,17 mins,06 Mar 15,,06 Mar 15
NBA LIVE 15,https://www.trueachievements.com/game/NBA-LIVE-15/achievements,xbox-one,"38 / 7,892","35 / 1,000",1 / 39,Owned,,,12 mins,06 Mar 15,,06 Mar 15
Madden NFL 15,https://www.trueachievements.com/game/Madden-NFL-15/achievements,xbox-one,"6 / 3,031","5 / 1,000",1 / 38,Owned,,,28 mins,06 Mar 15,,06 Mar 15
Peggle 2,https://www.trueachievements.com/game/Peggle-2/achievements,xbox-one,"528 / 2,211","395 / 1,000",12 / 28,Owned,,,6 hrs 30 mins,11 Feb 15,,06 Mar 15
Twitch,https://www.trueachievements.com/game/Twitch/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,1 hr 20 mins,26 Feb 15,,26 Feb 15
Sniper Elite V2,https://www.trueachievements.com/game/Sniper-Elite-V2/achievements,xbox-360,"21 / 2,215","20 / 1,000",2 / 41,Owned,,,,21 Feb 15,,21 Feb 15
Pure Pool,https://www.trueachievements.com/game/Pure-Pool/achievements,xbox-one,"292 / 6,772","210 / 1,000",16 / 44,Owned,,,4 hrs 44 mins,06 Feb 15,,19 Feb 15
Forza Horizon 2,https://www.trueachievements.com/game/Forza-Horizon-2/achievements,xbox-one,"10 / 2,944","10 / 1,000",1 / 50,Owned,,,36 mins,19 Feb 15,,19 Feb 15
Brothers - A Tale of Two Sons (Xbox 360),https://www.trueachievements.com/game/Brothers-A-Tale-of-Two-Sons-Xbox-360/achievements,xbox-360,22 / 491,20 / 400,1 / 12,Owned,,,,07 Feb 15,,18 Feb 15
MONOPOLY Plus (Xbox 360),https://www.trueachievements.com/game/MONOPOLY-Plus-Xbox-360/achievements,xbox-360,"1,161 / 1,189","975 / 1,000",14 / 15,Owned,,,,24 Jan 15,,16 Feb 15
Hulu,https://www.trueachievements.com/game/Hulu-Plus/achievements,xbox-one,0 / 0,0 / 0,2 / 10,Owned,,,14 hrs 27 mins,11 Feb 15,,12 Feb 15
Plants vs. Zombies Garden Warfare,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare/achievements,xbox-one,"22 / 2,134","20 / 1,000",2 / 45,Owned,,,28 mins,11 Feb 15,,11 Feb 15
Call of Duty: Advanced Warfare,https://www.trueachievements.com/game/Call-of-Duty-Advanced-Warfare/achievements,xbox-one,"13 / 2,519","10 / 1,250",1 / 60,Owned,,,4 hrs 6 mins,04 Feb 15,,04 Feb 15
Movies & TV,https://www.trueachievements.com/game/Movies-and-TV/achievements,xbox-one,0 / 0,0 / 0,3 / 10,Owned,,,7 hrs 14 mins,01 Jan 15,,04 Feb 15
THIEF,https://www.trueachievements.com/game/THIEF/achievements,xbox-one,"5 / 4,783","5 / 1,000",1 / 37,Owned,,,51 mins,02 Feb 15,,02 Feb 15
The Witcher 2: Assassins of Kings,https://www.trueachievements.com/game/The-Witcher-2/achievements,xbox-360,"30 / 2,602","25 / 1,000",2 / 50,Owned,,,,22 Jan 15,,23 Jan 15
Worms Battlegrounds,https://www.trueachievements.com/game/Worms-Battlegrounds/achievements,xbox-one,"21 / 5,153","20 / 1,000",1 / 29,Owned,,,12 mins,10 Jan 15,,10 Jan 15
MX vs. ATV Alive,https://www.trueachievements.com/game/MX-vs-ATV-Alive/achievements,xbox-360,"143 / 2,971","110 / 1,000",7 / 45,Owned,,,,02 Jan 15,,03 Jan 15
SSX,https://www.trueachievements.com/game/SSX/achievements,xbox-360,"125 / 5,639","60 / 1,000",9 / 50,Owned,,,,17 Dec 14,,28 Dec 14
GRID Autosport,https://www.trueachievements.com/game/GRID-Autosport/achievements,xbox-360,"85 / 3,714","70 / 1,000",7 / 50,Owned,,,,10 Dec 14,,11 Dec 14
The Wolf Among Us (Xbox 360),https://www.trueachievements.com/game/The-Wolf-Among-Us-Xbox-360/achievements,xbox-360,10 / 123,10 / 100,1 / 7,Owned,,,,20 Nov 14,,20 Nov 14
Red Faction: Guerrilla,https://www.trueachievements.com/game/Red-Faction-Guerrilla/achievements,xbox-360,"41 / 4,175","30 / 1,000",3 / 50,Owned,,,,18 Nov 14,,19 Nov 14
The Walking Dead: Season Two (Xbox 360),https://www.trueachievements.com/game/The-Walking-Dead-Season-Two-Xbox-360/achievements,xbox-360,20 / 104,20 / 100,2 / 8,Owned,,,,17 Nov 14,,17 Nov 14
Far Cry 3,https://www.trueachievements.com/game/Far-Cry-3/achievements,xbox-360,"337 / 1,425","290 / 1,000",14 / 50,Owned,,,,12 Aug 14,,02 Nov 14
Dragon Age: Origins,https://www.trueachievements.com/game/Dragon-Age-Origins/achievements,xbox-360,"55 / 1,788","50 / 1,000",4 / 50,Owned,,,,15 Oct 14,,22 Oct 14
Battlefield: Bad Company 2,https://www.trueachievements.com/game/Battlefield-Bad-Company-2/achievements,xbox-360,"15 / 1,727","15 / 1,000",1 / 50,Owned,,,,03 Oct 14,,05 Oct 14
