game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,322 / 22,533","640 / 6,000",76 / 600,Owned,Playing now,,102 hrs 59 mins,03 Dec 19,,05 Sep 22
Operation Flashpoint: Red River (GFWL),https://www.trueachievements.com/game/Operation-Flashpoint-Red-River-PC/achievements,games-for-windows-live,"1,243 / 2,565","620 / 1,000",30 / 50,Owned,,,,27 Oct 16,,16 Aug 20
Halo: Combat Evolved Anniversary,https://www.trueachievements.com/game/Halo-Anniversary/achievements,xbox-360,"1,648 / 1,748","965 / 1,000",42 / 44,Owned,,,,16 Apr 13,,14 Mar 20
Age of Empires: Definitive Edition (Windows),https://www.trueachievements.com/game/Age-of-Empires-Definitive-Edition/achievements,windows,"29 / 1,932","20 / 1,250",1 / 44,Owned,Playing now,,10 hrs 40 mins,20 Nov 19,,20 Nov 19
Minecraft (Android),https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,android,"244 / 2,872","180 / 1,110",12 / 56,Owned,Playing now,,131 hrs 36 mins,13 Sep 16,,07 Aug 19
Grand Theft Auto IV (GFWL),https://www.trueachievements.com/game/Grand-Theft-Auto-4-PC/achievements,games-for-windows-live,"3,359 / 5,211","880 / 1,250",43 / 55,Owned,,,,01 Jan 12,,08 Feb 19
Fallout 3 (GFWL),https://www.trueachievements.com/game/Fallout-3-PC/achievements,games-for-windows-live,"1,343 / 1,343","1,000 / 1,000",50 / 50,Owned,Playing now,,,27 Oct 16,27 Oct 16,08 Feb 19
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"393 / 1,609","310 / 1,000",26 / 49,Owned,,,,24 Jun 13,,13 Nov 18
Battlefield: Bad Company,https://www.trueachievements.com/game/Battlefield-Bad-Company/achievements,xbox-360,"25 / 2,488","25 / 1,000",1 / 50,Owned,,,,04 Nov 13,,12 Nov 18
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,98 / 407,80 / 200,5 / 12,Owned,Playing now,,,15 Nov 18,,12 Nov 18
Dragon Ball Z: Ultimate Tenkaichi,https://www.trueachievements.com/game/Dragon-Ball-Z-Ultimate-Tenkaichi/achievements,xbox-360,"267 / 2,512","205 / 1,000",14 / 49,Owned,,,,27 Oct 16,,12 Nov 18
Gears of War,https://www.trueachievements.com/game/Gears-of-War/achievements,xbox-360,"453 / 2,676","320 / 1,000",19 / 49,Owned,,,,25 Dec 13,,12 Nov 18
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"645 / 1,895","480 / 1,000",30 / 50,Owned,Playing now,,,15 Nov 18,,12 Nov 18
Gears of War 3,https://www.trueachievements.com/game/Gears-of-War-3/achievements,xbox-360,"472 / 2,849","345 / 1,000",24 / 50,Owned,Playing now,,,15 Nov 18,,12 Nov 18
Guitar Hero II,https://www.trueachievements.com/game/Guitar-Hero-2/achievements,xbox-360,"32 / 2,492","30 / 1,000",3 / 50,Owned,,,,27 Oct 16,,12 Nov 18
Saints Row: The Third,https://www.trueachievements.com/game/Saints-Row-The-Third/achievements,xbox-360,"42 / 1,680","35 / 1,000",3 / 50,Owned,,,,28 Jun 13,,12 Nov 18
Shoot Many Robots,https://www.trueachievements.com/game/Shoot-Many-Robots/achievements,xbox-360,235 / 421,125 / 200,7 / 12,Owned,,,,07 Dec 15,,12 Nov 18
Halo 3: ODST,https://www.trueachievements.com/game/Halo-3-ODST/achievements,xbox-360,"1,200 / 1,594","835 / 1,000",35 / 47,Owned,,,,25 Jun 13,,20 Feb 16
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"102 / 2,474","90 / 1,000",6 / 49,Owned,,,,02 Nov 13,,20 Feb 16
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"16 / 2,012","15 / 1,000",1 / 50,Owned,,,,27 Oct 16,,20 Feb 16
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"1,417 / 1,480","970 / 1,000",44 / 52,Owned,,,,25 Jun 13,,19 Dec 15
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"847 / 3,208","485 / 1,000",24 / 50,Owned,,,,22 Apr 13,,13 Dec 15
Harms Way,https://www.trueachievements.com/game/Harms-Way/achievements,xbox-360,161 / 243,140 / 200,8 / 12,Owned,,,,17 Aug 13,,11 Dec 15
Dragon Ball: Raging Blast 2,https://www.trueachievements.com/game/Dragon-Ball-Raging-Blast-2/achievements,xbox-360,"1,380 / 2,389","740 / 1,000",35 / 50,Owned,,,,03 May 13,,06 Dec 15
Just Cause 2,https://www.trueachievements.com/game/Just-Cause-2/achievements,xbox-360,"219 / 2,620","150 / 1,000",10 / 50,Owned,,,,01 Aug 13,,06 Feb 15
Mortal Kombat,https://www.trueachievements.com/game/Mortal-Kombat/achievements,xbox-360,"92 / 4,307","65 / 1,000",6 / 50,Owned,,,,25 Dec 13,,17 Apr 14
Battlefield 3,https://www.trueachievements.com/game/Battlefield-3/achievements,xbox-360,"10 / 2,210","10 / 1,000",1 / 38,Owned,,,,07 Dec 13,,07 Dec 13
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"529 / 3,189","290 / 1,400",23 / 85,Owned,,,,03 May 13,,28 Nov 13
Battlefield: Bad Company 2,https://www.trueachievements.com/game/Battlefield-Bad-Company-2/achievements,xbox-360,"15 / 1,727","15 / 1,000",1 / 50,Owned,,,,05 Nov 13,,05 Nov 13
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"129 / 1,869","110 / 1,000",11 / 49,Owned,,,,26 Jun 13,,31 Oct 13
Halo 2 (GFWL),https://www.trueachievements.com/game/Halo-2/achievements,games-for-windows-live,"1,227 / 1,512","860 / 1,000",34 / 41,Owned,,,,18 Feb 12,,23 Oct 13
Halo Wars,https://www.trueachievements.com/game/Halo-Wars/achievements,xbox-360,"1,064 / 2,189","605 / 1,000",35 / 50,Owned,,,,26 Jun 13,,01 Sep 13
Sniper Elite V2,https://www.trueachievements.com/game/Sniper-Elite-V2/achievements,xbox-360,"1,213 / 2,215","675 / 1,000",30 / 41,Owned,,,,24 Apr 13,,27 Aug 13
Need for Speed: Hot Pursuit,https://www.trueachievements.com/game/NFS-Hot-Pursuit/achievements,xbox-360,"33 / 2,328","30 / 1,000",4 / 50,Owned,,,,26 Jun 13,,26 Aug 13
Metro 2033,https://www.trueachievements.com/game/Metro-2033/achievements,xbox-360,"5 / 2,321","5 / 1,000",1 / 39,Owned,,,,10 Jul 13,,10 Jul 13
Borderlands,https://www.trueachievements.com/game/Borderlands/achievements,xbox-360,"574 / 1,351","455 / 1,000",27 / 50,Owned,,,,22 May 13,,02 Jul 13
Mafia II,https://www.trueachievements.com/game/Mafia-II/achievements,xbox-360,"71 / 1,618","50 / 1,000",4 / 47,Owned,,,,30 Jun 13,,30 Jun 13
Red Faction: Guerrilla (GFWL),https://www.trueachievements.com/game/Red-Faction-Guerilla-PC/achievements,games-for-windows-live,"22 / 4,787","20 / 1,000",2 / 50,Owned,,,,15 Apr 13,,30 Jun 13
Tomb Raider,https://www.trueachievements.com/game/Tomb-Raider/achievements,xbox-360,"133 / 1,984","115 / 1,000",8 / 50,Owned,,,,29 Jun 13,,29 Jun 13
Deadly Premonition,https://www.trueachievements.com/game/Deadly-Premonition/achievements,xbox-360,"50 / 2,257","50 / 1,000",1 / 12,Owned,,,,28 Jun 13,,28 Jun 13
Saints Row (2006),https://www.trueachievements.com/game/Saints-Row-Xbox-360/achievements,xbox-360,"10 / 3,600","10 / 1,000",1 / 43,Owned,,,,26 Jun 13,,26 Jun 13
Devil May Cry 4,https://www.trueachievements.com/game/Devil-May-Cry-4/achievements,xbox-360,"75 / 4,729","60 / 1,000",6 / 46,Owned,,,,02 May 13,,25 May 13
Dead Island (Xbox 360),https://www.trueachievements.com/game/Dead-Island-Xbox-360/achievements,xbox-360,"120 / 1,756","100 / 1,000",6 / 48,Owned,,,,21 May 13,,22 May 13
Burnout Paradise,https://www.trueachievements.com/game/Burnout-Paradise/achievements,xbox-360,"71 / 3,177","40 / 1,050",3 / 52,Owned,,,,17 May 13,,18 May 13
BlackSite: Area 51,https://www.trueachievements.com/game/BlackSite-Area-51/achievements,xbox-360,"31 / 3,104","30 / 1,000",3 / 44,Owned,,,,14 May 13,,17 May 13
Star Wars: The Force Unleashed,https://www.trueachievements.com/game/Star-Wars-the-Force-Unleashed/achievements,xbox-360,"32 / 2,373","30 / 1,000",4 / 47,Owned,,,,14 May 13,,14 May 13
Air Conflicts: Secret Wars,https://www.trueachievements.com/game/Air-Conflicts-Secret-Wars/achievements,xbox-360,"677 / 1,453","540 / 1,000",12 / 24,Owned,,,,05 May 13,,07 May 13
Call of Duty: World at War,https://www.trueachievements.com/game/Call-of-Duty-World-at-War/achievements,xbox-360,"324 / 1,879","205 / 1,000",10 / 46,Owned,,,,01 May 13,,02 May 13
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"938 / 1,802","670 / 1,000",39 / 48,Owned,,,,22 Apr 13,,24 Apr 13
Gears of War: Judgment,https://www.trueachievements.com/game/Gears-of-War-Judgment/achievements,xbox-360,"248 / 2,885","180 / 1,000",17 / 50,Owned,,,,16 Apr 13,,21 Apr 13
Dark Souls (GFWL),https://www.trueachievements.com/game/Dark-Souls-PC/achievements,games-for-windows-live,"30 / 2,691","30 / 1,000",2 / 41,Owned,,,,27 Oct 16,,28 Oct 12
Kane & Lynch: Dead Men (GFWL),https://www.trueachievements.com/game/Kane-And-Lynch-Dead-Men-PC/achievements,games-for-windows-live,"945 / 3,569","500 / 1,000",22 / 44,Owned,,,,16 Feb 12,,02 Sep 12
Universe at War: Earth Assault,https://www.trueachievements.com/game/Universe-at-War/achievements,xbox-360,"197 / 4,214","90 / 1,000",5 / 43,Owned,,,,27 Oct 16,,10 Apr 12
Shadowrun,https://www.trueachievements.com/game/Shadowrun/achievements,xbox-360,"131 / 2,954","100 / 1,000",8 / 50,Owned,,,,15 Feb 12,,01 Mar 12
BioShock 2 (GFWL),https://www.trueachievements.com/game/BioShock-2-PC/achievements,games-for-windows-live,"1,329 / 2,166","775 / 1,000",37 / 50,Owned,,,,27 Oct 16,,28 Jan 12
Dead Rising 2: Off The Record (GFWL),https://www.trueachievements.com/game/Dead-Rising-2-Off-the-Record-PC/achievements,games-for-windows-live,"280 / 2,338","200 / 1,000",10 / 50,Owned,,,,27 Oct 16,,28 Jan 12
FlatOut Ultimate Carnage (GFWL),https://www.trueachievements.com/game/Flatout-Ultimate-Carnage-PC/achievements,games-for-windows-live,"1,862 / 2,854","715 / 1,000",30 / 45,Owned,,,,27 Oct 16,,28 Jan 12
Section 8: Prejudice (GFWL),https://www.trueachievements.com/game/Section-8-Prejudice-PC/achievements,games-for-windows-live,"2,005 / 3,291","740 / 1,000",39 / 50,Owned,,,,27 Oct 16,,28 Jan 12
