game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Tom Clancy's Ghost Recon Breakpoint,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,xbox-one,"759 / 2,018","455 / 1,000",22 / 50,Owned,,,79 hrs 0 mins,02 Jan 21,,01 Jun 23
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"126 / 3,192","95 / 1,550",10 / 75,Xbox Game Pass,,,59 hrs 5 mins,16 May 22,,25 May 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"36 / 4,977","20 / 1,000",2 / 68,Xbox Game Pass,,,8 mins,20 May 23,,20 May 23
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"668 / 3,356","400 / 1,000",15 / 34,Owned,Playing now,,5 hrs 23 mins,08 Jan 23,,14 May 23
SMITE,https://www.trueachievements.com/game/SMITE/achievements,xbox-one,"8,956 / 15,474","3,045 / 4,155",211 / 280,Owned,,,2096 hrs 55 mins,05 Jul 15,,03 May 23
Dead Island 2,https://www.trueachievements.com/game/Dead-Island-2/achievements,xbox-one,"64 / 1,768","60 / 1,000",6 / 45,Owned,Playing now,,15 hrs 38 mins,27 Apr 23,,30 Apr 23
Streets of Rogue,https://www.trueachievements.com/game/Streets-of-Rogue/achievements,xbox-one,"778 / 3,714","315 / 1,000",21 / 50,Owned,,,21 hrs 45 mins,28 Jul 21,,28 Apr 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"521 / 2,626","330 / 1,150",18 / 69,Owned,,,140 hrs 20 mins,03 Jan 17,,21 Apr 23
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"516 / 2,287","300 / 1,000",17 / 44,Owned,Playing now,,154 hrs 5 mins,25 Dec 22,,11 Apr 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"2,064 / 10,080","995 / 2,250",70 / 147,Owned,,,152 hrs 12 mins,20 May 18,,07 Apr 23
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"1,477 / 3,730","830 / 1,440",51 / 66,Owned,,,179 hrs 18 mins,23 Aug 17,,11 Mar 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"741 / 3,836","320 / 1,000",19 / 51,Owned,,,209 hrs 32 mins,27 Oct 18,,07 Mar 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"406 / 3,511","250 / 1,000",14 / 47,Owned,,,,03 Jun 21,,07 Mar 23
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"275 / 3,587","160 / 1,000",9 / 41,Xbox Game Pass,,,4 hrs 8 mins,08 Jan 23,,12 Jan 23
Battlefield 2042 (Xbox One),https://www.trueachievements.com/game/Battlefield-2042-Xbox-One/achievements,xbox-one,"854 / 3,707","450 / 1,000",17 / 34,Owned,Playing now,,68 hrs 38 mins,26 Dec 21,,09 Jan 23
Tom Clancy's EndWar,https://www.trueachievements.com/game/Tom-Clancys-EndWar/achievements,xbox-360,"215 / 7,057","135 / 1,000",9 / 50,Owned,,,,09 Nov 08,,24 Dec 22
Lost Planet 2,https://www.trueachievements.com/game/Lost-Planet-2/achievements,xbox-360,"505 / 8,922","245 / 1,000",19 / 50,Owned,,,,23 Jun 10,,21 Dec 22
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"2,508 / 6,680","1,095 / 1,825",44 / 68,Owned,,,344 hrs 54 mins,25 Dec 14,,20 Dec 22
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"613 / 1,595","470 / 1,000",26 / 50,Owned,,,78 hrs 50 mins,24 Nov 17,,10 Oct 22
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"819 / 2,297","510 / 1,000",31 / 50,Owned,,,,14 Mar 15,,12 Sep 22
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"443 / 1,736","280 / 1,000",4 / 14,Xbox Game Pass,,,7 hrs 30 mins,07 Sep 22,,09 Sep 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"339 / 4,060","260 / 1,930",17 / 86,Owned,,,23 hrs 44 mins,17 Nov 19,,12 Jul 22
Mirror's Edge Catalyst,https://www.trueachievements.com/game/Mirrors-Edge-Catalyst/achievements,xbox-one,"144 / 3,411","105 / 1,000",7 / 49,Owned,,,,23 Nov 20,,09 Jul 22
Tom Clancy's Splinter Cell Conviction,https://www.trueachievements.com/game/Tom-Clancys-Splinter-Cell-Conviction/achievements,xbox-360,"878 / 2,393","490 / 1,000",28 / 45,Owned,,,,14 Apr 10,,06 Jul 22
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"905 / 2,012","585 / 1,000",33 / 50,Owned,,,,09 May 10,,06 Jul 22
Deep Rock Galactic,https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,xbox-one,"197 / 4,796","110 / 1,000",7 / 67,Xbox Game Pass,,,11 hrs 34 mins,30 Jun 22,,02 Jul 22
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"1,446 / 3,617","700 / 1,310",37 / 63,Owned,,,344 hrs 13 mins,14 Nov 18,,20 Jun 22
Dauntless,https://www.trueachievements.com/game/Dauntless/achievements,xbox-one,"3,394 / 8,636","1,020 / 1,760",21 / 35,Owned,,,33 hrs 45 mins,24 May 19,,09 Jun 22
"Warhammer 40,000: Inquisitor - Martyr",https://www.trueachievements.com/game/Warhammer-40000-Inquisitor--Martyr/achievements,xbox-one,"2,077 / 5,153","805 / 1,850",45 / 77,Owned,,,192 hrs 28 mins,15 May 20,,16 May 22
The Elder Scrolls IV: Oblivion,https://www.trueachievements.com/game/Oblivion/achievements,xbox-360,"1,556 / 1,861","1,060 / 1,250",57 / 60,Owned,,,,13 Oct 07,,16 May 22
Generation Zero,https://www.trueachievements.com/game/Generation-Zero/achievements,xbox-one,"233 / 3,637","150 / 1,000",9 / 50,Owned,,,7 hrs 50 mins,31 Mar 19,,13 May 22
