game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"1,154 / 1,892","805 / 1,000",55 / 69,Owned,,,,05 Aug 15,,Yesterday
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"126 / 3,356","100 / 1,000",4 / 34,Owned,Playing now,,5 hrs 51 mins,29 Nov 22,,02 Jun 23
BioShock Infinite: The Complete Edition,https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,xbox-one,"2,562 / 4,363","1,115 / 1,670",59 / 80,Owned,,,,17 Feb 17,,31 May 23
BioShock 2 Remastered,https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,xbox-one,"1,756 / 1,756","1,035 / 1,035",53 / 53,Owned,,,,16 Nov 16,24 May 23,24 May 23
BioShock Remastered,https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,xbox-one,"2,369 / 2,369","1,200 / 1,200",63 / 63,Owned,,,,04 Oct 16,17 May 23,17 May 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"158 / 4,142","114 / 1,000",10 / 66,Xbox Game Pass,,,4 hrs 46 mins,09 May 23,,10 May 23
Star Wars Jedi: Survivor,https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,xbox-series-x-s,"1,852 / 1,852","1,000 / 1,000",53 / 53,Owned,Playing now,,50 hrs 45 mins,02 May 23,09 May 23,09 May 23
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"2,207 / 5,495","1,360 / 2,915",70 / 127,Xbox Game Pass,,,75 hrs 40 mins,19 Apr 23,,01 May 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"275 / 6,720","180 / 1,290",19 / 100,Owned,,,37 hrs 13 mins,11 Sep 19,,19 Apr 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"517 / 4,927","220 / 1,000",10 / 30,Xbox Game Pass,,,5 hrs 45 mins,18 Apr 23,,18 Apr 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"379 / 4,412","225 / 1,180",17 / 66,Xbox Game Pass,,,9 hrs 13 mins,17 Apr 23,,18 Apr 23
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"1,265 / 2,193","685 / 1,000",38 / 53,Owned,Playing now,,43 hrs 50 mins,23 Mar 23,,17 Apr 23
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"7,074 / 25,468","2,935 / 6,990",314 / 699,Owned,,,202 hrs 2 mins,31 Dec 14,,10 Apr 23
PGA Tour 2K23,https://www.trueachievements.com/game/PGA-Tour-2K23/achievements,xbox-one,"1,225 / 2,017","675 / 1,000",19 / 29,Owned,Playing now,,28 hrs 9 mins,08 Mar 23,,07 Apr 23
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"1,797 / 3,252","820 / 1,250",46 / 73,Owned,,,181 hrs 50 mins,04 Nov 15,,05 Apr 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"154 / 2,586","120 / 1,000",4 / 25,Xbox Game Pass,,,10 hrs 27 mins,28 Mar 23,,29 Mar 23
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"2,020 / 2,020","1,000 / 1,000",39 / 39,Xbox Game Pass,,,22 hrs 18 mins,21 Mar 23,23 Mar 23,23 Mar 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"1,046 / 3,944","610 / 1,180",17 / 33,PC Game Pass,,,8 hrs 59 mins,15 Mar 23,,22 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"51 / 2,696","45 / 1,000",3 / 51,Xbox Game Pass,,,1 hr 3 mins,07 Mar 23,,07 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"1,991 / 1,991","1,000 / 1,000",45 / 45,Owned,Playing now,,68 hrs 8 mins,10 Feb 23,06 Mar 23,06 Mar 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"2,004 / 2,441","940 / 1,000",31 / 32,Xbox Game Pass,,,27 hrs 11 mins,14 Dec 22,,03 Mar 23
Madden NFL 23,https://www.trueachievements.com/game/Madden-NFL-23/achievements,xbox-series-x-s,"114 / 4,319","80 / 1,000",2 / 23,Owned,Playing now,,1 hr 13 mins,02 Mar 23,,02 Mar 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"889 / 2,661","470 / 1,000",25 / 34,Owned,Playing now,,4 hrs 30 mins,20 Feb 23,,01 Mar 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"461 / 5,946","180 / 1,000",10 / 42,Xbox Game Pass,,,10 hrs 51 mins,23 Feb 23,,27 Feb 23
GoldenEye 007,https://www.trueachievements.com/game/GoldenEye-007/achievements,xbox-one,"50 / 3,246","40 / 1,000",2 / 55,Owned,Playing now,,1 hr 8 mins,09 Feb 23,,09 Feb 23
Spyro Reignited Trilogy,https://www.trueachievements.com/game/Spyro-Reignited-Trilogy/achievements,xbox-one,"5,373 / 5,373","3,000 / 3,000",105 / 105,Owned,,,34 hrs 31 mins,13 Nov 18,25 Jan 23,25 Jan 23
Yakuza 0,https://www.trueachievements.com/game/Yakuza-0/achievements,xbox-one,"247 / 4,694","135 / 1,000",9 / 55,Xbox Game Pass,,,18 hrs 9 mins,11 Jan 23,,19 Jan 23
Soccer Story,https://www.trueachievements.com/game/Soccer-Story/achievements,xbox-one,"1,928 / 2,654","800 / 1,000",18 / 20,Xbox Game Pass,,,8 hrs 39 mins,05 Dec 22,,17 Jan 23
Insurgency: Sandstorm,https://www.trueachievements.com/game/Insurgency-Sandstorm/achievements,xbox-one,"39 / 3,070","30 / 1,000",2 / 30,Xbox Game Pass,,,21 mins,09 Dec 22,,09 Dec 22
Hello Neighbor 2,https://www.trueachievements.com/game/Hello-Neighbor-2/achievements,xbox-one,"1,752 / 1,752","1,000 / 1,000",14 / 14,Xbox Game Pass,,,4 hrs 37 mins,07 Dec 22,07 Dec 22,07 Dec 22
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"1,154 / 1,892","805 / 1,000",55 / 69,Owned,,,,05 Aug 15,,Yesterday
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"126 / 3,356","100 / 1,000",4 / 34,Owned,Playing now,,5 hrs 51 mins,29 Nov 22,,02 Jun 23
BioShock Infinite: The Complete Edition,https://www.trueachievements.com/game/BioShock-Infinite-Xbox-One/achievements,xbox-one,"2,562 / 4,363","1,115 / 1,670",59 / 80,Owned,,,,17 Feb 17,,31 May 23
BioShock 2 Remastered,https://www.trueachievements.com/game/BioShock-2-Xbox-One/achievements,xbox-one,"1,756 / 1,756","1,035 / 1,035",53 / 53,Owned,,,,16 Nov 16,24 May 23,24 May 23
BioShock Remastered,https://www.trueachievements.com/game/BioShock-Xbox-One/achievements,xbox-one,"2,369 / 2,369","1,200 / 1,200",63 / 63,Owned,,,,04 Oct 16,17 May 23,17 May 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"158 / 4,142","114 / 1,000",10 / 66,Xbox Game Pass,,,4 hrs 46 mins,09 May 23,,10 May 23
Star Wars Jedi: Survivor,https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,xbox-series-x-s,"1,852 / 1,852","1,000 / 1,000",53 / 53,Owned,Playing now,,50 hrs 45 mins,02 May 23,09 May 23,09 May 23
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"2,207 / 5,495","1,360 / 2,915",70 / 127,Xbox Game Pass,,,75 hrs 40 mins,19 Apr 23,,01 May 23
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"275 / 6,720","180 / 1,290",19 / 100,Owned,,,37 hrs 13 mins,11 Sep 19,,19 Apr 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"517 / 4,927","220 / 1,000",10 / 30,Xbox Game Pass,,,5 hrs 45 mins,18 Apr 23,,18 Apr 23
