game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"939 / 3,694","510 / 1,280",32 / 69,Owned,Playing now,,251 hrs 52 mins,13 Nov 21,,07 May 23
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"146 / 3,642","115 / 1,000",8 / 55,Owned,Playing now,,3 hrs 2 mins,13 Feb 22,,28 Feb 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"1,091 / 3,944","565 / 1,180",19 / 33,Owned,Playing now,,6 hrs 7 mins,10 Dec 22,,02 Jan 23
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"30 / 3,395","30 / 1,250",2 / 56,Owned,Playing now,,,03 Nov 22,,03 Nov 22
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"10 / 1,595",10 / 830,1 / 44,Owned,Playing now,,7 mins,29 Jul 22,,29 Jul 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"29 / 2,784","25 / 1,000",1 / 30,Owned,Playing now,,12 mins,17 Jun 22,,17 Jun 22
F1 2019 (Windows),https://www.trueachievements.com/game/F1-2019-Windows/achievements,windows,"17 / 4,014","15 / 1,000",1 / 47,Owned,Playing now,,28 mins,02 Apr 22,,02 Apr 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"855 / 7,876","430 / 2,650",31 / 131,Owned,Playing now,,37 hrs 17 mins,17 Nov 19,,13 Feb 22
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"15 / 9,216","15 / 1,000",1 / 47,Owned,Playing now,,2 hrs 12 mins,09 Feb 22,,09 Feb 22
Windjammers 2,https://www.trueachievements.com/game/Windjammers-2/achievements,xbox-one,"60 / 5,881","30 / 1,000",2 / 28,Owned,Playing now,,1 hr 0 mins,09 Feb 22,,09 Feb 22
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"136 / 3,012","80 / 1,060",6 / 63,Owned,Playing now,,8 hrs 17 mins,08 Aug 21,,01 Feb 22
Darksiders III,https://www.trueachievements.com/game/Darksiders-3/achievements,xbox-one,"249 / 2,247","180 / 1,000",13 / 50,Owned,Playing now,,9 hrs 21 mins,26 Aug 21,,31 Aug 21
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"95 / 3,212","70 / 1,000",6 / 42,Owned,Playing now,,6 hrs 20 mins,17 Jun 21,,18 Jul 21
Rogue Company,https://www.trueachievements.com/game/Rogue-Company/achievements,xbox-one,"11 / 1,977","10 / 1,000",1 / 20,Owned,Playing now,,1 hr 17 mins,25 Jun 21,,25 Jun 21
DOOM Eternal,https://www.trueachievements.com/game/Doom-Eternal/achievements,xbox-one,"33 / 2,280","33 / 1,000",1 / 33,Owned,Playing now,,2 hrs 26 mins,29 May 21,,29 May 21
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,683 / 3,403","1,150 / 1,950",47 / 71,Owned,,,28 hrs 58 mins,25 Dec 17,,28 Nov 20
Tekken 7,https://www.trueachievements.com/game/Tekken-7/achievements,xbox-one,"62 / 1,874","45 / 1,000",4 / 43,Owned,Playing now,,4 hrs 0 mins,08 Mar 20,,04 Oct 20
Final Fantasy VII,https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,xbox-one,"30 / 2,638","30 / 1,000",2 / 31,Owned,Playing now,,1 hr 0 mins,05 Sep 20,,05 Sep 20
Marvel vs. Capcom: Infinite,https://www.trueachievements.com/game/Marvel-vs-Capcom-Infinite/achievements,xbox-one,"26 / 6,224","20 / 1,000",1 / 47,Owned,Playing now,,25 mins,05 Sep 20,,05 Sep 20
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"258 / 7,900","145 / 1,750",12 / 77,Owned,,,134 hrs 21 mins,24 Dec 17,,08 Feb 20
eFootball PES 2020,https://www.trueachievements.com/game/eFootball-PES-2020/achievements,xbox-one,"34 / 3,078","30 / 1,000",3 / 49,Owned,,,2 hrs 20 mins,21 Dec 19,,21 Dec 19
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"48 / 3,807","40 / 1,000",2 / 35,Owned,,,5 hrs 57 mins,29 Nov 19,,29 Nov 19
Super Street Fighter IV,https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,xbox-360,"11 / 4,858","10 / 1,000",1 / 50,Owned,,,,22 Sep 15,,10 Nov 19
DiRT Showdown,https://www.trueachievements.com/game/DiRT-Showdown/achievements,xbox-360,"158 / 3,070","100 / 1,000",9 / 49,Owned,,,,09 Apr 16,,09 Nov 19
