game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,628 / 3,769","930 / 1,600",82 / 119,Owned,Playing now,,174 hrs 13 mins,18 Nov 21,,30 Dec 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"270 / 2,514","220 / 1,000",17 / 53,Owned,Playing now,,11 hrs 18 mins,06 Nov 21,,13 Nov 21
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"3,115 / 25,468","1,535 / 6,990",165 / 699,Owned,,,286 hrs 9 mins,14 Nov 14,,22 Jan 21
Gears of War 4,https://www.trueachievements.com/game/Gears-of-War-4/achievements,xbox-one,"464 / 11,056","260 / 2,500",13 / 119,Owned,Playing now,,3 hrs 19 mins,01 Feb 19,,02 Feb 19
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"10 / 1,595",10 / 830,1 / 44,Owned,Playing now,,16 mins,11 Dec 18,,11 Dec 18
Warhammer: End Times - Vermintide,https://www.trueachievements.com/game/Warhammer-End-Times-Vermintide/achievements,xbox-one,"13 / 7,798","10 / 1,000",1 / 45,Owned,Playing now,,18 mins,18 Jan 18,,18 Jan 18
Tomb Raider: Underworld,https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,xbox-360,"25 / 2,134","25 / 1,000",1 / 31,Owned,Playing now,,,18 Jan 18,,18 Jan 18
Castle Crashers Remastered,https://www.trueachievements.com/game/Castle-Crashers-Remastered/achievements,xbox-one,"155 / 2,155","100 / 1,000",1 / 12,Owned,Playing now,,6 hrs 28 mins,15 Jan 18,,15 Jan 18
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"54 / 1,560","50 / 1,000",4 / 44,Owned,Playing now,,5 hrs 32 mins,13 Jan 18,,13 Jan 18
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"158 / 6,073","140 / 1,000",12 / 45,Owned,Playing now,,125 hrs 41 mins,30 Sep 17,,08 Jan 18
Elite: Dangerous,https://www.trueachievements.com/game/Elite-Dangerous/achievements,xbox-one,"227 / 17,967","90 / 2,215",8 / 123,Owned,Playing now,,13 hrs 30 mins,06 Oct 15,,30 Dec 17
Call of Duty: WWII,https://www.trueachievements.com/game/Call-of-Duty-WWII/achievements,xbox-one,"1,084 / 2,632","600 / 1,000",27 / 50,Owned,Playing now,,100 hrs 44 mins,03 Nov 17,,17 Nov 17
Trackmania Turbo,https://www.trueachievements.com/game/Trackmania-Turbo/achievements,xbox-one,"167 / 11,302","90 / 1,000",6 / 48,Owned,Playing now,,2 hrs 23 mins,03 Nov 17,,03 Nov 17
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"230 / 2,652","170 / 1,190",11 / 49,Owned,Playing now,,64 hrs 10 mins,22 Oct 17,,01 Nov 17
Deus Ex: Mankind Divided,https://www.trueachievements.com/game/Deus-Ex-Mankind-Divided/achievements,xbox-one,"898 / 3,835","490 / 1,375",26 / 68,Owned,Playing now,,,14 Oct 17,,25 Oct 17
World of Tanks,https://www.trueachievements.com/game/World-of-Tanks/achievements,xbox-one,"34 / 4,315","20 / 1,450",2 / 87,Owned,Playing now,,1 hr 19 mins,12 Oct 15,,24 Oct 17
OXENFREE,https://www.trueachievements.com/game/OXENFREE/achievements,xbox-one,"453 / 1,796","350 / 1,000",5 / 13,Owned,Playing now,,,20 Oct 17,,24 Oct 17
Battlefield 1,https://www.trueachievements.com/game/Battlefield-1/achievements,xbox-one,"1,197 / 3,594","615 / 1,250",24 / 36,Owned,Playing now,,116 hrs 15 mins,18 Oct 16,,21 Oct 17
The Turing Test,https://www.trueachievements.com/game/The-Turing-Test/achievements,xbox-one,"1,331 / 1,331","1,000 / 1,000",15 / 15,Owned,Playing now,,7 hrs 32 mins,20 Oct 17,21 Oct 17,21 Oct 17
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"239 / 3,698","210 / 1,750",14 / 79,Owned,Playing now,,10 hrs 12 mins,07 Oct 17,,13 Oct 17
