game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Gotham Knights,https://www.trueachievements.com/game/Gotham-Knights/achievements,xbox-series-x-s,"86 / 1,930","75 / 1,000",5 / 48,Owned,Playing now,,6 hrs 27 mins,10 Apr 23,,28 May 23
FIFA 23,https://www.trueachievements.com/game/FIFA-23/achievements,xbox-series-x-s,"355 / 3,215","210 / 1,000",11 / 39,Owned,Playing now,,112 hrs 18 mins,05 Oct 22,,18 May 23
Football Manager 2023 Console,https://www.trueachievements.com/game/Football-Manager-2023/achievements,xbox-one,"5 / 2,414","5 / 1,000",1 / 41,Owned,Playing now,,14 mins,30 Mar 23,,30 Mar 23
WWE 2K22,https://www.trueachievements.com/game/WWE-2K22/achievements,xbox-series-x-s,"102 / 2,937","55 / 1,000",4 / 54,Owned,Playing now,,3 hrs 3 mins,12 Dec 22,,17 Dec 22
Outriders,https://www.trueachievements.com/game/Outriders/achievements,xbox-one,"15 / 2,026","15 / 1,000",1 / 43,Owned,Playing now,,54 mins,07 Dec 22,,07 Dec 22
Evil Genius 2: World Domination,https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,xbox-one,"25 / 8,124","20 / 1,000",4 / 90,Owned,Playing now,,53 mins,25 Nov 22,,25 Nov 22
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"263 / 3,871","180 / 1,280",14 / 61,Owned,Playing now,,69 hrs 45 mins,19 Jan 22,,20 Aug 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"44 / 2,661","40 / 1,000",4 / 34,Owned,Playing now,,13 mins,22 Jul 22,,22 Jul 22
eFootball 2023,https://www.trueachievements.com/game/eFootball/achievements,xbox-one,"150 / 1,691","120 / 1,000",3 / 17,Owned,Playing now,,24 mins,19 Jul 22,,19 Jul 22
Football Manager 2022 Xbox Edition,https://www.trueachievements.com/game/Football-Manager-2022/achievements,xbox-one,"6 / 3,917","5 / 1,000",1 / 94,Owned,Playing now,,2 hrs 24 mins,30 May 22,,30 May 22
