game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"55 / 1,370",45 / 600,5 / 50,Owned,Playing now,,55 mins,26 Dec 21,,27 Dec 21
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"336 / 16,587","215 / 2,180",21 / 121,Owned,Playing now,,15 hrs 45 mins,28 Nov 21,,05 Dec 21
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"177 / 2,514","150 / 1,000",12 / 53,Owned,Playing now,,2 hrs 27 mins,10 Nov 21,,23 Nov 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"480 / 5,514","310 / 1,950",22 / 92,Owned,Playing now,,15 hrs 13 mins,27 Aug 20,,31 Aug 20
Quantum Break,https://www.trueachievements.com/game/Quantum-Break/achievements,xbox-one,"324 / 1,593","265 / 1,000",12 / 42,Owned,,,6 hrs 0 mins,05 Apr 16,,06 Apr 16
Life is Strange,https://www.trueachievements.com/game/Life-Is-Strange/achievements,xbox-one,39 / 282,30 / 200,3 / 12,Owned,,,3 hrs 23 mins,31 Jul 15,,31 Jul 15
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,302 / 18,974","750 / 5,000",83 / 500,Owned,,,44 hrs 55 mins,08 Apr 15,,07 May 15
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"81 / 1,569","80 / 1,000",4 / 41,Owned,,,3 hrs 58 mins,11 Apr 15,,20 Apr 15
Child of Light,https://www.trueachievements.com/game/Child-of-Light/achievements,xbox-one,"155 / 1,756","130 / 1,000",5 / 27,Owned,,,1 hr 43 mins,20 Apr 15,,20 Apr 15
Netflix,https://www.trueachievements.com/game/Netflix/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,5 hrs 51 mins,18 Apr 15,,18 Apr 15
Madden NFL 15,https://www.trueachievements.com/game/Madden-NFL-15/achievements,xbox-one,"61 / 3,031","50 / 1,000",3 / 38,Owned,,,3 hrs 9 mins,13 Apr 15,,13 Apr 15
Pool Nation FX,https://www.trueachievements.com/game/Pool-Nation-FX/achievements,xbox-one,"50 / 8,017","45 / 1,000",2 / 40,Owned,,,11 mins,11 Apr 15,,11 Apr 15
Forza Horizon 2 Presents Fast & Furious,https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious/achievements,xbox-one,"140 / 1,120","140 / 1,000",2 / 25,Owned,,,17 mins,11 Apr 15,,11 Apr 15
Forza Horizon 2,https://www.trueachievements.com/game/Forza-Horizon-2/achievements,xbox-one,"128 / 2,944","120 / 1,000",9 / 50,Owned,,,4 hrs 2 mins,10 Apr 15,,10 Apr 15
Sunset Overdrive,https://www.trueachievements.com/game/Sunset-Overdrive/achievements,xbox-one,"40 / 2,689","40 / 1,000",2 / 64,Owned,,,22 mins,09 Apr 15,,09 Apr 15
DiRT 3 (GFWL),https://www.trueachievements.com/game/DiRT-3-PC/achievements,games-for-windows-live,"10 / 3,548","10 / 1,000",1 / 50,Owned,,,,18 Jul 13,,03 Nov 14
EA SPORTS UFC,https://www.trueachievements.com/game/EA-SPORTS-UFC/achievements,xbox-one,"65 / 4,642","50 / 1,000",1 / 32,Owned,,,1 hr 4 mins,02 Jul 14,,02 Jul 14
South Park: The Stick of Truth (Xbox 360),https://www.trueachievements.com/game/South-Park-The-Stick-of-Truth/achievements,xbox-360,"128 / 1,781","105 / 1,000",7 / 50,Owned,,,,05 Mar 14,,09 Mar 14
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"585 / 1,933","460 / 1,000",26 / 50,Owned,,,,05 Mar 14,,09 Mar 14
Plants vs. Zombies Garden Warfare (Xbox 360),https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-Xbox-360/achievements,xbox-360,"281 / 1,657","230 / 1,000",11 / 45,Owned,,,,05 Mar 14,,07 Mar 14
Halo: Spartan Assault,https://www.trueachievements.com/game/Halo-Spartan-Assault/achievements,xbox-one,"10 / 3,664","10 / 1,000",1 / 30,Owned,,,56 mins,15 Feb 14,,15 Feb 14
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"1,359 / 3,158","920 / 1,300",39 / 63,Owned,,,13 hrs 56 mins,04 Dec 13,,06 Dec 13
Dead Rising 3,https://www.trueachievements.com/game/Dead-Rising-3/achievements,xbox-one,"1,716 / 1,981","950 / 1,000",51 / 52,Owned,,,58 hrs 33 mins,22 Nov 13,,04 Dec 13
Xbox One,https://www.trueachievements.com/game/Xbox-One/achievements,xbox-one,0 / 0,0 / 0,1 / 1,Owned,,,,22 Nov 13,22 Nov 13,22 Nov 13
Battlefield 4 (Xbox 360),https://www.trueachievements.com/game/Battlefield-4-Xbox-360/achievements,xbox-360,"66 / 1,947","60 / 1,000",3 / 42,Owned,,,,29 Mar 19,,22 Nov 13
Deadpool (Xbox 360),https://www.trueachievements.com/game/Deadpool-Xbox-360/achievements,xbox-360,"281 / 2,058","240 / 1,000",16 / 50,Owned,,,,23 Jun 13,,22 Nov 13
Madden NFL 25 (Xbox 360),https://www.trueachievements.com/game/Madden-NFL-25-Xbox-360/achievements,xbox-360,"27 / 2,629","25 / 1,000",1 / 41,Owned,,,,29 Mar 19,,22 Nov 13
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"980 / 2,474","510 / 1,000",31 / 49,Owned,,,,17 Sep 13,,17 Oct 13
Tom Clancy's Splinter Cell Blacklist,https://www.trueachievements.com/game/Tom-Clancys-Splinter-Cell-Blacklist/achievements,xbox-360,"21 / 2,217","20 / 1,000",2 / 47,Owned,,,,20 Aug 13,,20 Aug 13
Saints Row IV,https://www.trueachievements.com/game/Saints-Row-IV/achievements,xbox-360,"20 / 1,879","20 / 1,000",2 / 50,Owned,,,,18 Aug 13,,18 Aug 13
Fuse,https://www.trueachievements.com/game/Fuse/achievements,xbox-360,"5 / 2,505","5 / 1,000",1 / 40,Owned,,,,08 Jun 13,,08 Jun 13
Dragon's Dogma,https://www.trueachievements.com/game/Dragons-Dogma/achievements,xbox-360,"20 / 2,075","20 / 1,000",3 / 50,Owned,,,,07 Jun 13,,08 Jun 13
Mafia II,https://www.trueachievements.com/game/Mafia-II/achievements,xbox-360,"2,359 / 2,959","1,280 / 1,500",59 / 67,Owned,,,,06 Jun 13,,07 Jun 13
Forza Motorsport 4,https://www.trueachievements.com/game/Forza-Motorsport-4/achievements,xbox-360,"46 / 2,695","45 / 1,000",3 / 48,Owned,,,,05 Jun 13,,05 Jun 13
Army of TWO: The Devil's Cartel,https://www.trueachievements.com/game/Army-of-Two-The-Devils-Cartel/achievements,xbox-360,"20 / 1,904","20 / 1,000",2 / 46,Owned,,,,05 Jun 13,,05 Jun 13
Assassin's Creed III,https://www.trueachievements.com/game/Assassins-Creed-III/achievements,xbox-360,"32 / 2,011","30 / 1,000",2 / 50,Owned,,,,29 May 13,,05 Jun 13
Remember Me,https://www.trueachievements.com/game/Remember-Me/achievements,xbox-360,"10 / 2,066","10 / 1,000",1 / 50,Owned,,,,03 Jun 13,,03 Jun 13
Yoostar 2: In The Movies,https://www.trueachievements.com/game/Yoostar-2/achievements,xbox-360,"75 / 16,029","50 / 1,000",3 / 50,Owned,,,,30 May 13,,30 May 13
BioShock Infinite,https://www.trueachievements.com/game/BioShock-Infinite/achievements,xbox-360,"5 / 2,136","5 / 1,000",1 / 50,Owned,,,,30 May 13,,30 May 13
FIFA 13,https://www.trueachievements.com/game/FIFA-13/achievements,xbox-360,"216 / 2,068","125 / 1,000",9 / 48,Owned,,,,29 Mar 19,,30 May 13
Splatterhouse,https://www.trueachievements.com/game/Splatterhouse/achievements,xbox-360,"21 / 2,122","20 / 1,000",4 / 50,Owned,,,,30 May 13,,30 May 13
Spec Ops: The Line,https://www.trueachievements.com/game/Spec-Ops-The-Line/achievements,xbox-360,"90 / 1,508","80 / 1,000",6 / 50,Owned,,,,30 May 13,,30 May 13
Final Fantasy XIII-2,https://www.trueachievements.com/game/Final-Fantasy-XIII-2/achievements,xbox-360,"15 / 1,804","15 / 1,000",1 / 31,Owned,,,,29 May 13,,29 May 13
GRID 2,https://www.trueachievements.com/game/Grid-2/achievements,xbox-360,"16 / 3,381","15 / 1,000",2 / 50,Owned,,,,29 May 13,,29 May 13
Max Payne 3,https://www.trueachievements.com/game/Max-Payne-3/achievements,xbox-360,"21 / 3,538","20 / 1,000",1 / 46,Owned,,,,29 May 13,,29 May 13
Resident Evil Revelations (Xbox 360),https://www.trueachievements.com/game/Resident-Evil-Revelations/achievements,xbox-360,"5 / 2,984","5 / 1,000",1 / 50,Owned,,,,29 May 13,,29 May 13
L.A. Noire (Xbox 360),https://www.trueachievements.com/game/LA-Noire-Xbox-360/achievements,xbox-360,"2,333 / 2,396","1,370 / 1,400",58 / 60,Owned,,,,19 May 11,,22 May 13
Prototype 2 (Xbox 360),https://www.trueachievements.com/game/Prototype-2-Xbox-360/achievements,xbox-360,"41 / 1,371","40 / 1,000",4 / 43,Owned,,,,16 May 13,,16 May 13
Motocross Madness,https://www.trueachievements.com/game/Motocross-Madness/achievements,xbox-360,"31 / 1,134",25 / 400,4 / 30,Owned,,,,11 Apr 13,,07 May 13
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"1,095 / 1,869","580 / 1,000",28 / 49,Owned,,,,03 Nov 12,,07 May 13
Alan Wake,https://www.trueachievements.com/game/Alan-Wake/achievements,xbox-360,"2,987 / 2,986","1,500 / 1,500",67 / 67,Owned,,,,11 May 10,29 Mar 19,07 May 13
Assassin's Creed II,https://www.trueachievements.com/game/Assassins-Creed-2/achievements,xbox-360,"1,253 / 1,253","1,000 / 1,000",50 / 50,Owned,,,,29 Mar 19,29 Mar 19,07 May 13
Tomb Raider,https://www.trueachievements.com/game/Tomb-Raider/achievements,xbox-360,"515 / 1,985","385 / 1,000",22 / 50,Owned,,,,01 Mar 13,,07 May 13
Halo: Combat Evolved Anniversary,https://www.trueachievements.com/game/Halo-Anniversary/achievements,xbox-360,"104 / 1,748","95 / 1,000",5 / 44,Owned,,,,17 Nov 11,,06 May 13
Kinect Adventures,https://www.trueachievements.com/game/Kinect-Adventures/achievements,xbox-360,"41 / 3,586","40 / 1,000",2 / 32,Owned,,,,14 Dec 12,,12 Jan 13
The Walking Dead (Xbox 360),https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,xbox-360,609 / 608,500 / 500,40 / 40,Owned,,,,29 Dec 12,03 Jan 13,03 Jan 13
Just Dance 4,https://www.trueachievements.com/game/Just-Dance-4/achievements,xbox-360,"41 / 4,172","40 / 1,000",3 / 40,Owned,,,,26 Dec 12,,26 Dec 12
Resident Evil 6 (Xbox 360),https://www.trueachievements.com/game/Resident-Evil-6-Xbox-360/achievements,xbox-360,"980 / 2,147","520 / 1,000",28 / 50,Owned,,,,28 Sep 12,,23 Dec 12
The Gunstringer,https://www.trueachievements.com/game/The-Gunstringer/achievements,xbox-360,"20 / 4,183","20 / 1,000",2 / 50,Owned,,,,16 Dec 12,,16 Dec 12
Guitar Hero: Warriors of Rock,https://www.trueachievements.com/game/Guitar-Hero-Warriors-of-Rock/achievements,xbox-360,"254 / 2,214","200 / 1,000",8 / 50,Owned,,,,29 Mar 19,,11 Nov 12
Borderlands 2 (Xbox 360),https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,xbox-360,"1,480 / 1,649","930 / 1,000",46 / 50,Owned,,,,22 Sep 12,,02 Nov 12
Dead Rising 2 (Xbox 360),https://www.trueachievements.com/game/Dead-Rising-2/achievements,xbox-360,"1,565 / 2,830","640 / 1,000",32 / 50,Owned,,,,06 Oct 10,,13 Oct 12
Brothers in Arms: Hell's Highway (DE),https://www.trueachievements.com/game/Brothers-in-Arms-Hells-Highway-German/achievements,xbox-360,"418 / 1,586","340 / 1,000",19 / 43,Owned,,,,19 Sep 09,,18 Aug 12
Grand Theft Auto IV (GFWL),https://www.trueachievements.com/game/Grand-Theft-Auto-4-PC/achievements,games-for-windows-live,"340 / 5,211","155 / 1,250",5 / 55,Owned,,,,26 Sep 11,,18 Jul 12
Fable III,https://www.trueachievements.com/game/Fable-3/achievements,xbox-360,"1,367 / 2,381","850 / 1,250",35 / 60,Owned,,,,28 Jun 12,,02 Jul 12
Batman: Arkham City,https://www.trueachievements.com/game/Batman-Arkham-City/achievements,xbox-360,"177 / 2,355","160 / 1,000",12 / 50,Owned,,,,26 Jun 12,,26 Jun 12
Batman: Arkham Asylum,https://www.trueachievements.com/game/Batman-Arkham-Asylum/achievements,xbox-360,"590 / 1,794","515 / 1,000",25 / 47,Owned,,,,27 Aug 09,,26 Jun 12
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"1,742 / 2,875","915 / 1,300",46 / 70,Owned,,,,20 May 10,,13 May 12
Fairytale Fights,https://www.trueachievements.com/game/Fairytale-Fights/achievements,xbox-360,"79 / 3,268","60 / 1,000",4 / 49,Owned,,,,01 Apr 12,,05 May 12
Gotham City Impostors (GFWL),https://www.trueachievements.com/game/Gotham-City-Impostors-PC/achievements,games-for-windows-live,"352 / 3,645","175 / 1,000",4 / 12,Owned,,,,24 Feb 12,,27 Feb 12
