game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"51 / 3,769","45 / 1,600",5 / 119,Owned,Playing now,,1 hr 36 mins,02 May 23,,02 May 23
Borderlands 2,https://www.trueachievements.com/game/Borderlands-2/achievements,xbox-one,"2,903 / 4,304","1,405 / 1,875",64 / 75,Owned,,,337 hrs 35 mins,27 Dec 15,,26 Sep 20
The Outer Worlds (Windows),https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,windows,"30 / 3,223","30 / 1,000",1 / 48,Owned,Playing now,,28 mins,07 Feb 20,,07 Feb 20
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"46 / 2,065","45 / 1,000",4 / 45,Owned,Playing now,,1 hr 55 mins,04 Oct 19,,04 Oct 19
Wolfenstein II: The New Colossus (Windows),https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus-Windows/achievements,windows,"10 / 4,219","10 / 1,000",1 / 50,Owned,Playing now,,25 mins,05 Sep 19,,05 Sep 19
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"378 / 1,488","300 / 1,000",18 / 48,Owned,,,18 hrs 2 mins,02 Jan 16,,14 Jun 19
Far Cry New Dawn,https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,xbox-one,"143 / 1,526","125 / 1,000",10 / 50,Owned,Playing now,,3 hrs 33 mins,18 Feb 19,,19 Feb 19
Madden NFL 19,https://www.trueachievements.com/game/Madden-NFL-19/achievements,xbox-one,"1,508 / 2,730","690 / 1,000",31 / 38,Owned,Playing now,,54 hrs 26 mins,02 Aug 18,,15 Jan 19
Madden NFL 18,https://www.trueachievements.com/game/Madden-NFL-18/achievements,xbox-one,"1,567 / 2,630","710 / 1,000",33 / 40,Owned,Playing now,,84 hrs 10 mins,16 Aug 17,,14 Jan 19
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"1,206 / 3,183","820 / 1,500",38 / 64,Owned,Playing now,,41 hrs 54 mins,27 Mar 18,,04 Jan 19
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"342 / 2,150","260 / 1,160",22 / 81,Owned,Playing now,,10 hrs 57 mins,05 Feb 17,,29 Dec 18
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"30 / 2,202","25 / 1,000",2 / 40,Owned,Playing now,,4 hrs 35 mins,27 Dec 18,,27 Dec 18
Tales from the Borderlands,https://www.trueachievements.com/game/Tales-from-the-Borderlands/achievements,xbox-one,547 / 674,490 / 600,18 / 21,Owned,Playing now,,5 hrs 51 mins,17 Oct 15,,23 Dec 18
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"222 / 2,036","170 / 1,000",17 / 62,Owned,Playing now,,3 hrs 6 mins,02 Nov 18,,22 Dec 18
South Park: The Fractured but Whole,https://www.trueachievements.com/game/South-Park-The-Fractured-but-Whole/achievements,xbox-one,"1,278 / 1,511","915 / 1,000",34 / 35,Owned,Playing now,,,26 Nov 18,,03 Dec 18
Battlefield V,https://www.trueachievements.com/game/Battlefield-V/achievements,xbox-one,"105 / 2,709","90 / 1,000",4 / 21,Owned,Playing now,,3 hrs 43 mins,25 Nov 18,,25 Nov 18
Borderlands: The Pre-Sequel,https://www.trueachievements.com/game/Borderlands-The-PreSequel/achievements,xbox-one,"1,958 / 3,811","900 / 1,370",44 / 63,Owned,,,126 hrs 46 mins,04 Jan 16,,23 Nov 18
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"262 / 2,376","190 / 1,000",13 / 50,Owned,Playing now,,,14 Nov 18,,15 Nov 18
Resident Evil 6,https://www.trueachievements.com/game/Resident-Evil-6/achievements,xbox-one,"10 / 5,879","10 / 1,500",1 / 70,Owned,Playing now,,,31 Oct 18,,31 Oct 18
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"131 / 2,359","110 / 1,000",9 / 55,Owned,Playing now,,,22 Oct 18,,27 Oct 18
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"44 / 3,836","40 / 1,000",3 / 51,Owned,Playing now,,4 hrs 33 mins,26 Oct 18,,26 Oct 18
Far Cry 3 Classic Edition,https://www.trueachievements.com/game/Far-Cry-3-Classic-Edition/achievements,xbox-one,"110 / 1,703","90 / 1,000",8 / 43,Owned,Playing now,,,25 Oct 18,,25 Oct 18
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"1,205 / 1,616","805 / 1,000",40 / 50,Owned,Playing now,,56 hrs 55 mins,06 Oct 18,,25 Oct 18
Wolfenstein: The New Order,https://www.trueachievements.com/game/Wolfenstein-The-New-Order/achievements,xbox-one,"295 / 1,948","220 / 1,000",16 / 50,Owned,Playing now,,4 hrs 43 mins,01 Jul 17,,20 Oct 18
Halo 5: Guardians,https://www.trueachievements.com/game/Halo-5-Guardians/achievements,xbox-one,"777 / 2,482","460 / 1,000",36 / 65,Owned,,,89 hrs 14 mins,27 Oct 15,,14 Oct 18
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"24 / 2,102","20 / 1,000",2 / 48,Owned,Playing now,,,14 Oct 16,,14 Oct 18
Middle-earth: Shadow of War,https://www.trueachievements.com/game/Middle-earth-Shadow-of-War/achievements,xbox-one,"363 / 1,777","295 / 1,000",17 / 52,Owned,Playing now,,18 hrs 21 mins,31 Mar 18,,02 Oct 18
Borderlands,https://www.trueachievements.com/game/Borderlands/achievements,xbox-360,"405 / 1,351","335 / 1,000",20 / 50,Owned,,,,09 Apr 16,,16 May 18
The Witcher 3: Wild Hunt - Complete Edition,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,xbox-one,"237 / 4,902","180 / 2,000",11 / 78,Owned,Playing now,,34 hrs 18 mins,13 Jan 17,,19 Apr 18
Final Fantasy XV,https://www.trueachievements.com/game/Final-Fantasy-XV/achievements,xbox-one,"666 / 1,821","470 / 1,000",33 / 50,Owned,Playing now,,61 hrs 2 mins,27 Dec 16,,14 Apr 18
