game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"260 / 1,771","230 / 1,000",11 / 39,Owned,Playing now,,18 hrs 13 mins,24 Apr 23,,02 Jun 23
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"188 / 1,917","135 / 1,000",4 / 26,Owned,Playing now,,233 hrs 40 mins,11 Dec 19,,29 Apr 23
Diablo II: Resurrected,https://www.trueachievements.com/game/Diablo-II-Resurrected/achievements,xbox-one,"227 / 6,185","155 / 1,000",9 / 43,Owned,Playing now,,64 hrs 4 mins,08 Nov 21,,01 Mar 23
Tom Clancy's Rainbow Six Extraction,https://www.trueachievements.com/game/Rainbow-Six-Extraction/achievements,xbox-one,"39 / 3,854","30 / 1,000",2 / 42,Owned,Playing now,,4 hrs 54 mins,28 Jul 22,,28 Jul 22
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"1,725 / 1,938","940 / 1,000",46 / 49,Owned,Playing now,,77 hrs 2 mins,30 Nov 21,,23 Jul 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"3,414 / 5,627","1,715 / 2,560",80 / 109,Owned,Playing now,,308 hrs 38 mins,03 Oct 17,,12 Feb 22
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"299 / 2,658","205 / 1,000",6 / 24,Owned,Playing now,,1 hr 44 mins,10 Jan 22,,10 Jan 22
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"380 / 3,383","255 / 1,255",16 / 60,Owned,Playing now,,33 hrs 48 mins,23 Aug 21,,21 Sep 21
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"2,147 / 5,495","1,355 / 2,915",69 / 127,Owned,Playing now,,113 hrs 8 mins,27 May 21,,13 Sep 21
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"209 / 2,549","135 / 1,000",8 / 44,Owned,Playing now,,52 hrs 34 mins,16 Jan 21,,23 Aug 21
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"452 / 2,297","315 / 1,000",20 / 50,Owned,Playing now,,3 hrs 12 mins,08 Jun 20,,16 Aug 20
Mass Effect,https://www.trueachievements.com/game/Mass-Effect/achievements,xbox-360,"118 / 1,917","105 / 1,000",4 / 45,Owned,,,,17 Jul 13,,13 Jun 20
Mass Effect: Andromeda,https://www.trueachievements.com/game/Mass-Effect-Andromeda/achievements,xbox-one,"1,240 / 2,313","700 / 1,000",39 / 55,Owned,Playing now,,176 hrs 59 mins,03 Oct 17,,07 Jun 20
Resident Evil 3,https://www.trueachievements.com/game/Resident-Evil-3/achievements,xbox-one,"759 / 1,684","600 / 1,000",23 / 32,Owned,Playing now,,17 hrs 5 mins,03 May 20,,07 May 20
Resident Evil Resistance,https://www.trueachievements.com/game/RESIDENT-EVIL-RESISTANCE/achievements,xbox-one,"27 / 4,464","25 / 1,000",2 / 51,Owned,Playing now,,35 mins,06 May 20,,06 May 20
Borderlands 3,https://www.trueachievements.com/game/Borderlands-3/achievements,xbox-one,"92 / 2,065","80 / 1,000",7 / 45,Owned,Playing now,,9 hrs 5 mins,24 Feb 20,,29 Feb 20
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"10 / 3,108","10 / 1,000",1 / 50,Owned,Playing now,,7 hrs 40 mins,18 Feb 20,,18 Feb 20
Jurassic World Evolution,https://www.trueachievements.com/game/Jurassic-World-Evolution/achievements,xbox-one,"109 / 3,572","75 / 1,000",8 / 51,Owned,Playing now,,8 hrs 10 mins,05 Jan 20,,05 Jan 20
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"71 / 1,810","65 / 1,000",4 / 50,Owned,Playing now,,7 hrs 43 mins,02 Sep 19,,06 Nov 19
Battlefield V,https://www.trueachievements.com/game/Battlefield-V/achievements,xbox-one,"433 / 2,709","285 / 1,000",9 / 21,Owned,Playing now,,90 hrs 36 mins,29 Mar 19,,26 Oct 19
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"1,087 / 6,112","550 / 1,000",33 / 45,Owned,Playing now,,20 hrs 55 mins,24 Oct 17,,15 Sep 19
Vigor,https://www.trueachievements.com/game/Vigor/achievements,xbox-one,"1,212 / 4,091","510 / 1,000",20 / 30,Owned,Playing now,,,07 Sep 19,,11 Sep 19
Dead Island Definitive Edition,https://www.trueachievements.com/game/Dead-Island/achievements,xbox-one,"78 / 2,958","60 / 1,000",5 / 58,Owned,Playing now,,6 hrs 48 mins,24 Jul 19,,25 Jul 19
Titanfall 2,https://www.trueachievements.com/game/Titanfall-2/achievements,xbox-one,"327 / 1,898","255 / 1,000",15 / 50,Owned,Playing now,,172 hrs 0 mins,25 Jan 18,,18 Jul 19
