game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Madden NFL 16 (Xbox 360),https://www.trueachievements.com/game/Madden-NFL-16-Xbox-360/achievements,xbox-360,"1,340 / 2,336","570 / 1,000",19 / 35,Owned,,,,16 Sep 15,,17 Jan 16
The Evil Within (Xbox 360),https://www.trueachievements.com/game/The-Evil-Within-Xbox-360/achievements,xbox-360,"514 / 2,579","355 / 1,000",16 / 41,Owned,,,,09 Aug 15,,01 Nov 15
FIFA 16 (Xbox 360),https://www.trueachievements.com/game/FIFA-16-Xbox-360/achievements,xbox-360,"92 / 2,503","60 / 1,000",4 / 44,Owned,,,,03 Oct 15,,10 Oct 15
NBA 2K14 (Xbox 360),https://www.trueachievements.com/game/NBA-2K14-Xbox-360/achievements,xbox-360,"803 / 3,969","385 / 1,000",19 / 50,Owned,,,,05 May 14,,23 Aug 15
LEGO Jurassic World (Xbox 360),https://www.trueachievements.com/game/LEGO-Jurassic-World-Xbox-360/achievements,xbox-360,"182 / 1,681","160 / 1,000",9 / 49,Owned,,,,02 Aug 15,,08 Aug 15
Fight Night Champion,https://www.trueachievements.com/game/Fight-Night-Champion/achievements,xbox-360,"194 / 14,757","130 / 1,000",10 / 44,Owned,,,,17 Mar 15,,10 Jun 15
Red Faction: Guerrilla,https://www.trueachievements.com/game/Red-Faction-Guerrilla/achievements,xbox-360,"628 / 4,175","370 / 1,000",16 / 50,Owned,,,,24 May 15,,07 Jun 15
F1 2013,https://www.trueachievements.com/game/F1-2013/achievements,xbox-360,"27 / 4,493","25 / 1,000",2 / 45,Owned,,,,23 May 15,,23 May 15
MX vs. ATV Alive,https://www.trueachievements.com/game/MX-vs-ATV-Alive/achievements,xbox-360,"47 / 2,971","40 / 1,000",2 / 45,Owned,,,,22 May 15,,22 May 15
Madden NFL 15 (Xbox 360),https://www.trueachievements.com/game/Madden-NFL-15-Xbox-360/achievements,xbox-360,"881 / 2,626","425 / 1,000",19 / 38,Owned,,,,16 Nov 14,,09 May 15
Batman: Arkham Origins,https://www.trueachievements.com/game/Batman-Arkham-Origins/achievements,xbox-360,"169 / 3,609","135 / 1,000",10 / 50,Owned,,,,01 Mar 15,,19 Apr 15
Borderlands 2 (Xbox 360),https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,xbox-360,"177 / 1,649","155 / 1,000",10 / 50,Owned,,,,28 Dec 14,,07 Mar 15
Call of Duty: Advanced Warfare (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Advanced-Warfare-Xbox-360/achievements,xbox-360,"595 / 1,950","485 / 1,000",22 / 50,Owned,,,,07 Feb 15,,26 Feb 15
Happy Wars (Xbox 360),https://www.trueachievements.com/game/Happy-Wars-Xbox-360/achievements,xbox-360,"341 / 1,661",195 / 500,15 / 28,Owned,,,,16 Jan 15,,20 Jan 15
Tom Clancy's Rainbow Six Vegas,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Vegas/achievements,xbox-360,"12 / 2,676","10 / 1,000",1 / 36,Owned,,,,23 Dec 14,,23 Dec 14
Rock Band 3,https://www.trueachievements.com/game/Rock-Band-3/achievements,xbox-360,"1,031 / 4,311","584 / 1,250",31 / 62,Owned,,,,03 Jan 11,,14 Dec 14
Catherine,https://www.trueachievements.com/game/Catherine/achievements,xbox-360,"480 / 4,891","270 / 1,000",21 / 50,Owned,,,,10 Aug 13,,12 Nov 14
Guitar Hero: Smash Hits,https://www.trueachievements.com/game/Guitar-Hero-Smash-Hits/achievements,xbox-360,"157 / 4,287","100 / 1,000",8 / 50,Owned,,,,01 Nov 14,,03 Nov 14
Monaco: What's Yours is Mine,https://www.trueachievements.com/game/Monaco/achievements,xbox-360,"22 / 2,231",20 / 400,1 / 12,Owned,,,,13 Sep 14,,13 Sep 14
Call of Duty: Ghosts (Xbox 360),https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,xbox-360,"582 / 1,933","455 / 1,000",27 / 50,Owned,,,,23 Mar 14,,04 May 14
WWE 2K14,https://www.trueachievements.com/game/WWE-2K14/achievements,xbox-360,"399 / 1,773","285 / 1,000",14 / 41,Owned,,,,26 Mar 14,,03 Apr 14
NBA 2K12,https://www.trueachievements.com/game/NBA-2K12/achievements,xbox-360,"789 / 3,697","325 / 1,000",16 / 50,Owned,,,,24 Feb 12,,08 Mar 14
Grand Theft Auto V (Xbox 360),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,xbox-360,"326 / 2,474","255 / 1,000",17 / 49,Owned,,,,19 Sep 13,,23 Nov 13
