game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
SpongeBob's Truth or Square,https://www.trueachievements.com/game/Spongebob-Truth-or-Square/achievements,xbox-360,"13 / 2,141","10 / 1,000",1 / 43,Owned,Playing now,,,18 Mar 22,,18 Mar 22
Young Souls,https://www.trueachievements.com/game/Young-Souls/achievements,xbox-one,"22 / 2,746","20 / 1,000",2 / 33,Owned,Playing now,,45 mins,12 Mar 22,,12 Mar 22
Cake Bash,https://www.trueachievements.com/game/Cake-Bash/achievements,xbox-one,"693 / 1,973","470 / 1,000",11 / 20,Owned,Playing now,,16 hrs 33 mins,19 Mar 21,,25 Feb 22
LEGO Batman 2: DC Super Heroes,https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,xbox-360,"103 / 1,664","90 / 1,000",4 / 37,Owned,Playing now,,,26 Nov 21,,01 Feb 22
I Am Fish,https://www.trueachievements.com/game/I-Am-Fish/achievements,xbox-one,"32 / 15,192","30 / 1,000",3 / 29,Owned,Playing now,,1 hr 6 mins,31 Jan 22,,31 Jan 22
Conan Exiles,https://www.trueachievements.com/game/Conan-Exiles/achievements,xbox-one,"693 / 2,415","430 / 1,170",19 / 31,Owned,Playing now,,125 hrs 44 mins,20 May 21,,24 Jan 22
Unpacking,https://www.trueachievements.com/game/Unpacking/achievements,xbox-one,"43 / 1,486","40 / 1,000",4 / 25,Owned,Playing now,,4 hrs 0 mins,18 Jan 22,,19 Jan 22
GreedFall,https://www.trueachievements.com/game/GreedFall/achievements,xbox-one,"43 / 3,632","40 / 1,000",4 / 58,Owned,Playing now,,14 hrs 46 mins,17 Jan 22,,17 Jan 22
The Falconeer,https://www.trueachievements.com/game/The-Falconeer/achievements,xbox-one,"34 / 5,415","30 / 1,000",2 / 29,Owned,Playing now,,35 mins,16 Jan 22,,16 Jan 22
Omno,https://www.trueachievements.com/game/Omno/achievements,xbox-one,"92 / 1,575","70 / 1,000",2 / 21,Owned,Playing now,,1 hr 59 mins,15 Jan 22,,15 Jan 22
