game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"3,106 / 13,383","990 / 3,340",64 / 180,Xbox Game Pass,,,39 hrs 17 mins,14 May 23,,Yesterday
Call of Duty 3,https://www.trueachievements.com/game/Call-Of-Duty-3/achievements,xbox-360,"181 / 3,346","145 / 1,000",8 / 26,Owned,Playing now,,,02 Jun 23,,03 Jun 23
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"1,494 / 1,494","1,000 / 1,000",37 / 37,Owned,Playing now,,,30 May 23,01 Jun 23,01 Jun 23
Far Cry 6,https://www.trueachievements.com/game/Far-Cry-6/achievements,xbox-one,"5,763 / 5,762","2,010 / 2,010",99 / 99,Owned,Playing now,,148 hrs 10 mins,07 May 23,30 May 23,30 May 23
Just Cause 3,https://www.trueachievements.com/game/Just-Cause-3/achievements,xbox-one,"3,517 / 3,784","1,345 / 1,415",57 / 60,Owned,,,155 hrs 33 mins,25 Dec 15,,30 May 23
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"4,068 / 4,067","2,000 / 2,000",90 / 90,Owned,,,,20 May 13,12 Dec 21,14 May 23
Far Cry New Dawn,https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,xbox-one,"1,526 / 1,526","1,000 / 1,000",50 / 50,Owned,Playing now,,46 hrs 55 mins,02 May 23,07 May 23,07 May 23
Far Cry 5,https://www.trueachievements.com/game/Far-Cry-5/achievements,xbox-one,"3,949 / 3,949","1,695 / 1,695",72 / 72,Owned,,,103 hrs 56 mins,30 Mar 18,02 May 23,02 May 23
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"3,590 / 3,589","1,610 / 1,610",76 / 76,Owned,,,,07 Sep 13,22 Aug 21,23 Apr 23
Far Cry Primal,https://www.trueachievements.com/game/Far-Cry-Primal/achievements,xbox-one,"1,627 / 1,627","1,000 / 1,000",50 / 50,Owned,,,15 hrs 15 mins,04 Mar 18,20 Apr 23,20 Apr 23
Far Cry 4 (Xbox 360),https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,xbox-360,"2,028 / 2,028","1,250 / 1,250",57 / 57,Owned,,,,07 Jan 15,16 Apr 23,16 Apr 23
Just Cause 2,https://www.trueachievements.com/game/Just-Cause-2/achievements,xbox-360,"2,621 / 2,621","1,000 / 1,000",50 / 50,Owned,,,,11 Aug 13,11 Apr 23,11 Apr 23
Far Cry 4,https://www.trueachievements.com/game/Far-Cry-4/achievements,xbox-one,"1,953 / 1,953","1,250 / 1,250",57 / 57,Owned,,,52 hrs 39 mins,24 Sep 16,01 Apr 23,01 Apr 23
Far Cry 3 Blood Dragon Classic Edition,https://www.trueachievements.com/game/Far-Cry-3-Blood-Dragon-Classic-Edition/achievements,xbox-one,"1,661 / 1,661","1,000 / 1,000",19 / 19,Owned,Playing now,,7 hrs 47 mins,29 Mar 23,30 Mar 23,30 Mar 23
Far Cry 3 Blood Dragon,https://www.trueachievements.com/game/Far-Cry-3-Blood-Dragon/achievements,xbox-360,674 / 674,400 / 400,19 / 19,Owned,Playing now,,,27 Mar 23,28 Mar 23,28 Mar 23
Far Cry Classic,https://www.trueachievements.com/game/Far-Cry-Classic/achievements,xbox-360,841 / 841,400 / 400,21 / 21,Owned,Playing now,,,23 Mar 23,26 Mar 23,26 Mar 23
Far Cry 2,https://www.trueachievements.com/game/Far-Cry-2/achievements,xbox-360,"4,298 / 4,298","1,000 / 1,000",48 / 48,Owned,Playing now,,,23 Oct 21,23 Mar 23,23 Mar 23
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"2,087 / 2,283","1,015 / 1,045",41 / 43,Owned,,,474 hrs 56 mins,17 Nov 17,,13 Mar 23
Call of Duty: Black Ops 4,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-4/achievements,xbox-one,"4,940 / 7,500","1,320 / 1,825",78 / 102,Owned,,,219 hrs 59 mins,12 Oct 18,,12 Mar 23
Call of Duty: Infinite Warfare (Windows),https://www.trueachievements.com/game/Call-of-Duty-Infinite-Warfare-Windows/achievements,windows,"65 / 1,571","35 / 1,000",3 / 50,Owned,Playing now,,6 hrs 6 mins,20 Jan 23,,09 Mar 23
Tom Clancy's The Division,https://www.trueachievements.com/game/The-Division/achievements,xbox-one,"2,291 / 2,543","1,075 / 1,150",52 / 55,Owned,,,220 hrs 11 mins,08 Mar 16,,27 Feb 23
Need for Speed: Hot Pursuit,https://www.trueachievements.com/game/NFS-Hot-Pursuit/achievements,xbox-360,"3,270 / 3,283","1,380 / 1,390",71 / 72,Owned,,,,10 Oct 14,,28 Jan 23
Need for Speed: Carbon,https://www.trueachievements.com/game/Need-for-Speed-Carbon/achievements,xbox-360,"411 / 4,638","235 / 1,000",10 / 50,Owned,,,,18 Feb 21,,27 Jan 23
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"6,294 / 6,294","1,950 / 1,950",98 / 98,Owned,,,934 hrs 56 mins,06 Nov 15,24 Jan 23,24 Jan 23
Bucket Knight,https://www.trueachievements.com/game/Bucket-Knight/achievements,xbox-one,"1,045 / 1,045","1,000 / 1,000",34 / 34,Owned,Playing now,,1 hr 16 mins,21 Jan 23,21 Jan 23,21 Jan 23
Brawl Chess - Gambit,https://www.trueachievements.com/game/Brawl-Chess/achievements,xbox-one,"1,170 / 1,170","1,000 / 1,000",12 / 12,Owned,Playing now,,3 hrs 1 min,12 Jan 23,14 Jan 23,14 Jan 23
Bouncy Bullets,https://www.trueachievements.com/game/Bouncy-Bullets/achievements,xbox-one,"1,020 / 1,020","1,000 / 1,000",12 / 12,Owned,Playing now,,27 mins,12 Jan 23,12 Jan 23,12 Jan 23
