game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"293 / 1,946","230 / 1,000",10 / 29,Owned,Playing now,,2 hrs 19 mins,09 May 23,,27 May 23
GoldenEye 007,https://www.trueachievements.com/game/GoldenEye-007/achievements,xbox-one,"202 / 3,246","130 / 1,000",7 / 55,Owned,Playing now,,1 hr 32 mins,18 Feb 23,,27 May 23
LEGO Star Wars: The Skywalker Saga,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,xbox-one,"49 / 3,255","40 / 1,000",3 / 45,Owned,Playing now,,2 hrs 52 mins,11 Mar 23,,18 May 23
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"4,088 / 23,098","1,935 / 6,490",224 / 649,Owned,,,145 hrs 24 mins,16 Nov 19,,24 Apr 23
Century: Age of Ashes,https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,xbox-one,"106 / 7,514","80 / 1,000",3 / 33,Owned,Playing now,,5 hrs 35 mins,18 Feb 23,,18 Feb 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"86 / 2,441","80 / 1,000",4 / 32,Owned,Playing now,,3 hrs 15 mins,23 Dec 22,,07 Jan 23
Rainbow Billy: The Curse of the Leviathan,https://www.trueachievements.com/game/Rainbow-Billy-The-Curse-of-the-Leviathan/achievements,xbox-one,"763 / 2,042","470 / 1,000",21 / 39,Owned,Playing now,,8 hrs 42 mins,26 Dec 22,,30 Dec 22
The Outer Worlds,https://www.trueachievements.com/game/The-Outer-Worlds/achievements,xbox-one,"238 / 2,752","165 / 1,000",7 / 48,Owned,,,14 hrs 49 mins,06 Nov 19,,18 Dec 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"63 / 2,020","60 / 1,000",3 / 39,Owned,Playing now,,1 hr 38 mins,08 Sep 22,,10 Dec 22
Serious Sam 4,https://www.trueachievements.com/game/Serious-Sam-4/achievements,xbox-series-x-s,"401 / 3,115","200 / 1,000",14 / 54,Owned,Playing now,,3 hrs 3 mins,26 Nov 22,,04 Dec 22
Just Dance 2022,https://www.trueachievements.com/game/Just-Dance-2022/achievements,xbox-one,"568 / 2,744","345 / 1,000",16 / 32,Owned,Playing now,,26 hrs 56 mins,02 Feb 22,,27 Nov 22
Gungrave G.O.R.E,https://www.trueachievements.com/game/Gungrave-Gore/achievements,xbox-one,"53 / 5,028","45 / 1,000",4 / 49,Owned,Playing now,,52 mins,25 Nov 22,,25 Nov 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"391 / 3,694","270 / 1,280",17 / 69,Owned,Playing now,,19 hrs 6 mins,01 Sep 22,,25 Nov 22
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"10 / 2,977","10 / 1,000",1 / 36,Owned,Playing now,,23 mins,02 Oct 22,,02 Oct 22
Peggle 2,https://www.trueachievements.com/game/Peggle-2/achievements,xbox-one,"575 / 2,211","420 / 1,000",12 / 28,Owned,Playing now,,,19 Jul 22,,02 Oct 22
My Friend Peppa Pig,https://www.trueachievements.com/game/My-Friend-Peppa-Pig/achievements,xbox-one,"1,272 / 1,272","1,000 / 1,000",11 / 11,Owned,Playing now,,3 hrs 22 mins,18 Jul 22,10 Sep 22,10 Sep 22
Bugsnax,https://www.trueachievements.com/game/Bugsnax/achievements,xbox-one,"124 / 2,570","70 / 1,000",6 / 30,Owned,Playing now,,2 hrs 3 mins,05 Sep 22,,10 Sep 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"1,047 / 2,799","630 / 1,000",21 / 30,Owned,Playing now,,5 hrs 37 mins,23 Jun 22,,08 Sep 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"997 / 3,769","625 / 1,600",60 / 119,Owned,Playing now,,39 hrs 56 mins,06 Jun 22,,27 Aug 22
Plants vs. Zombies Garden Warfare 2,https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,xbox-one,"51 / 2,554","35 / 1,000",2 / 51,Owned,Playing now,,,24 Aug 22,,24 Aug 22
The Last Kids on Earth and the Staff of Doom,https://www.trueachievements.com/game/The-Last-Kids-on-Earth-and-the-Staff-of-Doom/achievements,xbox-one,"228 / 2,628","150 / 1,000",9 / 43,Owned,Playing now,,5 hrs 10 mins,09 Jun 22,,04 Aug 22
Totally Accurate Battle Simulator,https://www.trueachievements.com/game/Totally-Accurate-Battle-Simulator/achievements,xbox-one,"135 / 4,084","55 / 1,000",4 / 64,Owned,Playing now,,2 hrs 10 mins,02 Aug 22,,02 Aug 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"10 / 2,879","10 / 1,000",1 / 40,Owned,Playing now,,3 hrs 10 mins,02 Aug 22,,02 Aug 22
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"48 / 2,873","45 / 1,000",2 / 26,Owned,Playing now,,15 mins,16 Jul 22,,16 Jul 22
Ben 10: Power Trip,https://www.trueachievements.com/game/Ben-10-Power-Trip/achievements,xbox-one,"87 / 3,454","80 / 1,000",3 / 28,Owned,Playing now,,1 hr 34 mins,26 Jun 22,,02 Jul 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"84 / 3,698","80 / 1,750",7 / 79,Owned,,,4 hrs 24 mins,27 Jan 20,,06 Jun 22
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"265 / 2,202","175 / 1,000",10 / 40,Owned,Playing now,,4 hrs 26 mins,13 Mar 22,,22 May 22
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"3,274 / 4,703","865 / 1,090",45 / 50,Owned,Playing now,,93 hrs 42 mins,27 Nov 21,,23 Apr 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"1,872 / 9,572","940 / 3,310",57 / 161,Owned,Playing now,,104 hrs 0 mins,24 Nov 18,,28 Jan 22
Banjo-Kazooie: Nuts & Bolts,https://www.trueachievements.com/game/Banjo-Kazooie-Nuts-and-Bolts/achievements,xbox-360,"76 / 2,903","60 / 1,000",6 / 50,Owned,,,,07 Oct 18,,13 Jan 22
Cartoon Network: Battle Crashers,https://www.trueachievements.com/game/Cartoon-Network-Battle-Crashers/achievements,xbox-one,"1,026 / 1,902","600 / 1,000",7 / 14,Owned,Playing now,,,05 Jan 22,,11 Jan 22
Duke Nukem 3D: 20th Anniversary Edition World Tour,https://www.trueachievements.com/game/Duke-Nukem-3D-20th-Anniversary-Edition-World-Tour/achievements,xbox-one,"32 / 1,557","30 / 1,000",2 / 27,Owned,Playing now,,,06 Jan 22,,06 Jan 22
The LEGO NINJAGO Movie Video Game,https://www.trueachievements.com/game/The-LEGO-NINJAGO-Movie-Video-Game/achievements,xbox-one,"317 / 2,228","220 / 1,000",14 / 50,Owned,,,7 hrs 48 mins,12 Sep 21,,08 Nov 21
WRC 9,https://www.trueachievements.com/game/WRC-9/achievements,xbox-one,"15 / 2,104","15 / 1,000",1 / 43,Owned,,,25 mins,10 Jul 21,,10 Jul 21
Cel Damage HD,https://www.trueachievements.com/game/Cel-Damage-HD/achievements,xbox-one,"1,305 / 1,305","1,000 / 1,000",16 / 16,Owned,,,17 hrs 0 mins,15 May 21,16 May 21,16 May 21
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"230 / 9,216","90 / 1,000",5 / 47,Owned,,,8 hrs 48 mins,17 Feb 21,,13 Mar 21
DOOM Eternal,https://www.trueachievements.com/game/Doom-Eternal/achievements,xbox-one,"881 / 2,280","560 / 1,000",17 / 33,Owned,,,25 hrs 40 mins,10 Oct 20,,27 Nov 20
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"10 / 1,818","10 / 1,000",1 / 24,Owned,,,30 mins,22 Nov 20,,22 Nov 20
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"20 / 3,559","20 / 1,000",3 / 62,Owned,,,35 mins,14 Nov 20,,14 Nov 20
Gears Tactics,https://www.trueachievements.com/game/Gears-Tactics/achievements,xbox-one,"103 / 11,654","65 / 1,400",8 / 61,Owned,,,3 hrs 40 mins,09 Nov 20,,12 Nov 20
KINGDOM HEARTS III,https://www.trueachievements.com/game/Kingdom-Hearts-3/achievements,xbox-one,"10 / 2,991","10 / 1,000",1 / 45,Owned,,,2 hrs 25 mins,08 Nov 20,,08 Nov 20
Super Lucky's Tale,https://www.trueachievements.com/game/Super-Luckys-Tale/achievements,xbox-one,"23 / 2,257","20 / 1,000",3 / 23,Owned,,,25 mins,08 Nov 20,,08 Nov 20
Marvel vs. Capcom: Infinite,https://www.trueachievements.com/game/Marvel-vs-Capcom-Infinite/achievements,xbox-one,"38 / 6,224","30 / 1,000",2 / 47,Owned,,,1 hr 20 mins,01 Feb 20,,31 Oct 20
New Super Lucky's Tale,https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,xbox-one,"1,966 / 2,170","940 / 1,000",49 / 54,Owned,,,2 hrs 0 mins,03 Sep 20,,25 Oct 20
Final Fantasy VII,https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,xbox-one,"51 / 2,638","45 / 1,000",3 / 31,Owned,,,25 mins,18 Oct 20,,18 Oct 20
