game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
The Orange Box,https://www.trueachievements.com/game/The-Orange-Box/achievements,xbox-360,"48 / 2,619","35 / 1,000",6 / 99,Owned,Playing now,,,28 Jun 21,,03 Jul 21
The Witcher 3: Wild Hunt,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt/achievements,xbox-one,"2,196 / 4,404","1,235 / 2,000",51 / 78,Owned,Playing now,,118 hrs 22 mins,03 Jun 17,,01 Jul 21
SSX,https://www.trueachievements.com/game/SSX/achievements,xbox-360,"133 / 5,639","70 / 1,000",11 / 50,Owned,Playing now,,,27 Jun 17,,19 Jun 21
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"375 / 3,836","250 / 1,000",15 / 51,Owned,Playing now,,60 hrs 36 mins,25 Dec 18,,12 Aug 20
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"346 / 2,036","280 / 1,000",23 / 64,Owned,Playing now,,29 hrs 32 mins,09 Apr 17,,16 Apr 20
Steep,https://www.trueachievements.com/game/Steep/achievements,xbox-one,"770 / 6,056","345 / 1,000",17 / 29,Owned,Playing now,,23 hrs 1 min,10 Mar 17,,03 Jan 20
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"793 / 3,192","490 / 1,550",30 / 75,Owned,Playing now,,125 hrs 18 mins,10 Apr 17,,05 Dec 19
Super Meat Boy,https://www.trueachievements.com/game/Super-Meat-Boy/achievements,xbox-360,15 / 662,15 / 200,1 / 12,Owned,Playing now,,,29 Jun 17,,15 Nov 19
Dragon Age: Inquisition,https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,xbox-one,"144 / 2,297","120 / 1,000",8 / 50,Owned,Playing now,,18 hrs 57 mins,12 Mar 17,,15 Nov 19
TrueAchievements,https://www.trueachievements.com/game/TrueAchievements/achievements,xbox-one,0 / 0,0 / 0,9 / 20,Owned,Playing now,,1 hr 38 mins,05 Jan 17,,25 Jul 19
Rare Replay,https://www.trueachievements.com/game/Rare-Replay/achievements,xbox-one,"109 / 27,522","60 / 4,000",4 / 200,Owned,Playing now,,1 hr 41 mins,09 Jun 17,,08 Jul 19
Slender: The Arrival,https://www.trueachievements.com/game/Slender-The-Arrival/achievements,xbox-one,"72 / 3,069","50 / 1,000",2 / 20,Owned,Playing now,,2 hrs 30 mins,23 Mar 17,,08 Jun 19
Asphalt 8: Airborne (Windows),https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-8/achievements,windows,74 / 475,60 / 200,7 / 20,Owned,Playing now,,,15 Oct 18,,10 Dec 18
Metal Gear Solid V: The Phantom Pain,https://www.trueachievements.com/game/Metal-Gear-Solid-V-The-Phantom-Pain/achievements,xbox-one,"170 / 3,508","135 / 1,000",9 / 42,Owned,Playing now,,15 hrs 50 mins,12 Aug 18,,18 Aug 18
Lovers in a Dangerous Spacetime,https://www.trueachievements.com/game/Lovers-in-a-Dangerous-Spacetime/achievements,xbox-one,"77 / 3,760","50 / 1,000",5 / 28,Owned,Playing now,,1 hr 11 mins,01 Feb 17,,11 Jun 18
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"161 / 6,578","125 / 1,000",13 / 60,Owned,Playing now,,,20 Mar 18,,03 Jun 18
Trials Fusion,https://www.trueachievements.com/game/Trials-Fusion/achievements,xbox-one,"204 / 4,931","140 / 1,000",4 / 16,Owned,Playing now,,6 hrs 11 mins,17 Dec 17,,20 Dec 17
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"456 / 2,052","375 / 1,250",23 / 51,Owned,Playing now,,7 hrs 36 mins,16 Feb 17,,07 Aug 17
LEGO Star Wars: The Force Awakens,https://www.trueachievements.com/game/LEGO-Star-Wars-The-Force-Awakens/achievements,xbox-one,"167 / 1,649","160 / 1,000",9 / 49,Owned,Playing now,,25 mins,17 Jul 17,,04 Aug 17
Overcooked,https://www.trueachievements.com/game/Overcooked/achievements,xbox-one,"133 / 2,321","111 / 1,000",3 / 11,Owned,Playing now,,25 mins,04 Aug 17,,04 Aug 17
Runbow,https://www.trueachievements.com/game/Runbow/achievements,xbox-one,"22 / 5,802","20 / 1,000",2 / 46,Owned,Playing now,,17 mins,30 Jul 17,,30 Jul 17
Minecraft: Xbox One Edition,https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,xbox-one,"129 / 1,747","120 / 1,000",10 / 50,Owned,Playing now,,2 hrs 58 mins,28 Jul 17,,28 Jul 17
Castle Crashers,https://www.trueachievements.com/game/Castle-Crashers/achievements,xbox-360,15 / 360,15 / 200,1 / 12,Owned,Playing now,,,29 Jun 17,,24 Jul 17
TRON RUN/r,https://www.trueachievements.com/game/TRON-RUNr/achievements,xbox-one,"506 / 4,032","300 / 1,000",7 / 15,Owned,Playing now,,36 mins,24 Jul 17,,24 Jul 17
SpeedRunners,https://www.trueachievements.com/game/SpeedRunners/achievements,xbox-one,"67 / 3,336","60 / 1,000",2 / 18,Owned,Playing now,,4 hrs 15 mins,24 Jul 17,,24 Jul 17
Spelunky,https://www.trueachievements.com/game/Spelunky/achievements,xbox-360,"30 / 2,123",30 / 400,1 / 20,Owned,Playing now,,,09 Apr 17,,23 Jul 17
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"2,510 / 3,625","1,220 / 1,640",29 / 46,Owned,Playing now,,4 hrs 0 mins,03 Jun 17,,22 Jul 17
Clicker Heroes,https://www.trueachievements.com/game/Clicker-Heroes/achievements,xbox-one,"230 / 2,712","200 / 1,000",4 / 12,Owned,Playing now,,1 hr 10 mins,05 Jun 17,,21 Jul 17
BattleBlock Theater,https://www.trueachievements.com/game/BattleBlock-Theater/achievements,xbox-360,"21 / 1,547",15 / 400,1 / 30,Owned,Playing now,,,27 Jun 17,,07 Jul 17
Trials HD,https://www.trueachievements.com/game/Trials-HD/achievements,xbox-360,10 / 505,10 / 200,1 / 12,Owned,Playing now,,,04 Jul 17,,02 Jul 17
