game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Dragon Ball Xenoverse 2,https://www.trueachievements.com/game/Dragon-Ball-Xenoverse-2/achievements,xbox-one,"474 / 2,107","345 / 1,000",20 / 50,Owned,,,18 hrs 58 mins,29 Nov 22,,04 Jun 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"402 / 2,324","245 / 1,090",14 / 65,Owned,,,52 hrs 16 mins,05 Oct 22,,27 May 23
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"10 / 2,032","10 / 1,000",2 / 62,Owned,Playing now,,28 mins,26 Apr 23,,26 Apr 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"405 / 2,661","280 / 1,000",16 / 34,Owned,,,11 hrs 5 mins,29 Jun 22,,23 Apr 23
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"5 / 3,277","5 / 1,000",1 / 36,Owned,Playing now,,11 mins,23 Apr 23,,23 Apr 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"372 / 1,766","330 / 1,000",14 / 39,Owned,Playing now,,33 hrs 34 mins,05 Apr 23,,11 Apr 23
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"555 / 1,979","450 / 1,020",23 / 42,Owned,,,43 hrs 5 mins,17 Aug 22,,02 Apr 23
Crash Bandicoot 4: It's About Time,https://www.trueachievements.com/game/Crash-Bandicoot-4-Its-About-Time/achievements,xbox-one,"956 / 3,661","555 / 1,000",33 / 51,Owned,,,35 hrs 0 mins,24 Nov 20,,01 Apr 23
Resident Evil 3,https://www.trueachievements.com/game/Resident-Evil-3/achievements,xbox-one,"102 / 1,684","100 / 1,000",5 / 32,Owned,Playing now,,2 hrs 17 mins,10 Mar 23,,10 Mar 23
Saints Row: The Third Remastered,https://www.trueachievements.com/game/Saints-Row-The-Third-Remastered/achievements,xbox-one,"691 / 2,660","445 / 1,290",28 / 79,Owned,Playing now,,20 hrs 11 mins,04 Mar 23,,08 Mar 23
Dragon Ball FighterZ,https://www.trueachievements.com/game/Dragon-Ball-FighterZ/achievements,xbox-one,"68 / 3,807","40 / 1,000",2 / 35,Owned,,,25 mins,29 Mar 21,,08 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"232 / 1,991","180 / 1,000",13 / 45,Owned,Playing now,,42 hrs 32 mins,08 Feb 23,,25 Feb 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,807 / 3,931","1,235 / 2,200",47 / 77,Owned,,,180 hrs 46 mins,05 Jun 21,,04 Feb 23
