game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Watch_Dogs,https://www.trueachievements.com/game/Watch-Dogs/achievements,xbox-one,"15 / 2,464","15 / 1,000",1 / 38,Owned,Playing now,,,02 Jun 23,,02 Jun 23
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"863 / 2,051","620 / 1,240",10 / 23,Owned,,,166 hrs 13 mins,05 Mar 22,,29 May 23
Call of Duty 3,https://www.trueachievements.com/game/Call-Of-Duty-3/achievements,xbox-360,"5 / 3,346","5 / 1,000",1 / 26,Owned,Playing now,,,26 May 23,,26 May 23
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"1,766 / 1,946","930 / 1,000",28 / 29,Owned,Playing now,,5 hrs 31 mins,17 May 23,,20 May 23
Call of Duty 2,https://www.trueachievements.com/game/Call-of-Duty-2/achievements,xbox-360,"128 / 1,589","110 / 1,000",2 / 13,Owned,Playing now,,,18 May 23,,20 May 23
Call of Duty 4: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-4/achievements,xbox-360,"303 / 1,494","240 / 1,000",10 / 37,Owned,Playing now,,,18 May 23,,20 May 23
Injustice: Gods Among Us,https://www.trueachievements.com/game/Injustice-Gods-Among-Us/achievements,xbox-360,"679 / 6,556","395 / 1,000",21 / 50,Owned,,,,24 Oct 14,,17 May 23
Dead Island 2,https://www.trueachievements.com/game/Dead-Island-2/achievements,xbox-one,"98 / 1,768","90 / 1,000",9 / 45,Owned,Playing now,,10 hrs 5 mins,22 Apr 23,,12 May 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"2,361 / 5,909","1,270 / 2,610",63 / 112,Owned,,,554 hrs 14 mins,29 Oct 17,,07 May 23
Redfall,https://www.trueachievements.com/game/Redfall/achievements,xbox-series-x-s,"27 / 4,189","27 / 1,000",2 / 66,Owned,Playing now,,25 mins,03 May 23,,03 May 23
Resident Evil 3,https://www.trueachievements.com/game/Resident-Evil-3/achievements,xbox-one,"146 / 1,684","140 / 1,000",6 / 32,Owned,Playing now,,1 hr 11 mins,27 Apr 23,,27 Apr 23
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"298 / 1,950","270 / 1,000",15 / 41,Owned,,,16 hrs 4 mins,06 Mar 19,,15 Apr 23
Resident Evil,https://www.trueachievements.com/game/Resident-Evil/achievements,xbox-one,"590 / 3,294","270 / 1,000",19 / 44,Owned,,,31 hrs 34 mins,31 Mar 18,,08 Apr 23
Minecraft (iOS),https://www.trueachievements.com/game/Minecraft-Pocket-Edition-iOS/achievements,ios,"1,289 / 4,430","585 / 1,540",34 / 72,Owned,,,113 hrs 41 mins,17 Dec 16,,05 Apr 23
Kerbal Space Program Enhanced Edition,https://www.trueachievements.com/game/Kerbal-Space-Program-Enhanced-Edition/achievements,xbox-one,"34 / 7,142","25 / 1,000",4 / 44,Owned,Playing now,,10 hrs 1 min,02 Apr 23,,02 Apr 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"144 / 1,771","140 / 1,000",7 / 39,Owned,Playing now,,15 hrs 21 mins,25 Mar 23,,26 Mar 23
SEGA Mega Drive & Genesis Classics,https://www.trueachievements.com/game/SEGA-Mega-Drive-and-Genesis-Classics/achievements,xbox-one,"62 / 2,259","50 / 1,000",1 / 25,Owned,Playing now,,30 mins,26 Mar 23,,26 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"483 / 1,998","295 / 1,000",18 / 45,Owned,Playing now,,64 hrs 13 mins,12 Mar 23,,20 Mar 23
LEGO Indiana Jones: Original Adventures,https://www.trueachievements.com/game/LEGO-Indiana-Jones/achievements,xbox-360,"848 / 1,681","560 / 1,000",33 / 50,Owned,,,,21 Jan 19,,28 Feb 23
Mafia: Definitive Edition,https://www.trueachievements.com/game/Mafia-Definitive-Edition/achievements,xbox-one,"243 / 2,134","225 / 1,000",15 / 43,Owned,Playing now,,18 hrs 35 mins,19 Feb 23,,26 Feb 23
Escape Academy,https://www.trueachievements.com/game/Escape-Academy/achievements,xbox-one,"1,575 / 1,575","1,000 / 1,000",27 / 27,Owned,,,20 hrs 47 mins,10 Aug 22,26 Feb 23,26 Feb 23
Spacelines from the Far Out,https://www.trueachievements.com/game/Spacelines-from-the-Far-Out/achievements,xbox-one,"56 / 3,997","45 / 1,000",4 / 44,Owned,Playing now,,1 hr 16 mins,26 Feb 23,,26 Feb 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 5,946","15 / 1,000",1 / 42,Owned,Playing now,,1 hr 15 mins,25 Feb 23,,25 Feb 23
Goat Simulator 3,https://www.trueachievements.com/game/Goat-Simulator-3/achievements,xbox-series-x-s,"2,315 / 2,315","1,000 / 1,000",39 / 39,Owned,Playing now,,30 hrs 40 mins,25 Jan 23,20 Feb 23,20 Feb 23
