game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,898 / 3,576","860 / 1,420",51 / 87,Owned,,,482 hrs 38 mins,05 Nov 18,,18 May 23
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"275 / 2,879","130 / 1,000",6 / 40,Owned,,,47 hrs 39 mins,15 Jul 22,,08 May 23
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"5 / 1,993","5 / 1,000",1 / 50,Owned,Playing now,,,28 Apr 23,,28 Apr 23
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"143 / 2,927","95 / 1,000",4 / 27,Owned,,,5 hrs 37 mins,15 Jul 21,,28 Apr 23
Stranded Deep,https://www.trueachievements.com/game/Stranded-Deep/achievements,xbox-one,"1,290 / 5,942","440 / 1,000",16 / 35,Owned,,,25 hrs 25 mins,30 May 20,,26 Apr 23
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"3,461 / 3,460","1,750 / 1,750",80 / 80,Owned,,,,03 Jul 17,20 Jun 20,25 Apr 23
Stick Fight: The Game,https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,xbox-one,"51 / 2,829","50 / 1,000",5 / 28,Owned,Playing now,,20 mins,23 Apr 23,,23 Apr 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"677 / 3,990","435 / 1,180",14 / 33,Owned,,,13 hrs 8 mins,15 Dec 21,,22 Apr 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"23 / 4,944","20 / 1,000",2 / 30,Owned,Playing now,,1 hr 2 mins,19 Apr 23,,19 Apr 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"246 / 3,511","160 / 1,000",7 / 47,Owned,,,,07 Apr 18,,07 Apr 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"2,098 / 26,310","785 / 3,420",74 / 182,Owned,,,140 hrs 37 mins,11 Nov 18,,02 Apr 23
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"646 / 1,430","525 / 1,000",7 / 12,Owned,,,44 hrs 2 mins,11 Feb 19,,01 Apr 23
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"4,981 / 12,792","1,530 / 2,920",60 / 103,Owned,,,50 hrs 41 mins,02 Sep 18,,27 Mar 23
Fallout 76,https://www.trueachievements.com/game/Fallout-76/achievements,xbox-one,"144 / 3,383","110 / 1,255",7 / 60,Owned,,,1 hr 37 mins,18 Dec 21,,27 Mar 23
MX vs. ATV Legends,https://www.trueachievements.com/game/MX-vs-ATV-Legends/achievements,xbox-one,"1,000 / 2,397","600 / 1,000",26 / 40,Owned,Playing now,,32 hrs 24 mins,26 Jan 23,,02 Feb 23
Assetto Corsa Competizione,https://www.trueachievements.com/game/Assetto-Corsa-Competizione/achievements,xbox-one,"86 / 8,399","40 / 1,000",4 / 40,Owned,Playing now,,9 mins,30 Jan 23,,30 Jan 23
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"1,174 / 1,797","800 / 1,000",10 / 11,Owned,,,883 hrs 27 mins,14 Apr 16,,30 Jan 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"71 / 3,836","45 / 1,000",5 / 51,Owned,Playing now,,16 hrs 37 mins,25 Jan 23,,29 Jan 23
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"672 / 3,280","445 / 1,000",14 / 36,Owned,,,15 hrs 39 mins,19 May 20,,28 Jan 23
The Escapists 2,https://www.trueachievements.com/game/The-Escapists-2/achievements,xbox-one,"23 / 5,379","20 / 1,000",4 / 40,Owned,,,1 hr 53 mins,22 Jun 20,,28 Jan 23
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"704 / 5,098","395 / 1,605",22 / 77,Owned,,,22 hrs 22 mins,09 Nov 15,,28 Jan 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,488 / 1,488","1,000 / 1,000",48 / 48,Owned,,,1107 hrs 35 mins,06 Aug 16,22 Sep 20,26 Jan 23
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"302 / 1,917","205 / 1,000",6 / 26,Owned,,,3037 hrs 5 mins,24 Nov 19,,24 Jan 23
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"202 / 6,112","170 / 1,000",14 / 45,Owned,,,1794 hrs 30 mins,25 Apr 18,,20 Jan 23
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"1,294 / 20,154","570 / 5,500",66 / 550,Owned,,,160 hrs 4 mins,05 Dec 18,,19 Jan 23
Descenders,https://www.trueachievements.com/game/Descenders/achievements,xbox-one,"1,023 / 8,443","420 / 1,000",21 / 32,Owned,,,74 hrs 7 mins,06 Jun 19,,16 Jan 23
Rec Room,https://www.trueachievements.com/game/Rec-Room/achievements,xbox-one,"985 / 4,162","500 / 1,000",7 / 10,Owned,,,85 hrs 50 mins,29 Dec 20,,15 Jan 23
For Honor,https://www.trueachievements.com/game/For-Honor/achievements,xbox-one,"14 / 2,635","10 / 1,000",1 / 54,Owned,,,1 hr 46 mins,23 Aug 18,,15 Jan 23
MX vs. ATV All Out,https://www.trueachievements.com/game/MX-vs-ATV-All-Out/achievements,xbox-one,"177 / 3,694","130 / 1,000",8 / 39,Owned,,,7 hrs 52 mins,19 Jan 22,,13 Jan 23
Assassin's Creed Origins,https://www.trueachievements.com/game/Assassins-Creed-Origins/achievements,xbox-one,"31 / 1,595","30 / 1,000",2 / 50,Owned,Playing now,,2 hrs 47 mins,07 Jan 23,,08 Jan 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"302 / 1,370",185 / 600,17 / 50,Owned,,,11 hrs 15 mins,15 Nov 21,,26 Dec 22
Escape Academy,https://www.trueachievements.com/game/Escape-Academy/achievements,xbox-one,"772 / 1,575","555 / 1,000",17 / 27,Owned,Playing now,,7 hrs 43 mins,20 Dec 22,,21 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"1,159 / 2,441","700 / 1,000",25 / 32,Owned,Playing now,,18 hrs 30 mins,13 Dec 22,,20 Dec 22
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"99 / 4,489","80 / 1,000",6 / 44,Owned,Playing now,,43 mins,15 Dec 22,,15 Dec 22
Goat Simulator 3,https://www.trueachievements.com/game/Goat-Simulator-3/achievements,xbox-series-x-s,"72 / 2,315","60 / 1,000",4 / 39,Owned,,,4 hrs 7 mins,03 Dec 22,,09 Dec 22
Hello Neighbor 2,https://www.trueachievements.com/game/Hello-Neighbor-2/achievements,xbox-one,"35 / 1,752","35 / 1,000",1 / 14,Owned,,,42 mins,07 Dec 22,,07 Dec 22
