game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Carto,https://www.trueachievements.com/game/Carto/achievements,xbox-one,"89 / 1,721","80 / 1,000",2 / 20,Owned,Playing now,,2 hrs 50 mins,26 Apr 23,,29 Apr 23
Batman: Arkham Knight,https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,xbox-one,"196 / 1,892","160 / 1,000",12 / 69,Owned,Playing now,,,15 Apr 23,,26 Apr 23
Dicey Dungeons,https://www.trueachievements.com/game/Dicey-Dungeons/achievements,xbox-one,"89 / 3,434","55 / 1,000",4 / 53,Owned,Playing now,,4 hrs 14 mins,13 Apr 23,,15 Apr 23
Donut County,https://www.trueachievements.com/game/Donut-County/achievements,xbox-one,"278 / 1,373","220 / 1,000",8 / 20,Owned,Playing now,,3 hrs 8 mins,11 Apr 23,,12 Apr 23
One Leaves,https://www.trueachievements.com/game/One-Leaves/achievements,xbox-one,"569 / 1,482","430 / 1,000",5 / 14,Owned,Playing now,,44 mins,11 Apr 23,,11 Apr 23
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"4,200 / 14,581","1,440 / 2,750",48 / 94,Owned,Playing now,,157 hrs 59 mins,19 Jun 20,,06 Mar 23
Totally Accurate Battle Simulator,https://www.trueachievements.com/game/Totally-Accurate-Battle-Simulator/achievements,xbox-one,"258 / 4,084","100 / 1,000",8 / 64,Owned,Playing now,,17 hrs 31 mins,11 Nov 21,,29 Jan 23
Cuphead,https://www.trueachievements.com/game/Cuphead/achievements,xbox-one,"298 / 4,088","205 / 1,475",10 / 41,Owned,Playing now,,5 hrs 0 mins,15 Jan 23,,20 Jan 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"748 / 2,496","430 / 1,090",23 / 65,Owned,Playing now,,107 hrs 36 mins,20 Oct 22,,13 Jan 23
Dauntless,https://www.trueachievements.com/game/Dauntless/achievements,xbox-one,"3,377 / 7,877","850 / 1,660",16 / 33,Owned,Playing now,,80 hrs 46 mins,28 Jul 20,,10 Dec 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"597 / 4,790","425 / 2,190",26 / 98,Owned,Playing now,,383 hrs 24 mins,25 Feb 18,,23 Nov 22
Rec Room,https://www.trueachievements.com/game/Rec-Room/achievements,xbox-one,"281 / 4,162","250 / 1,000",4 / 10,Owned,Playing now,,4 hrs 49 mins,07 Oct 22,,07 Oct 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"304 / 5,210","190 / 1,000",11 / 28,Owned,Playing now,,11 hrs 37 mins,29 Jul 22,,30 Jul 22
World of Warships: Legends,https://www.trueachievements.com/game/World-of-Warships-Legends/achievements,xbox-one,"181 / 2,656","110 / 1,000",6 / 38,Owned,Playing now,,6 hrs 57 mins,14 Sep 21,,15 Jun 22
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"1,797 / 1,797","1,000 / 1,000",11 / 11,Owned,,,5118 hrs 48 mins,04 Apr 18,27 May 22,27 May 22
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"275 / 4,724","200 / 1,610",15 / 83,Owned,Playing now,,24 hrs 57 mins,18 Oct 20,,19 Apr 22
LEGO Jurassic World,https://www.trueachievements.com/game/LEGO-Jurassic-World/achievements,xbox-one,"333 / 1,541","280 / 1,000",16 / 49,Owned,Playing now,,,31 Jul 21,,21 Aug 21
Undertale,https://www.trueachievements.com/game/Undertale/achievements,xbox-one,"662 / 2,290","380 / 1,000",9 / 21,Owned,Playing now,,12 hrs 12 mins,15 May 21,,22 May 21
Gems of War,https://www.trueachievements.com/game/Gems-of-War/achievements,xbox-one,"93 / 1,659","75 / 1,000",3 / 18,Owned,Playing now,,2 hrs 51 mins,21 Apr 21,,22 Apr 21
Astroneer,https://www.trueachievements.com/game/Astroneer/achievements,xbox-one,"10 / 3,619","10 / 1,000",1 / 54,Owned,Playing now,,2 hrs 19 mins,18 Dec 20,,18 Dec 20
TerraTech,https://www.trueachievements.com/game/TerraTech/achievements,xbox-one,"763 / 5,214","250 / 1,000",4 / 15,Owned,Playing now,,282 hrs 24 mins,14 May 20,,29 Nov 20
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"47 / 1,891","40 / 1,000",3 / 50,Owned,Playing now,,,21 Jul 18,,05 Sep 20
LEGO Harry Potter Collection,https://www.trueachievements.com/game/LEGO-Harry-Potter-Collection/achievements,xbox-one,"201 / 3,351","135 / 2,000",7 / 84,Owned,Playing now,,40 hrs 34 mins,28 Apr 20,,24 Aug 20
Army of TWO: The 40th Day,https://www.trueachievements.com/game/Army-of-Two-the-40th-Day/achievements,xbox-360,"405 / 2,985","275 / 1,000",18 / 50,Owned,,,,30 Nov 13,,17 Aug 20
LEGO Star Wars III: The Clone Wars,https://www.trueachievements.com/game/LEGO-Star-Wars-3/achievements,xbox-360,"10 / 2,239","10 / 1,000",1 / 48,Owned,Playing now,,,02 Aug 20,,02 Aug 20
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"5 / 6,578","5 / 1,000",1 / 60,Owned,Playing now,,1 hr 0 mins,05 Jul 20,,05 Jul 20
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"10 / 1,595",10 / 830,1 / 44,Owned,Playing now,,6 hrs 33 mins,04 Jul 20,,04 Jul 20
Untitled Goose Game,https://www.trueachievements.com/game/Untitled-Goose-Game/achievements,xbox-one,"81 / 2,256","70 / 1,000",1 / 25,Owned,Playing now,,2 hrs 20 mins,21 Jun 20,,21 Jun 20
Afterparty,https://www.trueachievements.com/game/Afterparty/achievements,xbox-one,"25 / 2,082","25 / 1,000",1 / 23,Owned,Playing now,,,21 Jun 20,,21 Jun 20
The LEGO NINJAGO Movie Video Game,https://www.trueachievements.com/game/The-LEGO-NINJAGO-Movie-Video-Game/achievements,xbox-one,"572 / 2,228","360 / 1,000",23 / 50,Owned,Playing now,,34 hrs 5 mins,18 Dec 18,,11 Dec 19
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"237 / 5,046","190 / 1,750",13 / 79,Owned,Playing now,,10 hrs 29 mins,01 Feb 19,,30 Sep 19
LEGO Jurassic World (Xbox 360),https://www.trueachievements.com/game/LEGO-Jurassic-World-Xbox-360/achievements,xbox-360,"628 / 1,681","490 / 1,000",26 / 49,Owned,Playing now,,,30 Jul 16,,27 May 19
LEGO Pirates of the Caribbean,https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,xbox-360,"584 / 1,734","402 / 1,000",22 / 40,Owned,Playing now,,,14 Mar 16,,27 May 19
Batman: Arkham City,https://www.trueachievements.com/game/Batman-Arkham-City/achievements,xbox-360,"40 / 2,355","40 / 1,000",4 / 50,Owned,Playing now,,,02 Oct 16,,13 Mar 19
Minecraft: Xbox 360 Edition,https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,xbox-360,"1,298 / 6,451","635 / 1,665",36 / 75,Owned,Playing now,,,13 Aug 17,,03 Mar 19
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"10 / 1,975","10 / 1,000",1 / 50,Owned,Playing now,,,22 Dec 18,,03 Feb 19
Neverwinter,https://www.trueachievements.com/game/Neverwinter/achievements,xbox-one,"166 / 3,968","115 / 1,000",10 / 48,Owned,Playing now,,27 hrs 30 mins,01 Sep 18,,03 Sep 18
Fable III,https://www.trueachievements.com/game/Fable-3/achievements,xbox-360,"347 / 1,861","285 / 1,000",15 / 50,Owned,,,,08 Mar 13,,22 Jul 18
How to Train Your Dragon 2,https://www.trueachievements.com/game/How-to-Train-Your-Dragon-2/achievements,xbox-360,"11 / 3,672","10 / 1,000",1 / 35,Owned,,,,01 Jul 18,,01 Jul 18
Batman: Arkham Asylum GOTY,https://www.trueachievements.com/game/Batman-Arkham-Asylum-GOTY/achievements,xbox-360,"158 / 1,909","145 / 1,000",12 / 47,Owned,Playing now,,,23 Jan 16,,01 Jul 18
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"10 / 1,473","10 / 1,000",1 / 50,Owned,,,,07 Dec 14,,22 Jun 18
Minecraft (Kindle Fire),https://www.trueachievements.com/game/Minecraft-Pocket-Edition-Kindle-Fire/achievements,android,"76 / 2,346","65 / 1,110",6 / 56,Owned,Playing now,,11 hrs 27 mins,02 Mar 18,,02 Mar 18
Assassin's Creed Unity,https://www.trueachievements.com/game/Assassins-Creed-Unity/achievements,xbox-one,"10 / 2,052","10 / 1,000",1 / 50,Owned,Playing now,,55 mins,28 Feb 18,,28 Feb 18
Minecraft: Story Mode - A Telltale Games Series (Xbox 360),https://www.trueachievements.com/game/Minecraft-Story-Mode-A-Telltale-Games-Series-Xbox-360/achievements,xbox-360,150 / 238,140 / 200,5 / 7,Owned,Playing now,,,13 Aug 17,,27 Jan 18
LEGO The Lord of the Rings,https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,xbox-360,"604 / 1,563","495 / 1,000",23 / 48,Owned,Playing now,,,06 Nov 16,,22 Oct 17
The LEGO Movie Videogame (Xbox 360),https://www.trueachievements.com/game/The-LEGO-Movie-Videogame-Xbox-360/achievements,xbox-360,"178 / 1,723","160 / 1,000",8 / 48,Owned,Playing now,,,04 Dec 16,,04 Mar 17
Lost Odyssey,https://www.trueachievements.com/game/Lost-Odyssey/achievements,xbox-360,"816 / 1,852","575 / 1,000",15 / 36,Owned,,,,12 Apr 14,,28 Dec 15
The Walking Dead (Xbox 360),https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,xbox-360,20 / 110,20 / 100,2 / 8,Owned,,,,28 Apr 14,,28 Apr 14
