game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"1,502 / 5,239","755 / 1,555",38 / 78,Owned,,,4183 hrs 54 mins,26 Feb 16,,22 Jan 23
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"651 / 3,767","390 / 1,250",26 / 59,Owned,Playing now,,474 hrs 9 mins,29 Oct 16,,07 Jan 23
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"119 / 1,797","110 / 1,000",3 / 11,Owned,Playing now,,1 hr 16 mins,29 Dec 22,,30 Dec 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"81 / 2,514","70 / 1,000",7 / 53,Owned,Playing now,,63 hrs 42 mins,11 Nov 22,,28 Dec 22
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"54 / 2,453","40 / 1,000",1 / 24,Owned,Playing now,,164 hrs 18 mins,26 Dec 22,,26 Dec 22
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"31 / 2,135","30 / 1,000",2 / 43,Owned,Playing now,,1 hr 42 mins,17 Nov 22,,17 Nov 22
DayZ,https://www.trueachievements.com/game/DayZ/achievements,xbox-one,"20 / 3,367","20 / 1,000",1 / 13,Owned,Playing now,,23 mins,12 Nov 22,,12 Nov 22
Forza Horizon 2,https://www.trueachievements.com/game/Forza-Horizon-2/achievements,xbox-one,"128 / 2,944","120 / 1,000",9 / 50,Owned,Playing now,,13 hrs 39 mins,01 Nov 22,,09 Nov 22
ARK: Survival Evolved,https://www.trueachievements.com/game/ARK-Survival-Evolved/achievements,xbox-one,"20 / 2,096","20 / 1,000",1 / 18,Owned,Playing now,,76 hrs 56 mins,07 Nov 22,,07 Nov 22
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"319 / 1,917","250 / 1,000",5 / 26,Owned,Playing now,,3041 hrs 59 mins,30 Oct 19,,21 Jun 22
Mortal Kombat 11,https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,xbox-one,"18 / 2,265","15 / 1,000",1 / 58,Owned,Playing now,,78 hrs 12 mins,07 May 22,,07 May 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"51 / 2,020","50 / 1,000",2 / 39,Owned,Playing now,,2 hrs 6 mins,08 Feb 22,,10 Feb 22
Star Wars Battlefront II,https://www.trueachievements.com/game/Star-Wars-Battlefront-II/achievements,xbox-one,"82 / 2,202","55 / 1,000",3 / 40,Owned,Playing now,,45 hrs 35 mins,06 Feb 22,,07 Feb 22
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"449 / 2,551","305 / 1,000",11 / 44,Owned,Playing now,,232 hrs 18 mins,09 Nov 21,,24 Dec 21
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"865 / 2,549","465 / 1,000",23 / 44,Owned,Playing now,,1708 hrs 54 mins,21 Nov 20,,03 May 21
Call of Duty: Black Ops,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops/achievements,xbox-360,"939 / 2,929","535 / 1,400",29 / 62,Owned,Playing now,,,31 Jan 13,,07 Apr 21
Call of Duty: Black Ops II,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,xbox-360,"710 / 2,392","495 / 1,250",27 / 60,Owned,,,,11 Feb 16,,05 Apr 21
Monster Energy Supercross - The Official Videogame 2,https://www.trueachievements.com/game/Monster-Energy-Supercross-2/achievements,xbox-one,"299 / 1,924","235 / 1,000",15 / 50,Owned,Playing now,,32 hrs 25 mins,26 Dec 19,,23 Jan 21
TT Isle of Man Ride on the Edge,https://www.trueachievements.com/game/TT-Isle-of-Man/achievements,xbox-one,"89 / 15,323","55 / 1,000",5 / 31,Owned,Playing now,,30 mins,12 Feb 20,,12 Feb 20
theHunter: Call of the Wild,https://www.trueachievements.com/game/theHunter-Call-of-the-Wild/achievements,xbox-one,"29 / 9,251","25 / 1,000",4 / 48,Owned,Playing now,,1 hr 40 mins,02 Feb 20,,02 Feb 20
State of Decay 2: Juggernaut Edition,https://www.trueachievements.com/game/State-of-Decay-2/achievements,xbox-one,"5 / 2,032","5 / 1,000",1 / 62,Owned,Playing now,,40 mins,27 Jan 20,,27 Jan 20
Mortal Kombat X,https://www.trueachievements.com/game/Mortal-Kombat-X/achievements,xbox-one,"75 / 4,664","60 / 1,000",6 / 60,Owned,Playing now,,7 hrs 11 mins,26 Jan 20,,26 Jan 20
HITMAN,https://www.trueachievements.com/game/HITMAN/achievements,xbox-one,32 / 665,30 / 300,2 / 17,Owned,Playing now,,46 mins,22 Sep 19,,22 Sep 19
