game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Slay The Spire,https://www.trueachievements.com/game/Slay-The-Spire/achievements,xbox-one,"2,020 / 5,013","590 / 1,070",33 / 46,Owned,Playing now,,340 hrs 55 mins,25 Jul 22,,08 Jul 23
Diablo IV,https://www.trueachievements.com/game/Diablo-IV/achievements,xbox-one,"15 / 3,493","15 / 1,000",1 / 25,Owned,Playing now,,4 hrs 34 mins,02 Jul 23,,02 Jul 23
Psychonauts 2,https://www.trueachievements.com/game/Psychonauts-2/achievements,xbox-one,"1,986 / 1,986","1,000 / 1,000",57 / 57,Owned,Playing now,,62 hrs 25 mins,07 Sep 21,01 Jul 23,01 Jul 23
Anno 1800 Console Edition,https://www.trueachievements.com/game/Anno-1800-Console-Edition/achievements,xbox-series-x-s,"1,603 / 6,203","410 / 1,000",16 / 30,Owned,Playing now,,68 hrs 1 min,16 Mar 23,,07 Apr 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"93 / 1,965","80 / 1,000",7 / 45,Owned,Playing now,,19 hrs 44 mins,11 Feb 23,,15 Feb 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"39 / 5,862","35 / 1,000",4 / 61,Owned,Playing now,,1 hr 48 mins,26 Jan 23,,26 Jan 23
Just Dance 2022,https://www.trueachievements.com/game/Just-Dance-2022/achievements,xbox-one,"437 / 2,725","300 / 1,000",14 / 32,Owned,Playing now,,5 hrs 42 mins,31 Dec 22,,21 Jan 23
Just Dance 2020,https://www.trueachievements.com/game/Just-Dance-2020/achievements,xbox-one,"207 / 3,579","180 / 1,000",10 / 37,Owned,Playing now,,1 hr 15 mins,17 Feb 20,,30 Dec 22
DEATHLOOP,https://www.trueachievements.com/game/Deathloop/achievements,xbox-series-x-s,"15 / 3,732","15 / 1,000",1 / 58,Owned,Playing now,,1 hr 5 mins,13 Dec 22,,13 Dec 22
LEGO The Hobbit,https://www.trueachievements.com/game/LEGO-The-Hobbit/achievements,xbox-one,"587 / 1,630","465 / 1,000",19 / 39,Owned,Playing now,,,30 Nov 22,,11 Dec 22
Lost Odyssey,https://www.trueachievements.com/game/Lost-Odyssey/achievements,xbox-360,"1,467 / 1,854","890 / 1,000",30 / 36,Owned,,,,05 Jan 17,,11 Dec 22
Assassin's Creed,https://www.trueachievements.com/game/Assassins-Creed/achievements,xbox-360,"1,065 / 1,593","790 / 1,000",32 / 44,Owned,,,,18 Jan 20,,01 Dec 22
Persona 5 Royal,https://www.trueachievements.com/game/Persona-5-Royal/achievements,xbox-one,"780 / 1,691","540 / 1,000",31 / 52,Owned,Playing now,,62 hrs 9 mins,03 Nov 22,,30 Nov 22
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"438 / 3,270","315 / 1,000",15 / 36,Owned,Playing now,,7 hrs 3 mins,02 Jul 22,,20 Oct 22
Tetris Effect: Connected,https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,xbox-one,"964 / 6,745","375 / 1,000",15 / 42,Owned,Playing now,,8 hrs 58 mins,14 Jul 22,,19 Jul 22
A Plague Tale: Innocence,https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,xbox-one,"15 / 1,872","15 / 1,000",1 / 35,Owned,Playing now,,1 hr 12 mins,16 Jul 22,,16 Jul 22
Umurangi Generation Special Edition,https://www.trueachievements.com/game/Umurangi-Generation-Special-Edition/achievements,xbox-one,"693 / 1,599","470 / 1,000",10 / 23,Owned,Playing now,,2 hrs 31 mins,16 Jul 22,,16 Jul 22
Outer Wilds,https://www.trueachievements.com/game/Outer-Wilds/achievements,xbox-one,"1,861 / 2,497","855 / 1,035",16 / 18,Owned,Playing now,,31 hrs 38 mins,21 Jun 22,,12 Jul 22
Viva Piñata,https://www.trueachievements.com/game/Viva-Pinata/achievements,xbox-360,"65 / 1,984","60 / 1,000",3 / 50,Owned,,,,17 Sep 15,,02 Jul 22
Oddworld: Stranger's Wrath HD,https://www.trueachievements.com/game/Oddworld-Strangers-Wrath-HD/achievements,xbox-one,"2,185 / 2,617","880 / 1,000",33 / 36,Owned,Playing now,,16 hrs 57 mins,23 May 22,,16 Jun 22
Life is Strange,https://www.trueachievements.com/game/Life-Is-Strange/achievements,xbox-one,"1,406 / 1,406","1,000 / 1,000",60 / 60,Owned,,,29 hrs 9 mins,31 Aug 15,16 Jun 22,16 Jun 22
TUNIC,https://www.trueachievements.com/game/Tunic/achievements,xbox-one,"290 / 2,964","160 / 1,000",15 / 36,Owned,Playing now,,17 hrs 27 mins,24 Mar 22,,05 Apr 22
Mass Effect Legendary Edition,https://www.trueachievements.com/game/Mass-Effect-Legendary-Edition/achievements,xbox-one,"3,914 / 5,490","2,405 / 2,915",105 / 127,Owned,Playing now,,160 hrs 29 mins,15 Jan 22,,14 Mar 22
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"127 / 3,440","110 / 1,250",7 / 56,Owned,,,35 mins,27 Aug 15,,12 Jan 22
Gears of War 2,https://www.trueachievements.com/game/Gears-of-War-2/achievements,xbox-360,"587 / 1,897","435 / 1,000",28 / 50,Owned,,,,18 Jan 20,,11 Jan 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"370 / 3,759","275 / 1,600",29 / 119,Owned,Playing now,,20 hrs 3 mins,16 Nov 21,,19 Dec 21
Hades,https://www.trueachievements.com/game/Hades/achievements,xbox-one,"1,731 / 2,451","775 / 1,000",40 / 49,Owned,Playing now,,179 hrs 16 mins,03 Oct 21,,16 Nov 21
Grand Theft Auto: San Andreas – The Definitive Edition,https://www.trueachievements.com/game/Grand-Theft-Auto-San-Andreas-The-Definitive-Edition/achievements,xbox-one,"114 / 4,336","55 / 1,000",2 / 34,Owned,Playing now,,43 mins,16 Nov 21,,16 Nov 21
Microsoft Flight Simulator,https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,xbox-series-x-s,"5 / 12,686","5 / 1,000",1 / 43,Owned,Playing now,,8 hrs 17 mins,24 Aug 21,,24 Aug 21
Donut County,https://www.trueachievements.com/game/Donut-County/achievements,xbox-one,"258 / 1,374","215 / 1,000",10 / 20,Owned,Playing now,,2 hrs 25 mins,20 Aug 21,,20 Aug 21
Beyond Good & Evil HD,https://www.trueachievements.com/game/Beyond-Good-and-Evil-HD/achievements,xbox-360,362 / 362,200 / 200,12 / 12,Owned,,,,30 Aug 12,02 Sep 12,16 Aug 21
Dead Space (2008),https://www.trueachievements.com/game/Dead-Space-Xbox-360/achievements,xbox-360,"851 / 1,804","605 / 1,000",31 / 48,Owned,,,,27 Sep 16,,16 Apr 21
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"474 / 2,446","380 / 1,500",18 / 57,Owned,Playing now,,6 hrs 58 mins,12 Feb 21,,20 Feb 21
Battlefield V,https://www.trueachievements.com/game/Battlefield-V/achievements,xbox-one,"124 / 2,708","105 / 1,000",5 / 21,Owned,Playing now,,6 hrs 59 mins,12 Feb 21,,12 Feb 21
Halo Wars 2,https://www.trueachievements.com/game/Halo-Wars-2/achievements,xbox-one,"22 / 3,296","20 / 1,060",2 / 60,Owned,Playing now,,1 hr 39 mins,30 Jan 21,,30 Jan 21
Darksiders Genesis,https://www.trueachievements.com/game/Darksiders-Genesis/achievements,xbox-one,"10 / 2,204","10 / 1,000",1 / 30,Owned,Playing now,,8 hrs 59 mins,09 Jan 21,,09 Jan 21
Battlefield: Bad Company 2,https://www.trueachievements.com/game/Battlefield-Bad-Company-2/achievements,xbox-360,"1,536 / 1,812","935 / 1,045",49 / 53,Owned,,,,28 Mar 10,,09 Jan 21
A Way Out,https://www.trueachievements.com/game/A-Way-Out/achievements,xbox-one,"1,738 / 1,738","1,000 / 1,000",14 / 14,Owned,Playing now,,7 hrs 11 mins,04 Jan 21,06 Jan 21,06 Jan 21
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"574 / 2,274","340 / 1,000",19 / 44,Owned,Playing now,,113 hrs 40 mins,09 Dec 20,,18 Dec 20
Fable Anniversary,https://www.trueachievements.com/game/Fable-Anniversary/achievements,xbox-360,"2,046 / 2,094","980 / 1,000",49 / 50,Owned,,,,18 Jan 20,,08 Dec 20
Night In The Woods,https://www.trueachievements.com/game/Night-In-The-Woods/achievements,xbox-one,"791 / 2,685","420 / 1,000",16 / 31,Owned,Playing now,,51 hrs 14 mins,11 Oct 20,,21 Oct 20
Nexomon: Extinction,https://www.trueachievements.com/game/Nexomon-Extinction/achievements,xbox-one,"20 / 2,125","20 / 1,000",2 / 56,Owned,Playing now,,50 mins,18 Oct 20,,18 Oct 20
Mass Effect 3,https://www.trueachievements.com/game/Mass-Effect-3/achievements,xbox-360,"2,388 / 2,387","1,550 / 1,550",68 / 68,Owned,,,,07 Mar 12,18 Jan 20,11 Oct 20
Mass Effect 2,https://www.trueachievements.com/game/Mass-Effect-2/achievements,xbox-360,"1,837 / 1,836","1,355 / 1,355",62 / 62,Owned,,,,06 Feb 10,18 Jan 20,11 Oct 20
Tony Hawk's Pro Skater 1 + 2,https://www.trueachievements.com/game/Tony-Hawks-Pro-Skater-1-2/achievements,xbox-one,"34 / 3,507","30 / 1,000",2 / 36,Owned,Playing now,,2 hrs 50 mins,08 Sep 20,,08 Sep 20
Grand Theft Auto IV,https://www.trueachievements.com/game/Grand-Theft-Auto-4/achievements,xbox-360,"233 / 3,210","160 / 1,000",11 / 50,Owned,,,,18 Jan 20,,24 Aug 20
