game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Hell Let Loose,https://www.trueachievements.com/game/Hell-Let-Loose/achievements,xbox-series-x-s,"3,822 / 8,184","1,045 / 1,250",45 / 54,Owned,,,774 hrs 25 mins,30 Sep 21,,31 May 23
The Sims 4,https://www.trueachievements.com/game/The-Sims-4/achievements,xbox-one,"1,324 / 2,667","540 / 1,000",29 / 50,Owned,,,191 hrs 1 min,08 Jul 21,,30 May 23
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"1,606 / 3,587","610 / 1,000",28 / 41,Owned,,,101 hrs 9 mins,05 Oct 22,,23 May 23
Rust: Console Edition,https://www.trueachievements.com/game/Rust/achievements,xbox-one,"1,254 / 1,580","810 / 1,000",21 / 31,Owned,,,101 hrs 14 mins,04 Jun 21,,20 May 23
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"430 / 1,488","315 / 1,000",16 / 48,Owned,Playing now,,11 hrs 21 mins,04 May 23,,11 May 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"265 / 9,892","125 / 1,375",18 / 148,Owned,Playing now,,29 hrs 11 mins,31 Jan 23,,10 May 23
DayZ,https://www.trueachievements.com/game/DayZ/achievements,xbox-one,"1,338 / 3,367","490 / 1,000",7 / 13,Owned,,,53 hrs 4 mins,01 Sep 21,,01 May 23
Prominence Poker,https://www.trueachievements.com/game/Prominence-Poker/achievements,xbox-one,"600 / 6,759","300 / 1,215",11 / 40,Owned,Playing now,,10 hrs 17 mins,22 Apr 23,,26 Apr 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"279 / 3,698","225 / 1,750",14 / 79,Owned,,,45 hrs 15 mins,31 Oct 22,,25 Apr 23
Anno 1800 Console Edition,https://www.trueachievements.com/game/Anno-1800-Console-Edition/achievements,xbox-series-x-s,"803 / 6,349","285 / 1,000",14 / 30,Owned,Playing now,,74 hrs 53 mins,17 Mar 23,,21 Apr 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"107 / 3,836","75 / 1,000",7 / 51,Owned,,,31 hrs 2 mins,27 Sep 22,,11 Apr 23
Cake Bash,https://www.trueachievements.com/game/Cake-Bash/achievements,xbox-one,"376 / 1,980","260 / 1,000",6 / 20,Owned,,,4 hrs 8 mins,19 Sep 22,,05 Apr 23
War Thunder,https://www.trueachievements.com/game/War-Thunder/achievements,xbox-one,"122 / 3,168","100 / 1,000",2 / 13,Owned,,,83 hrs 49 mins,20 Mar 21,,23 Mar 23
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"134 / 3,271","60 / 1,000",4 / 50,Owned,Playing now,,8 hrs 2 mins,01 Mar 23,,06 Mar 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"64 / 2,658","45 / 1,000",2 / 24,Owned,Playing now,,47 mins,28 Feb 23,,28 Feb 23
