game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
FIFA 23 (Xbox One),https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,xbox-one,"372 / 3,418","180 / 1,000",6 / 39,Owned,Playing now,,70 hrs 1 min,17 May 23,,06 Jun 23
Resident Evil 7: Biohazard,https://www.trueachievements.com/game/Resident-Evil-7/achievements,xbox-one,"3,142 / 3,890","1,220 / 1,390",45 / 50,Owned,,,80 hrs 28 mins,24 Mar 18,,30 May 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"91 / 6,742","70 / 1,055",7 / 67,Owned,Playing now,,1 hr 46 mins,28 May 23,,28 May 23
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"48 / 2,873","45 / 1,000",2 / 26,Owned,Playing now,,14 mins,28 May 23,,28 May 23
Hello Neighbor 2,https://www.trueachievements.com/game/Hello-Neighbor-2/achievements,xbox-one,"1,752 / 1,752","1,000 / 1,000",14 / 14,Owned,Playing now,,8 hrs 34 mins,24 May 23,27 May 23,27 May 23
Dark Souls II: Scholar of the First Sin,https://www.trueachievements.com/game/Dark-Souls-II-Scholar-of-the-First-Sin/achievements,xbox-one,"1,505 / 1,972","860 / 1,000",34 / 38,Owned,Playing now,,,13 May 22,,17 May 23
Microsoft Solitaire Collection (UWP),https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,windows,"1,167 / 6,354","420 / 1,850",20 / 76,Owned,,,49 hrs 2 mins,09 Dec 18,,06 May 23
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"38 / 2,661","30 / 1,000",3 / 34,Owned,Playing now,,1 hr 7 mins,26 Apr 23,,26 Apr 23
Resident Evil Code: Veronica X,https://www.trueachievements.com/game/Resident-Evil-Code-Veronica/achievements,xbox-360,"50 / 2,535","50 / 1,000",1 / 12,Owned,Playing now,,,04 Apr 23,,04 Apr 23
Resident Evil Village,https://www.trueachievements.com/game/Resident-Evil-Village/achievements,xbox-one,"1,938 / 1,938","1,000 / 1,000",49 / 49,Owned,Playing now,,83 hrs 3 mins,16 Jan 23,02 Apr 23,02 Apr 23
Resident Evil 5,https://www.trueachievements.com/game/Resident-Evil-5-Xbox-One/achievements,xbox-one,"730 / 3,650","340 / 1,400",21 / 70,Owned,,,14 hrs 35 mins,16 May 19,,18 Mar 23
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"152 / 2,453","120 / 1,000",2 / 24,Owned,Playing now,,64 hrs 47 mins,08 Mar 23,,15 Mar 23
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"525 / 3,394","255 / 1,000",10 / 37,Owned,Playing now,,317 hrs 6 mins,02 Jul 22,,09 Feb 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"849 / 3,944","550 / 1,180",16 / 33,Owned,Playing now,,9 hrs 41 mins,17 Jan 22,,06 Feb 23
Dead by Daylight,https://www.trueachievements.com/game/Dead-by-Daylight/achievements,xbox-one,"38 / 2,883","30 / 1,000",3 / 61,Owned,Playing now,,3 hrs 10 mins,03 Jan 23,,03 Jan 23
Plants vs. Zombies,https://www.trueachievements.com/game/Plants-vs-Zombies/achievements,xbox-360,332 / 429,175 / 200,11 / 12,Owned,Playing now,,,18 Feb 20,,09 Dec 22
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"49 / 3,085","40 / 1,130",4 / 61,Owned,Playing now,,1 hr 29 mins,10 Nov 21,,16 Oct 22
Tom Clancy's Splinter Cell Conviction,https://www.trueachievements.com/game/Tom-Clancys-Splinter-Cell-Conviction/achievements,xbox-360,"1,113 / 2,945","470 / 1,250",20 / 54,Owned,Playing now,,,26 Sep 22,,08 Oct 22
Dead Space 2,https://www.trueachievements.com/game/Dead-Space-2/achievements,xbox-360,"193 / 1,722","175 / 1,000",12 / 50,Owned,,,,26 May 18,,08 Oct 22
Ninja Gaiden 3: Razor's Edge,https://www.trueachievements.com/game/Ninja-Gaiden-3-Razors-Edge/achievements,xbox-one,"31 / 9,047","30 / 1,000",2 / 48,Owned,Playing now,,8 mins,22 Jun 22,,22 Jun 22
Sekiro: Shadows Die Twice - GOTY Edition,https://www.trueachievements.com/game/Sekiro-Shadows-Die-Twice/achievements,xbox-one,"2,273 / 2,273","1,000 / 1,000",34 / 34,Owned,Playing now,,75 hrs 10 mins,29 Apr 22,21 Jun 22,21 Jun 22
Assassin's Creed Valhalla,https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,xbox-one,"32 / 2,089","30 / 1,000",3 / 50,Owned,Playing now,,9 hrs 3 mins,13 May 22,,03 Jun 22
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"371 / 1,917","275 / 1,000",6 / 26,Owned,,,1958 hrs 13 mins,28 Dec 19,,13 May 22
HITMAN 3,https://www.trueachievements.com/game/HITMAN-3/achievements,xbox-one,"17 / 3,218","15 / 1,000",1 / 47,Owned,Playing now,,1 hr 5 mins,12 May 22,,12 May 22
Wolfenstein II: The New Colossus,https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,xbox-one,"10 / 4,025","10 / 1,000",1 / 50,Owned,Playing now,,24 mins,27 Apr 22,,27 Apr 22
ROBLOX,https://www.trueachievements.com/game/ROBLOX/achievements,xbox-one,"492 / 1,797","405 / 1,000",6 / 11,Owned,Playing now,,18 hrs 23 mins,14 Oct 21,,26 Apr 22
FIFA 21 (Xbox One),https://www.trueachievements.com/game/FIFA-21-Xbox-One/achievements,xbox-one,"343 / 2,885","180 / 1,000",5 / 36,Owned,Playing now,,98 hrs 42 mins,24 Oct 21,,22 Apr 22
Bully: Scholarship Edition,https://www.trueachievements.com/game/Bully-Scholarship-Edition/achievements,xbox-360,"1,697 / 1,697","1,000 / 1,000",38 / 38,Owned,Playing now,,,11 Jan 22,19 Jan 22,01 Apr 22
Forza Horizon 2,https://www.trueachievements.com/game/Forza-Horizon-2/achievements,xbox-one,"341 / 2,944","170 / 1,000",12 / 50,Owned,Playing now,,22 hrs 35 mins,18 Feb 22,,20 Mar 22
LIMBO,https://www.trueachievements.com/game/LIMBO/achievements,xbox-one,"1,565 / 2,179","900 / 1,000",12 / 13,Owned,Playing now,,6 hrs 50 mins,16 Sep 21,,19 Mar 22
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"2,260 / 3,086","1,090 / 1,360",33 / 44,Owned,,,12 hrs 52 mins,27 Jan 19,,18 Mar 22
Naruto: Ultimate Ninja Storm,https://www.trueachievements.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-1/achievements,xbox-one,"74 / 1,855","60 / 1,000",4 / 50,Owned,Playing now,,,04 Mar 22,,04 Mar 22
