game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Diablo IV,https://www.trueachievements.com/game/Diablo-IV/achievements,xbox-one,"165 / 13,664","110 / 1,000",6 / 25,Owned,Playing now,,17 hrs 16 mins,02 Jun 23,,04 Jun 23
Jurassic World Evolution 2,https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,xbox-one,"6,850 / 6,849","1,070 / 1,070",49 / 49,Owned,,,178 hrs 32 mins,09 Apr 22,08 May 23,08 May 23
Persona 3 Portable,https://www.trueachievements.com/game/Persona-3-Portable/achievements,xbox-one,"10 / 3,344","10 / 1,000",1 / 35,Owned,Playing now,,48 mins,07 May 23,,07 May 23
Star Wars Jedi: Survivor,https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,xbox-series-x-s,"291 / 1,852","250 / 1,000",18 / 53,Owned,Playing now,,38 hrs 11 mins,28 Apr 23,,02 May 23
Resident Evil 4,https://www.trueachievements.com/game/Resident-Evil-4/achievements,xbox-series-x-s,"1,732 / 1,766","980 / 1,000",38 / 39,Owned,Playing now,,91 hrs 8 mins,23 Mar 23,,09 Apr 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"511 / 2,586","260 / 1,000",6 / 25,Owned,Playing now,,27 hrs 59 mins,28 Mar 23,,01 Apr 23
Shadow of the Tomb Raider,https://www.trueachievements.com/game/Shadow-of-the-Tomb-Raider/achievements,xbox-one,"947 / 2,061","640 / 1,190",40 / 73,Owned,,,52 hrs 57 mins,22 Sep 18,,25 Mar 23
Cities: Skylines - Remastered,https://www.trueachievements.com/game/Cities-Skylines-Remastered/achievements,xbox-series-x-s,"1,465 / 10,421","535 / 2,060",34 / 96,Owned,Playing now,,14 hrs 51 mins,07 Mar 23,,22 Mar 23
Vampyr,https://www.trueachievements.com/game/Vampyr/achievements,xbox-one,"2,224 / 2,970","840 / 1,000",23 / 28,Owned,,,36 hrs 42 mins,05 Jun 18,,18 Mar 23
L.A. Noire,https://www.trueachievements.com/game/LA-Noire/achievements,xbox-one,"1,138 / 3,146","645 / 1,500",31 / 62,Owned,,,35 hrs 21 mins,20 Sep 20,,18 Mar 23
Ni no Kuni: Wrath of the White Witch Remastered,https://www.trueachievements.com/game/Ni-no-Kuni-Wrath-of-the-White-Witch-Remastered/achievements,xbox-one,"138 / 4,562","70 / 1,000",7 / 33,Owned,Playing now,,25 hrs 42 mins,18 Sep 22,,18 Mar 23
Dead Space,https://www.trueachievements.com/game/Dead-Space/achievements,xbox-series-x-s,"155 / 1,906","130 / 1,000",13 / 47,Owned,Playing now,,8 hrs 28 mins,29 Jan 23,,14 Mar 23
Jurassic World Evolution,https://www.trueachievements.com/game/Jurassic-World-Evolution/achievements,xbox-one,"1,353 / 3,572","545 / 1,000",36 / 51,Owned,,,58 hrs 13 mins,03 Jun 21,,09 Mar 23
The Outer Worlds: Spacer's Choice Edition,https://www.trueachievements.com/game/The-Outer-Worlds-Spacers-Choice-Edition/achievements,xbox-series-x-s,"839 / 2,637","350 / 1,000",13 / 68,Owned,Playing now,,11 hrs 15 mins,07 Mar 23,,07 Mar 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"734 / 1,991","430 / 1,000",24 / 45,Owned,Playing now,,125 hrs 42 mins,06 Feb 23,,06 Mar 23
Wo Long: Fallen Dynasty,https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,xbox-one,"33 / 2,696","30 / 1,000",2 / 51,Owned,Playing now,,1 hr 11 mins,04 Mar 23,,04 Mar 23
Chorus,https://www.trueachievements.com/game/Chorus/achievements,xbox-one,"10 / 2,870","10 / 1,000",1 / 42,Owned,Playing now,,53 mins,03 Mar 23,,03 Mar 23
Yakuza Kiwami,https://www.trueachievements.com/game/Yakuza-Kiwami/achievements,xbox-one,"15 / 3,259","15 / 1,000",1 / 55,Owned,Playing now,,43 mins,03 Mar 23,,03 Mar 23
NBA 2K23,https://www.trueachievements.com/game/NBA-2K23/achievements,xbox-series-x-s,"533 / 3,935","355 / 1,000",22 / 45,Owned,Playing now,,63 hrs 35 mins,08 Feb 23,,02 Mar 23
