game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Goat Simulator,https://www.trueachievements.com/game/Goat-Simulator/achievements,xbox-one,"331 / 2,002","240 / 1,000",11 / 30,Owned,Playing now,,3 hrs 51 mins,23 Jul 16,,19 Nov 22
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,226 / 407,150 / 200,10 / 12,Owned,,,,25 Apr 11,,24 Apr 22
Sonic Generations,https://www.trueachievements.com/game/Sonic-Generations/achievements,xbox-360,"25 / 2,601","25 / 1,000",2 / 49,Owned,Playing now,,,24 Apr 22,,24 Apr 22
Plants vs. Zombies,https://www.trueachievements.com/game/Plants-vs-Zombies/achievements,xbox-360,429 / 429,200 / 200,12 / 12,Owned,,,,20 Jan 11,29 Jan 11,23 Apr 22
Space Invaders Infinity Gene,https://www.trueachievements.com/game/Space-Invaders-Infinity-Gene/achievements,xbox-360,379 / 487,175 / 200,11 / 12,Owned,,,,17 Sep 10,,13 Mar 22
Wolfenstein II: The New Colossus,https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus/achievements,xbox-one,"51 / 4,025","45 / 1,000",5 / 50,Owned,Playing now,,7 hrs 11 mins,05 Mar 22,,05 Mar 22
The Witcher 3: Wild Hunt - Complete Edition,https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,xbox-one,"86 / 4,902","75 / 2,000",4 / 78,Owned,Playing now,,12 hrs 13 mins,28 Dec 19,,03 Jan 22
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"118 / 3,559","90 / 1,000",11 / 62,Owned,Playing now,,6 hrs 34 mins,26 Mar 21,,28 Mar 21
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"99 / 6,720","80 / 1,290",9 / 100,Owned,Playing now,,16 hrs 50 mins,06 Sep 19,,02 Jan 21
Trials Evolution,https://www.trueachievements.com/game/Trials-Evolution/achievements,xbox-360,"639 / 1,621",340 / 600,20 / 36,Owned,,,,18 Apr 12,,18 Oct 20
Trials HD,https://www.trueachievements.com/game/Trials-HD/achievements,xbox-360,319 / 704,195 / 300,14 / 18,Owned,,,,02 Jul 11,,18 Oct 20
Sniper Elite 4,https://www.trueachievements.com/game/Sniper-Elite-4/achievements,xbox-one,"126 / 3,826","90 / 1,000",8 / 50,Owned,Playing now,,32 hrs 55 mins,11 Apr 20,,17 Apr 20
DOOM Eternal,https://www.trueachievements.com/game/Doom-Eternal/achievements,xbox-one,"157 / 2,280","140 / 1,000",4 / 33,Owned,Playing now,,18 hrs 12 mins,29 Mar 20,,08 Apr 20
Dawn of Man,https://www.trueachievements.com/game/Dawn-of-Man/achievements,xbox-one,"31 / 5,585","30 / 1,000",2 / 24,Owned,Playing now,,30 mins,28 Mar 20,,28 Mar 20
TT Isle of Man Ride on the Edge,https://www.trueachievements.com/game/TT-Isle-of-Man/achievements,xbox-one,"39 / 15,323","30 / 1,000",3 / 31,Owned,Playing now,,20 mins,27 Mar 20,,27 Mar 20
Forza Motorsport 6,https://www.trueachievements.com/game/Forza-Motorsport-6/achievements,xbox-one,"252 / 3,591","140 / 1,000",11 / 56,Owned,Playing now,,18 hrs 50 mins,17 Aug 19,,07 Sep 19
Fishing Planet,https://www.trueachievements.com/game/Fishing-Planet/achievements,xbox-one,"20 / 32,677","20 / 1,000",1 / 17,Owned,Playing now,,1 hr 56 mins,26 Jul 19,,26 Jul 19
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"20 / 3,698","20 / 1,750",2 / 79,Owned,Playing now,,30 mins,11 Jul 19,,11 Jul 19
INSIDE,https://www.trueachievements.com/game/Inside/achievements,xbox-one,"662 / 1,429","490 / 1,000",7 / 14,Owned,Playing now,,4 hrs 54 mins,09 Jul 19,,10 Jul 19
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"278 / 2,359","180 / 1,000",14 / 55,Owned,Playing now,,40 hrs 37 mins,08 Jun 19,,16 Jun 19
Bully: Scholarship Edition,https://www.trueachievements.com/game/Bully-Scholarship-Edition/achievements,xbox-360,"97 / 1,697","90 / 1,000",4 / 38,Owned,Playing now,,,22 Apr 19,,02 Jun 19
Sniper Elite V2 Remastered,https://www.trueachievements.com/game/Sniper-Elite-V2-Remastered/achievements,xbox-one,"1,003 / 2,229","590 / 1,000",32 / 47,Owned,Playing now,,,14 May 19,,01 Jun 19
ARCADE GAME SERIES: Pac-Man,https://www.trueachievements.com/game/ARCADE-GAME-SERIES-PAC-MAN/achievements,xbox-one,"91 / 2,547","75 / 1,000",4 / 20,Owned,Playing now,,28 mins,01 Jun 18,,25 May 19
Road Redemption,https://www.trueachievements.com/game/Road-Redemption/achievements,xbox-one,"599 / 3,179","315 / 1,000",16 / 50,Owned,Playing now,,,23 Apr 19,,04 May 19
Dead Island Definitive Edition,https://www.trueachievements.com/game/Dead-Island/achievements,xbox-one,"718 / 2,958","408 / 1,000",24 / 58,Owned,Playing now,,51 hrs 44 mins,19 Mar 19,,21 Apr 19
