game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Vampire Survivors,https://www.trueachievements.com/game/Vampire-Survivors/achievements,xbox-one,"1,966 / 2,218","1,210 / 1,310",158 / 159,Owned,Playing now,,60 hrs 17 mins,14 Nov 22,,19 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"585 / 2,441","370 / 1,000",15 / 32,Owned,Playing now,,8 hrs 4 mins,13 Dec 22,,17 Dec 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,737 / 3,769","905 / 1,600",82 / 119,Owned,Playing now,,123 hrs 34 mins,02 Dec 21,,15 Dec 22
Gungrave G.O.R.E,https://www.trueachievements.com/game/Gungrave-Gore/achievements,xbox-one,"124 / 5,028","90 / 1,000",7 / 49,Owned,Playing now,,36 mins,23 Nov 22,,13 Dec 22
Dying Light,https://www.trueachievements.com/game/Dying-Light/achievements,xbox-one,"1,674 / 2,939","1,015 / 1,430",47 / 65,Owned,Playing now,,40 hrs 32 mins,14 Dec 21,,12 Dec 22
Hello Neighbor 2,https://www.trueachievements.com/game/Hello-Neighbor-2/achievements,xbox-one,"1,752 / 1,752","1,000 / 1,000",14 / 14,Owned,Playing now,,1 hr 34 mins,07 Dec 22,07 Dec 22,07 Dec 22
Warframe,https://www.trueachievements.com/game/Warframe/achievements,xbox-one,"2,896 / 6,072","1,215 / 1,950",47 / 71,Owned,,,78 hrs 15 mins,05 Jul 18,,05 Dec 22
NieR: Automata BECOME AS GODS Edition,https://www.trueachievements.com/game/NieR-Automata/achievements,xbox-one,"2,236 / 2,236","1,000 / 1,000",48 / 48,Owned,Playing now,,30 hrs 1 min,27 May 20,28 Nov 22,28 Nov 22
Somerville,https://www.trueachievements.com/game/Somerville/achievements,xbox-one,"1,742 / 1,742","1,000 / 1,000",11 / 11,Owned,Playing now,,6 hrs 53 mins,17 Nov 22,19 Nov 22,19 Nov 22
Resident Evil Re:Verse,https://www.trueachievements.com/game/Resident-Evil-ReVerse/achievements,xbox-one,"1,038 / 1,740","725 / 1,000",9 / 12,Owned,Playing now,,1 hr 19 mins,08 Nov 22,,17 Nov 22
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"5,891 / 5,891","2,400 / 2,400",37 / 37,Owned,Playing now,,59 mins,16 Nov 22,16 Nov 22,16 Nov 22
Persona 5 Royal,https://www.trueachievements.com/game/Persona-5-Royal/achievements,xbox-one,"1,705 / 1,705","1,000 / 1,000",52 / 52,Owned,Playing now,,80 hrs 17 mins,25 Oct 22,13 Nov 22,13 Nov 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"659 / 2,661","410 / 1,000",21 / 34,Owned,Playing now,,10 hrs 36 mins,24 Jun 22,,06 Nov 22
Metal: Hellsinger,https://www.trueachievements.com/game/Metal-Hellsinger/achievements,xbox-series-x-s,"1,840 / 2,747","755 / 1,000",24 / 28,Owned,Playing now,,5 hrs 22 mins,16 Sep 22,,24 Oct 22
The Pedestrian,https://www.trueachievements.com/game/The-Pedestrian/achievements,xbox-one,"1,282 / 1,282","1,000 / 1,000",10 / 10,Owned,Playing now,,12 mins,23 Oct 22,23 Oct 22,23 Oct 22
Turnip Boy Commits Tax Evasion,https://www.trueachievements.com/game/Turnip-Boy-Commits-Tax-Evasion/achievements,xbox-one,"1,463 / 1,463","1,000 / 1,000",37 / 37,Owned,Playing now,,2 hrs 32 mins,23 Oct 22,23 Oct 22,23 Oct 22
Star Wars Jedi: Fallen Order,https://www.trueachievements.com/game/Star-Wars-Jedi-Fallen-Order/achievements,xbox-one,"2,020 / 2,020","1,000 / 1,000",39 / 39,Owned,Playing now,,26 hrs 51 mins,07 Jun 21,22 Oct 22,22 Oct 22
The Outer Worlds,https://www.trueachievements.com/game/The-Outer-Worlds/achievements,xbox-one,"1,839 / 2,752","790 / 1,000",37 / 48,Owned,Playing now,,28 hrs 6 mins,17 Apr 20,,13 Oct 22
Far Cry 3 Blood Dragon Classic Edition,https://www.trueachievements.com/game/Far-Cry-3-Blood-Dragon-Classic-Edition/achievements,xbox-one,"1,661 / 1,661","1,000 / 1,000",19 / 19,Owned,Playing now,,11 hrs 46 mins,04 Sep 22,02 Oct 22,02 Oct 22
Destiny 2,https://www.trueachievements.com/game/Destiny-2/achievements,xbox-one,"1,193 / 2,051","840 / 1,240",14 / 23,Owned,Playing now,,231 hrs 57 mins,02 Oct 20,,22 Sep 22
Space Science Investigations: Humans in Space,https://www.trueachievements.com/game/Space-Science-Investigations/achievements,xbox-one,"1,160 / 1,160","1,000 / 1,000",21 / 21,Owned,Playing now,,33 mins,11 Sep 22,11 Sep 22,11 Sep 22
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.trueachievements.com/game/Teenage-Mutant-Ninja-Turtles-Shredders-Revenge/achievements,xbox-one,"1,986 / 2,784","850 / 1,000",27 / 30,Owned,Playing now,,5 hrs 58 mins,17 Jun 22,,07 Sep 22
