game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,239 / 1,488","865 / 1,000",44 / 48,Owned,Playing now,,511 hrs 59 mins,28 Jul 16,,27 Jul 22
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"437 / 3,767","265 / 1,250",16 / 59,Owned,Playing now,,217 hrs 38 mins,20 Nov 16,,29 May 17
Ryse: Son of Rome,https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,xbox-one,"89 / 1,998","70 / 1,000",5 / 58,Owned,Playing now,,2 hrs 14 mins,04 Apr 17,,05 Apr 17
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"53 / 3,543","40 / 1,000",2 / 47,Owned,Playing now,,756 hrs 55 mins,20 Mar 17,,25 Mar 17
FIFA 17,https://www.trueachievements.com/game/FIFA-17/achievements,xbox-one,"1,449 / 2,215","695 / 1,000",30 / 44,Owned,Playing now,,1244 hrs 51 mins,29 Sep 16,,18 Feb 17
NBA 2K17: The Prelude,https://www.trueachievements.com/game/NBA-2K17-The-Prelude/achievements,xbox-one,"285 / 1,267","250 / 1,000",4 / 10,Owned,Playing now,,1 hr 18 mins,10 Sep 16,,19 Nov 16
Dovetail Games Euro Fishing,https://www.trueachievements.com/game/Dovetail-Games-Euro-Fishing/achievements,xbox-one,"3,366 / 3,863","875 / 1,000",11 / 15,Owned,Playing now,,51 hrs 11 mins,30 Aug 16,,16 Nov 16
YouTube,https://www.trueachievements.com/game/YouTube/achievements,xbox-one,0 / 0,0 / 0,4 / 10,Owned,Playing now,,100 hrs 11 mins,17 Nov 15,,14 Nov 16
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"1,191 / 2,444","835 / 1,450",37 / 59,Owned,Playing now,,58 hrs 3 mins,22 Mar 16,,13 Nov 16
Twitch,https://www.trueachievements.com/game/Twitch/achievements,xbox-one,0 / 0,0 / 0,2 / 10,Owned,,,8 hrs 48 mins,06 Mar 16,,16 Oct 16
WWE 2K16,https://www.trueachievements.com/game/WWE-2K16/achievements,xbox-one,"200 / 4,834","60 / 1,000",4 / 55,Owned,Playing now,,14 hrs 9 mins,18 Aug 16,,22 Aug 16
The Crew,https://www.trueachievements.com/game/The-Crew/achievements,xbox-one,"506 / 5,417","270 / 1,000",19 / 50,Owned,Playing now,,25 hrs 21 mins,23 Jun 16,,22 Jul 16
FIFA 16,https://www.trueachievements.com/game/FIFA-16/achievements,xbox-one,"1,885 / 2,170","895 / 1,000",47 / 48,Owned,Playing now,,1714 hrs 5 mins,25 Sep 15,,21 Jul 16
Forza Horizon 2 Presents Fast & Furious,https://www.trueachievements.com/game/Forza-Horizon-2-Presents-Fast-and-Furious/achievements,xbox-one,"1,120 / 1,120","1,000 / 1,000",25 / 25,Owned,Playing now,,10 hrs 17 mins,08 Dec 15,23 Jun 16,23 Jun 16
EA SPORTS UFC,https://www.trueachievements.com/game/EA-SPORTS-UFC/achievements,xbox-one,"146 / 4,642","110 / 1,000",3 / 32,Owned,Playing now,,2 hrs 19 mins,23 Jan 16,,23 Jan 16
FIFA 15,https://www.trueachievements.com/game/FIFA-15/achievements,xbox-one,"253 / 2,047","190 / 1,000",4 / 45,Owned,Playing now,,3 hrs 4 mins,18 Jan 16,,18 Jan 16
Doritos Crash Course,https://www.trueachievements.com/game/Doritos-Crash-Course/achievements,xbox-360,11 / 407,10 / 200,1 / 12,Owned,Playing now,,,23 Dec 15,,23 Dec 15
The Walking Dead,https://www.trueachievements.com/game/The-Walking-Dead/achievements,xbox-one,"20 / 1,348","20 / 1,000",1 / 48,Owned,Playing now,,21 mins,01 Nov 15,,01 Nov 15
Movies & TV,https://www.trueachievements.com/game/Movies-and-TV/achievements,xbox-one,0 / 0,0 / 0,1 / 10,Owned,,,6 mins,24 Oct 15,,24 Oct 15
Discover Languages,https://www.trueachievements.com/game/Discover-Languages/achievements,xbox-one,0 / 0,0 / 0,1 / 8,Owned,,,9 mins,06 Oct 15,,06 Oct 15
