game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
FIFA 23,https://www.trueachievements.com/game/FIFA-23/achievements,xbox-series-x-s,"93 / 3,215","60 / 1,000",2 / 39,Owned,Playing now,,15 hrs 13 mins,17 May 23,,31 May 23
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"844 / 2,324","515 / 1,090",28 / 65,Owned,,,141 hrs 36 mins,02 Nov 16,,31 May 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"988 / 2,586","510 / 1,000",12 / 25,Owned,Playing now,,20 hrs 20 mins,29 Mar 23,,18 Apr 23
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"80 / 1,971","50 / 1,000",1 / 19,Owned,Playing now,,38 mins,15 Jan 23,,15 Jan 23
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"54 / 2,453","40 / 1,000",1 / 24,Owned,Playing now,,259 hrs 47 mins,20 Dec 22,,20 Dec 22
FIFA 23 (Xbox One),https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,xbox-one,"67 / 3,425","45 / 1,000",2 / 39,Owned,Playing now,,7 hrs 43 mins,15 Oct 22,,20 Dec 22
Halo: The Master Chief Collection,https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,xbox-one,"4,994 / 25,468","1,935 / 6,990",222 / 699,Owned,,,206 hrs 46 mins,13 Apr 15,,18 Dec 22
NBA 2K23,https://www.trueachievements.com/game/NBA-2K23/achievements,xbox-series-x-s,"576 / 3,955","385 / 1,000",24 / 45,Owned,Playing now,,188 hrs 36 mins,09 Sep 22,,07 Dec 22
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"170 / 3,587","115 / 1,000",8 / 41,Owned,Playing now,,5 hrs 3 mins,10 Oct 22,,26 Oct 22
Descenders,https://www.trueachievements.com/game/Descenders/achievements,xbox-one,"249 / 8,443","145 / 1,000",9 / 32,Owned,Playing now,,8 hrs 34 mins,26 Sep 22,,16 Oct 22
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"3,440 / 3,934","2,010 / 2,200",71 / 77,Owned,,,308 hrs 19 mins,19 Feb 16,,09 Sep 22
Sid Meier's Civilization VI,https://www.trueachievements.com/game/Civilization-VI/achievements,xbox-one,"765 / 4,847","315 / 1,000",13 / 39,Owned,,,45 hrs 53 mins,23 Nov 19,,06 Sep 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"961 / 2,661","560 / 1,000",26 / 34,Owned,Playing now,,28 hrs 59 mins,21 Jun 22,,05 Sep 22
MONOPOLY Plus,https://www.trueachievements.com/game/MONOPOLY-Plus/achievements,xbox-one,"1,022 / 1,349","790 / 1,000",11 / 15,Owned,,,6 hrs 31 mins,12 May 19,,04 Sep 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"81 / 5,210","60 / 1,000",4 / 28,Owned,Playing now,,1 hr 2 mins,04 Aug 22,,06 Aug 22
NBA 2K22 (Xbox One),https://www.trueachievements.com/game/NBA-2K22-Xbox-One/achievements,xbox-one,"565 / 3,813","300 / 1,000",16 / 50,Owned,Playing now,,247 hrs 11 mins,11 Sep 21,,03 Jul 22
FIFA 22 (Xbox One),https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,xbox-one,"434 / 3,394","225 / 1,000",11 / 37,Owned,Playing now,,103 hrs 58 mins,16 Feb 22,,21 Jun 22
EA SPORTS Rory McIlroy PGA TOUR,https://www.trueachievements.com/game/EA-SPORTS-Rory-McIlroy-PGA-TOUR/achievements,xbox-one,"597 / 3,128","345 / 1,000",11 / 28,Owned,,,,03 Aug 16,,20 Jun 22
