game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Battlefield 2042,https://www.trueachievements.com/game/Battlefield-2042/achievements,xbox-series-x-s,"15 / 3,309","15 / 1,000",1 / 34,Owned,Playing now,,1 hr 19 mins,Yesterday,,Yesterday
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"105 / 6,706","75 / 1,055",6 / 67,Owned,Playing now,,1 hr 3 mins,13 Jul 23,,13 Jul 23
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"2,772 / 5,899","1,475 / 2,595",74 / 112,Owned,,,305 hrs 29 mins,31 Aug 19,,12 Jul 23
Minecraft Legends,https://www.trueachievements.com/game/Minecraft-Legends/achievements,xbox-one,"23 / 4,862","20 / 1,000",2 / 30,Owned,Playing now,,41 mins,20 Apr 23,,20 Apr 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"84 / 2,407","80 / 1,000",4 / 32,Owned,Playing now,,1 hr 12 mins,06 Apr 23,,06 Apr 23
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"939 / 7,422","610 / 1,660",20 / 50,Owned,,,7 hrs 18 mins,28 May 20,,24 Mar 23
Gears of War: Ultimate Edition,https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,xbox-one,"167 / 3,440","140 / 1,250",8 / 56,Owned,,,,15 Nov 15,,01 Mar 23
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"3,985 / 5,825","1,850 / 2,400",33 / 37,Owned,,,127 hrs 42 mins,08 Jul 21,,21 Feb 23
Opus: Echo of Starsong – Full Bloom Edition,https://www.trueachievements.com/game/Opus-Echo-of-Starsong/achievements,xbox-one,"10 / 6,986","10 / 1,000",1 / 40,Owned,Playing now,,7 mins,21 Feb 23,,21 Feb 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"102 / 4,458","55 / 1,000",4 / 44,Owned,Playing now,,1 hr 21 mins,08 Feb 23,,11 Feb 23
Taiko no Tatsujin: The Drum Master!,https://www.trueachievements.com/game/Taiko-no-Tatsujin-The-Drum-Master/achievements,xbox-one,"496 / 5,313","230 / 1,000",36 / 89,Owned,,,9 hrs 27 mins,29 Jan 22,,09 Dec 22
Rumbleverse,https://www.trueachievements.com/game/Rumbleverse/achievements,xbox-one,"51 / 2,710","50 / 1,000",1 / 12,Owned,,,1 hr 40 mins,18 Nov 22,,18 Nov 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"230 / 2,606","180 / 1,000",15 / 34,Owned,,,8 hrs 29 mins,23 Jun 22,,12 Nov 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"291 / 2,177","205 / 1,030",11 / 61,Owned,,,20 hrs 2 mins,19 Sep 17,,11 Oct 22
Chivalry 2,https://www.trueachievements.com/game/Chivalry-2/achievements,xbox-one,"46 / 3,572","35 / 1,000",3 / 41,Owned,,,53 mins,07 Oct 22,,07 Oct 22
Assassin's Creed Odyssey,https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,xbox-one,"10 / 1,617","10 / 1,000",1 / 50,Owned,,,13 mins,16 Sep 22,,16 Sep 22
MultiVersus,https://www.trueachievements.com/game/MultiVersus/achievements,xbox-one,"71 / 5,069","55 / 1,000",4 / 28,Owned,,,3 hrs 4 mins,02 Aug 22,,20 Aug 22
Tom Clancy's Ghost Recon Wildlands,https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Wildlands/achievements,xbox-one,"305 / 2,142","220 / 1,000",14 / 43,Owned,,,21 hrs 49 mins,05 Aug 22,,18 Aug 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,941 / 3,759","1,100 / 1,600",93 / 119,Owned,,,138 hrs 0 mins,15 Nov 21,,03 May 22
Call of Duty: Black Ops 4,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-4/achievements,xbox-one,"308 / 4,701","195 / 1,000",10 / 52,Owned,,,361 hrs 49 mins,14 Oct 18,,22 Apr 22
Super Animal Royale,https://www.trueachievements.com/game/Super-Animal-Royale/achievements,xbox-one,"256 / 3,120","145 / 1,000",2 / 13,Owned,,,48 mins,20 Apr 22,,20 Apr 22
