game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"1,230 / 2,742","690 / 1,210",39 / 73,Owned,Playing now,,200 hrs 22 mins,24 May 16,,28 Feb 23
Hogwarts Legacy,https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,xbox-one,"300 / 1,998","230 / 1,000",15 / 45,Owned,Playing now,,32 hrs 36 mins,10 Feb 23,,21 Feb 23
Minecraft (Windows),https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,windows,"949 / 2,795","565 / 1,285",33 / 62,Owned,Playing now,,135 hrs 50 mins,22 Dec 21,,06 Feb 23
Hi-Fi RUSH,https://www.trueachievements.com/game/HiFi-Rush/achievements,xbox-series-x-s,"212 / 6,004","155 / 1,000",17 / 61,Owned,Playing now,,6 hrs 0 mins,29 Jan 23,,30 Jan 23
Destiny,https://www.trueachievements.com/game/Destiny/achievements,xbox-one,"2,186 / 2,480","1,380 / 1,500",57 / 60,Owned,,,2550 hrs 12 mins,05 Nov 14,,02 Jan 23
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"84 / 2,441","80 / 1,000",4 / 32,Owned,Playing now,,1 hr 0 mins,23 Dec 22,,23 Dec 22
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"310 / 1,993","190 / 1,000",8 / 50,Owned,Playing now,,,24 Sep 22,,16 Nov 22
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"53 / 2,453","30 / 1,000",1 / 24,Owned,Playing now,,5 hrs 6 mins,12 Nov 22,,12 Nov 22
Escape Academy,https://www.trueachievements.com/game/Escape-Academy/achievements,xbox-one,"622 / 1,575","430 / 1,000",14 / 27,Owned,Playing now,,3 hrs 29 mins,24 Jul 22,,31 Oct 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"600 / 2,879","260 / 1,000",15 / 40,Owned,Playing now,,26 hrs 21 mins,16 Jul 22,,15 Oct 22
Golf With Your Friends,https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,xbox-one,"654 / 3,280","430 / 1,000",13 / 36,Owned,Playing now,,14 hrs 36 mins,26 Mar 21,,04 Oct 22
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"1,624 / 4,842","900 / 1,540",24 / 46,Owned,Playing now,,16 hrs 4 mins,15 Apr 22,,03 Oct 22
Cyberpunk 2077,https://www.trueachievements.com/game/Cyberpunk-2077/achievements,xbox-one,"105 / 2,287","75 / 1,000",5 / 44,Owned,Playing now,,7 hrs 55 mins,10 Dec 20,,26 Sep 22
The Elder Scrolls IV: Oblivion,https://www.trueachievements.com/game/Oblivion/achievements,xbox-360,"1,033 / 1,485","720 / 1,000",34 / 50,Owned,Playing now,,,25 Dec 19,,15 Aug 22
The Elder Scrolls V: Skyrim Special Edition,https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,xbox-one,"3,192 / 3,192","1,550 / 1,550",75 / 75,Owned,Playing now,,120 hrs 6 mins,28 Oct 16,25 Feb 17,10 Aug 22
Fall Guys,https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,xbox-one,"158 / 2,661","130 / 1,000",13 / 34,Owned,Playing now,,5 hrs 2 mins,24 Jun 22,,03 Aug 22
Monster Hunter: World,https://www.trueachievements.com/game/Monster-Hunter-World/achievements,xbox-one,"867 / 4,868","430 / 1,000",30 / 49,Owned,Playing now,,187 hrs 17 mins,26 Jan 18,,31 Jul 22
Fortnite,https://www.trueachievements.com/game/Fortnite/achievements,xbox-one,"107 / 6,112","100 / 1,000",9 / 45,Owned,Playing now,,506 hrs 21 mins,24 Jul 22,,26 Jul 22
Life is Strange: True Colors,https://www.trueachievements.com/game/Life-is-Strange-True-Colors/achievements,xbox-one,"22 / 1,348","20 / 1,000",2 / 40,Owned,Playing now,,57 mins,10 Jul 22,,10 Jul 22
Just Cause 4,https://www.trueachievements.com/game/Just-Cause-4/achievements,xbox-one,"25 / 4,515","25 / 1,000",1 / 34,Owned,Playing now,,1 hr 1 min,09 Jul 22,,09 Jul 22
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"667 / 3,836","385 / 1,000",24 / 51,Owned,Playing now,,144 hrs 5 mins,26 Nov 18,,26 Jun 22
Exo One,https://www.trueachievements.com/game/Exo-One/achievements,xbox-one,"273 / 5,812","145 / 1,000",5 / 28,Owned,Playing now,,1 hr 12 mins,11 Jun 22,,22 Jun 22
Sniper Elite 5,https://www.trueachievements.com/game/Sniper-Elite-5/achievements,xbox-one,"155 / 2,751","105 / 1,000",8 / 53,Owned,Playing now,,10 hrs 56 mins,30 May 22,,20 Jun 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"5,062 / 5,581","2,380 / 2,550",103 / 109,Owned,Playing now,,726 hrs 21 mins,09 Dec 17,,09 Jun 22
Hue,https://www.trueachievements.com/game/Hue/achievements,xbox-one,"462 / 1,571","400 / 1,000",7 / 13,Owned,Playing now,,1 hr 28 mins,27 Apr 22,,28 May 22
Bugsnax,https://www.trueachievements.com/game/Bugsnax/achievements,xbox-one,"105 / 2,570","60 / 1,000",7 / 30,Owned,Playing now,,4 hrs 9 mins,30 Apr 22,,30 Apr 22
