game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Ravenlok,https://www.trueachievements.com/game/Ravenlok/achievements,xbox-one,"145 / 1,753","105 / 1,000",13 / 50,Owned,Playing now,,2 hrs 17 mins,18 May 23,,01 Jun 23
Shadow Warrior 3: Definitive Edition,https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,xbox-one,"10 / 1,899","10 / 1,000",1 / 38,Owned,Playing now,,9 mins,30 May 23,,30 May 23
Minecraft Dungeons,https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,xbox-one,"49 / 3,506","30 / 1,220",3 / 34,Owned,Playing now,,27 mins,22 May 23,,26 May 23
Guilty Gear -Strive-,https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,xbox-one,"714 / 4,387","335 / 1,000",15 / 38,Owned,Playing now,,2 hrs 33 mins,01 May 23,,24 May 23
Spelunky 2,https://www.trueachievements.com/game/Spelunky-2/achievements,xbox-one,"5 / 10,714","5 / 1,000",1 / 32,Owned,Playing now,,8 mins,23 May 23,,23 May 23
Hoa,https://www.trueachievements.com/game/Hoa/achievements,xbox-one,"397 / 1,480","350 / 1,000",7 / 19,Owned,Playing now,,34 mins,18 May 23,,18 May 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"3,741 / 6,385","1,580 / 2,255",89 / 123,Owned,Playing now,,125 hrs 51 mins,05 Nov 21,,17 May 23
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"34 / 3,271","30 / 1,000",2 / 50,Owned,Playing now,,54 mins,16 May 23,,16 May 23
Chained Echoes,https://www.trueachievements.com/game/Chained-Echoes/achievements,xbox-one,"54 / 3,255","45 / 1,000",2 / 37,Owned,Playing now,,3 hrs 16 mins,05 Feb 23,,14 May 23
Star Wars Episode I Racer,https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,xbox-one,"61 / 1,946","60 / 1,000",3 / 29,Owned,Playing now,,7 mins,12 May 23,,12 May 23
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"1,936 / 5,391","1,100 / 2,020",93 / 144,Owned,Playing now,,174 hrs 58 mins,19 Nov 21,,07 May 23
Age of Empires II: Definitive Edition,https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,xbox-one,"138 / 9,892","65 / 1,375",12 / 148,Owned,Playing now,,15 hrs 22 mins,30 Oct 22,,06 May 23
Star Wars: Squadrons,https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,xbox-one,"15 / 9,216","15 / 1,000",1 / 47,Owned,Playing now,,37 mins,06 May 23,,06 May 23
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"166 / 1,971","125 / 1,000",3 / 19,Owned,Playing now,,19 mins,12 Aug 21,,01 May 23
