game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"1,219 / 1,488","840 / 1,000",42 / 48,Owned,Playing now,,363 hrs 59 mins,17 Jan 21,,31 May 23
FIFA 23,https://www.trueachievements.com/game/FIFA-23/achievements,xbox-series-x-s,"1,102 / 3,215","525 / 1,000",23 / 39,Owned,,,203 hrs 20 mins,26 Sep 22,,28 May 23
MLB The Show 23,https://www.trueachievements.com/game/MLB-The-Show-23/achievements,xbox-one,"315 / 2,586","230 / 1,000",6 / 25,Owned,Playing now,,12 hrs 6 mins,03 May 23,,28 May 23
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"468 / 3,990","325 / 1,180",8 / 33,Owned,,,2 hrs 1 min,01 Jan 22,,22 May 23
Fight Night Champion,https://www.trueachievements.com/game/Fight-Night-Champion/achievements,xbox-360,"175 / 14,819","120 / 1,000",9 / 44,Owned,,,,08 Sep 20,,24 Apr 23
Skate 3,https://www.trueachievements.com/game/Skate-3/achievements,xbox-360,"902 / 3,511","475 / 1,000",25 / 47,Owned,,,,25 Mar 17,,16 Apr 23
EA SPORTS PGA Tour,https://www.trueachievements.com/game/EA-Sports-PGA-Tour/achievements,xbox-series-x-s,"16 / 2,727","15 / 1,000",1 / 18,Owned,Playing now,,4 hrs 35 mins,07 Apr 23,,07 Apr 23
EA SPORTS UFC 4,https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,xbox-one,"1,639 / 2,927","765 / 1,000",22 / 27,Owned,,,82 hrs 28 mins,08 Sep 20,,27 Mar 23
DiRT Rally 2.0,https://www.trueachievements.com/game/DiRT-RALLY-20/achievements,xbox-one,"92 / 3,605","55 / 1,000",3 / 50,Owned,Playing now,,2 hrs 37 mins,09 Mar 23,,10 Mar 23
NBA 2K23,https://www.trueachievements.com/game/NBA-2K23/achievements,xbox-series-x-s,"784 / 3,955","475 / 1,000",25 / 45,Owned,,,70 hrs 49 mins,23 Oct 22,,27 Feb 23
Rust: Console Edition,https://www.trueachievements.com/game/Rust/achievements,xbox-one,"912 / 1,580","630 / 1,000",18 / 31,Owned,Playing now,,110 hrs 22 mins,31 Dec 22,,19 Feb 23
Human Fall Flat,https://www.trueachievements.com/game/Human-Fall-Flat/achievements,xbox-one,"376 / 2,757","240 / 1,120",12 / 51,Owned,,,3 hrs 30 mins,26 Sep 20,,22 Jan 23
NBA 2K23 (Xbox One),https://www.trueachievements.com/game/NBA-2K23-Xbox-One/achievements,xbox-one,"432 / 3,666","300 / 1,000",18 / 50,Owned,,,48 hrs 1 min,22 Oct 22,,15 Jan 23
Red Dead Redemption 2,https://www.trueachievements.com/game/Red-Dead-Redemption-2/achievements,xbox-one,"178 / 3,836","120 / 1,000",10 / 51,Owned,,,54 hrs 17 mins,19 May 21,,14 Jan 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"628 / 3,085","370 / 1,130",22 / 61,Owned,,,21 hrs 12 mins,18 Nov 21,,12 Jan 23
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"782 / 1,971","475 / 1,000",10 / 19,Owned,,,11 hrs 41 mins,03 Jan 22,,05 Jan 23
Descenders,https://www.trueachievements.com/game/Descenders/achievements,xbox-one,"586 / 8,443","280 / 1,000",14 / 32,Owned,,,13 hrs 46 mins,18 Sep 20,,03 Jan 23
PGA Tour 2K23,https://www.trueachievements.com/game/PGA-Tour-2K23/achievements,xbox-one,"95 / 2,020","75 / 1,000",4 / 29,Owned,Playing now,,4 hrs 59 mins,25 Dec 22,,30 Dec 22
High On Life,https://www.trueachievements.com/game/High-On-Life/achievements,xbox-one,"62 / 2,441","60 / 1,000",3 / 32,Owned,Playing now,,1 hr 17 mins,16 Dec 22,,16 Dec 22
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"3,314 / 3,934","1,955 / 2,200",70 / 77,Owned,,,206 hrs 14 mins,19 Jun 16,,28 Nov 22
Call of Duty: Modern Warfare II,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,xbox-one,"114 / 2,453","100 / 1,000",1 / 24,Owned,,,92 hrs 52 mins,24 Nov 22,,24 Nov 22
FIFA 23 (Xbox One),https://www.trueachievements.com/game/FIFA-23-Xbox-One/achievements,xbox-one,"240 / 3,425","150 / 1,000",8 / 39,Owned,,,10 hrs 15 mins,10 Oct 22,,13 Nov 22
Football Manager 2023 Console,https://www.trueachievements.com/game/Football-Manager-2023/achievements,xbox-one,"23 / 2,414","20 / 1,000",2 / 41,Owned,,,59 mins,08 Nov 22,,08 Nov 22
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"306 / 3,271","165 / 1,000",9 / 50,Owned,,,15 hrs 29 mins,04 Jul 22,,17 Oct 22
Overwatch 2,https://www.trueachievements.com/game/Overwatch/achievements,xbox-one,"145 / 2,102","115 / 1,000",6 / 59,Owned,,,6 hrs 18 mins,07 Oct 22,,11 Oct 22
