game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Starbound (Windows),https://www.trueachievements.com/game/Starbound/achievements,windows,"187 / 1,336","160 / 1,000",9 / 51,Owned,Playing now,,9 hrs 25 mins,13 Jun 22,,25 May 23
SpiderHeck,https://www.trueachievements.com/game/SpiderHeck/achievements,xbox-one,"753 / 12,190","200 / 1,000",12 / 29,Owned,Playing now,,1 hr 41 mins,26 Nov 22,,22 May 23
Back 4 Blood,https://www.trueachievements.com/game/Back-4-Blood/achievements,xbox-one,"1,079 / 5,095","580 / 1,350",37 / 90,Owned,Playing now,,25 hrs 27 mins,14 Oct 21,,10 Mar 23
"Warhammer 40,000: Darktide (Windows)",https://www.trueachievements.com/game/Warhammer-40000-Darktide/achievements,windows,"37 / 12,565","30 / 1,000",3 / 36,Owned,Playing now,,6 hrs 50 mins,07 Feb 23,,07 Feb 23
Grounded,https://www.trueachievements.com/game/Grounded/achievements,xbox-one,"248 / 1,897","200 / 1,000",6 / 20,Owned,Playing now,,9 hrs 45 mins,02 Feb 22,,02 Feb 23
Sea of Thieves,https://www.trueachievements.com/game/Sea-of-Thieves/achievements,xbox-one,"5,460 / 29,196","1,420 / 3,650",88 / 189,Owned,Playing now,,221 hrs 31 mins,06 Oct 19,,27 Nov 22
Overcooked! 2,https://www.trueachievements.com/game/Overcooked-2/achievements,xbox-one,"32 / 2,873","30 / 1,000",1 / 26,Owned,Playing now,,16 hrs 47 mins,22 Jun 22,,22 Jun 22
Breathedge,https://www.trueachievements.com/game/Breathedge/achievements,xbox-one,"124 / 4,889","75 / 1,000",3 / 45,Owned,Playing now,,54 mins,30 Mar 22,,30 Mar 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"662 / 3,769","455 / 1,600",43 / 119,Owned,Playing now,,42 hrs 12 mins,17 Nov 21,,14 Mar 22
Gears 5,https://www.trueachievements.com/game/Gears-5/achievements,xbox-one,"359 / 9,935","195 / 1,630",23 / 124,Owned,Playing now,,25 hrs 14 mins,30 Sep 19,,12 Mar 22
Spiritfarer: Farewell Edition,https://www.trueachievements.com/game/Spiritfarer/achievements,xbox-one,"704 / 2,093","425 / 1,000",20 / 39,Owned,Playing now,,40 hrs 59 mins,30 Jul 21,,11 Feb 22
Evil Genius 2: World Domination,https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,xbox-one,"34 / 8,124","25 / 1,000",5 / 90,Owned,Playing now,,2 hrs 46 mins,27 Jan 22,,27 Jan 22
