game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"1,078 / 5,203","605 / 1,780",40 / 96,Owned,Playing now,,282 hrs 29 mins,12 Nov 21,,30 May 23
Forza Motorsport 7,https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,xbox-one,"5 / 3,559","5 / 1,000",1 / 62,Owned,Playing now,,1 hr 29 mins,27 May 23,,27 May 23
Trackmania,https://www.trueachievements.com/game/Trackmania/achievements,xbox-one,"84 / 27,677","75 / 1,480",6 / 33,Owned,Playing now,,42 mins,27 May 23,,27 May 23
Midnight Club: Los Angeles,https://www.trueachievements.com/game/Midnight-Club-Los-Angeles/achievements,xbox-360,"10 / 3,838","10 / 1,000",1 / 45,Owned,Playing now,,,20 May 23,,20 May 23
Call of Duty: Black Ops Cold War,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-Cold-War/achievements,xbox-one,"34 / 2,549","30 / 1,000",2 / 44,Owned,Playing now,,21 hrs 30 mins,21 Apr 23,,25 Apr 23
Call of Duty: Modern Warfare,https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,xbox-one,"390 / 1,917","270 / 1,000",6 / 26,Owned,Playing now,,664 hrs 6 mins,04 Apr 23,,13 Apr 23
Rocket League,https://www.trueachievements.com/game/Rocket-League/achievements,xbox-one,"3,654 / 3,934","2,080 / 2,200",73 / 77,Owned,Playing now,,958 hrs 0 mins,10 Apr 21,,07 Apr 23
Call of Duty: Vanguard,https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,xbox-one,"233 / 2,551","180 / 1,000",4 / 44,Owned,Playing now,,2 hrs 35 mins,21 Jul 22,,22 Feb 23
Apex Legends,https://www.trueachievements.com/game/Apex-Legends/achievements,xbox-one,"201 / 1,430","150 / 1,000",2 / 12,Owned,Playing now,,7 hrs 59 mins,15 Jul 22,,21 Feb 23
Knockout City,https://www.trueachievements.com/game/Knockout-City/achievements,xbox-one,"93 / 3,836","45 / 1,000",4 / 50,Owned,Playing now,,5 hrs 13 mins,23 Jul 22,,20 Feb 23
Grand Theft Auto V (Xbox One),https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,xbox-one,"747 / 7,900","415 / 1,750",21 / 77,Owned,,,637 hrs 3 mins,05 Mar 21,,16 Jan 23
CarX Drift Racing Online,https://www.trueachievements.com/game/CarX-Drift-Racing-Online/achievements,xbox-one,"515 / 6,138","345 / 1,000",20 / 36,Owned,Playing now,,83 hrs 10 mins,21 Jan 22,,16 Dec 22
Tom Clancy's Rainbow Six Siege,https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,xbox-one,"209 / 1,488","165 / 1,000",9 / 48,Owned,Playing now,,7 hrs 35 mins,14 Jan 22,,16 Nov 22
Among Us,https://www.trueachievements.com/game/Among-Us/achievements,xbox-one,"546 / 2,658","390 / 1,000",12 / 24,Owned,Playing now,,13 hrs 17 mins,15 Jan 22,,15 Nov 22
Train Sim World 2,https://www.trueachievements.com/game/Train-Sim-World-2/achievements,xbox-one,"12 / 7,518","10 / 1,000",2 / 34,Owned,Playing now,,1 hr 6 mins,12 Aug 22,,12 Aug 22
Gang Beasts,https://www.trueachievements.com/game/Gang-Beasts/achievements,xbox-one,"205 / 1,971","150 / 1,000",4 / 19,Owned,,,7 hrs 3 mins,03 Jul 21,,03 Aug 22
PowerWash Simulator,https://www.trueachievements.com/game/PowerWash-Simulator/achievements,xbox-one,"26 / 2,879","20 / 1,000",2 / 40,Owned,Playing now,,34 mins,15 Jul 22,,15 Jul 22
Minecraft,https://www.trueachievements.com/game/Minecraft/achievements,xbox-one,"118 / 3,698","110 / 1,750",9 / 79,Owned,,,34 hrs 40 mins,24 Apr 21,,13 Jul 22
Wreckfest,https://www.trueachievements.com/game/Wreckfest/achievements,xbox-one,"72 / 3,155","50 / 1,000",2 / 20,Owned,Playing now,,7 hrs 37 mins,11 Jul 22,,11 Jul 22
Stick Fight: The Game,https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,xbox-one,"379 / 2,829","320 / 1,000",12 / 28,Owned,Playing now,,3 hrs 11 mins,19 Mar 22,,20 Mar 22
Halo Infinite,https://www.trueachievements.com/game/Halo-Infinite/achievements,xbox-one,"26 / 1,370",20 / 600,4 / 50,Owned,Playing now,,1 hr 6 mins,26 Nov 21,,26 Nov 21
Forza Horizon 4,https://www.trueachievements.com/game/Forza-Horizon-4/achievements,xbox-one,"949 / 6,603","505 / 2,110",34 / 104,Owned,Playing now,,93 hrs 39 mins,23 Apr 21,,14 Nov 21
Forza Horizon 3,https://www.trueachievements.com/game/Forza-Horizon-3/achievements,xbox-one,"867 / 4,062","530 / 1,500",32 / 68,Owned,Playing now,,205 hrs 54 mins,09 Mar 21,,26 Oct 21
Need for Speed Payback,https://www.trueachievements.com/game/Need-for-Speed-Payback/achievements,xbox-one,"10 / 3,267","10 / 1,000",1 / 53,Owned,,,30 mins,02 Oct 21,,02 Oct 21
Descenders,https://www.trueachievements.com/game/Descenders/achievements,xbox-one,"21 / 8,443","10 / 1,000",1 / 32,Owned,,,45 mins,01 Oct 21,,01 Oct 21
Need for Speed Heat,https://www.trueachievements.com/game/Need-for-Speed-Heat/achievements,xbox-one,"95 / 3,212","70 / 1,000",6 / 42,Owned,,,6 hrs 0 mins,20 Aug 21,,19 Sep 21
NBA 2K21 (Xbox One),https://www.trueachievements.com/game/NBA-2K21-Xbox-One/achievements,xbox-one,"16 / 4,342","15 / 1,000",1 / 50,Owned,,,2 hrs 28 mins,17 Aug 21,,17 Aug 21
Trailmakers,https://www.trueachievements.com/game/Trailmakers/achievements,xbox-one,"33 / 3,505","30 / 1,000",1 / 18,Owned,,,1 hr 5 mins,31 Jul 21,,31 Jul 21
Call of Duty: Black Ops III,https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-III/achievements,xbox-one,"22 / 3,543","20 / 1,000",1 / 47,Owned,,,,19 Jul 21,,19 Jul 21
Injustice 2,https://www.trueachievements.com/game/Injustice-2/achievements,xbox-one,"15 / 3,893","15 / 1,000",1 / 62,Owned,,,26 mins,10 Jul 21,,10 Jul 21
