game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
No Man's Sky,https://www.trueachievements.com/game/No-Mans-Sky/achievements,xbox-one,"1,774 / 2,988","800 / 1,000",22 / 27,Owned,,,99 hrs 8 mins,02 Jul 21,,16 Apr 23
Ghostwire: Tokyo,https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,xbox-series-x-s,"272 / 4,444","185 / 1,180",14 / 66,Owned,Playing now,,10 hrs 17 mins,13 Apr 23,,15 Apr 23
Forza Horizon 5,https://www.trueachievements.com/game/Forza-Horizon-5/achievements,xbox-one,"2,653 / 6,385","1,165 / 2,255",67 / 123,Owned,,,198 hrs 58 mins,09 Nov 21,,11 Apr 23
Monster Hunter Rise,https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,xbox-one,"10 / 7,283","10 / 1,000",1 / 50,Owned,Playing now,,1 hr 15 mins,08 Apr 23,,08 Apr 23
Kill It With Fire,https://www.trueachievements.com/game/Kill-It-With-Fire/achievements,xbox-one,"10 / 2,415","10 / 1,000",1 / 24,Owned,Playing now,,34 mins,07 Apr 23,,07 Apr 23
F1 22,https://www.trueachievements.com/game/F1-22/achievements,xbox-one,"53 / 3,271","45 / 1,000",3 / 50,Owned,Playing now,,1 hr 9 mins,07 Apr 23,,07 Apr 23
Atomic Heart,https://www.trueachievements.com/game/Atomic-Heart/achievements,xbox-one,"15 / 5,946","15 / 1,000",1 / 42,Owned,Playing now,,1 hr 34 mins,06 Apr 23,,06 Apr 23
Resident Evil 2,https://www.trueachievements.com/game/Resident-Evil-2/achievements,xbox-one,"803 / 1,979","590 / 1,020",29 / 42,Owned,,,26 hrs 43 mins,27 Jul 22,,03 Apr 23
Cult of the Lamb,https://www.trueachievements.com/game/Cult-of-the-Lamb/achievements,xbox-one,"1,026 / 2,027","700 / 1,000",29 / 37,Owned,Playing now,,23 hrs 11 mins,17 Feb 23,,16 Mar 23
Hot Wheels Unleashed,https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,xbox-one,"635 / 4,489","290 / 1,000",21 / 44,Owned,Playing now,,18 hrs 20 mins,20 Feb 23,,06 Mar 23
Metal Slug 3,https://www.trueachievements.com/game/Metal-Slug-3/achievements,xbox-360,"129 / 1,477",60 / 200,5 / 12,Owned,,,,06 Nov 22,,05 Mar 23
