game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Call of Duty Classic,https://www.trueachievements.com/game/Call-of-Duty-Classic/achievements,xbox-360,28 / 392,25 / 200,2 / 12,Owned,,,,28 Nov 09,,01 Apr 16
Minecraft: Xbox 360 Edition,https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,xbox-360,82 / 505,80 / 400,7 / 20,Owned,,,,21 Jul 14,,01 Apr 16
Monkey Island 2: LeChuck's Revenge,https://www.trueachievements.com/game/Monkey-Island-2-Lechucks-Revenge/achievements,xbox-360,306 / 306,200 / 200,12 / 12,Owned,,,,12 Jul 10,17 Jul 10,01 Apr 16
SoulCalibur V,https://www.trueachievements.com/game/SoulCalibur-V/achievements,xbox-360,"5 / 2,984","5 / 1,000",1 / 50,Owned,Playing now,,,02 Apr 16,,01 Apr 16
Monopoly Streets,https://www.trueachievements.com/game/Monopoly-Streets/achievements,xbox-360,"861 / 1,645","620 / 1,000",28 / 40,Owned,,,,22 Jan 11,,28 Aug 15
Ms. Splosion Man,https://www.trueachievements.com/game/Ms-Splosion-Man/achievements,xbox-360,5 / 931,5 / 200,1 / 12,Owned,Playing now,,,30 Aug 15,,28 Aug 15
LEGO Batman 2: DC Super Heroes,https://www.trueachievements.com/game/LEGO-Batman-2-DC-Super-Heroes/achievements,xbox-360,"422 / 1,664","335 / 1,000",14 / 37,Owned,,,,20 Jan 13,,06 Apr 15
LEGO The Hobbit (Xbox 360),https://www.trueachievements.com/game/LEGO-The-Hobbit-Xbox-360/achievements,xbox-360,"125 / 1,586","110 / 1,000",5 / 39,Owned,,,,04 Apr 15,,04 Apr 15
Rock Band 3,https://www.trueachievements.com/game/Rock-Band-3/achievements,xbox-360,"633 / 4,311","410 / 1,250",24 / 62,Owned,,,,01 Oct 11,,03 Sep 13
Rayman Origins,https://www.trueachievements.com/game/Rayman-Origins/achievements,xbox-360,"15 / 2,664","15 / 1,000",1 / 36,Owned,,,,27 Dec 12,,23 Jan 13
LEGO The Lord of the Rings,https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,xbox-360,"628 / 1,563","510 / 1,000",23 / 48,Owned,,,,27 Dec 12,,13 Jan 13
Red Dead Redemption,https://www.trueachievements.com/game/Red-Dead-Redemption/achievements,xbox-360,"976 / 2,374","630 / 1,100",30 / 58,Owned,,,,21 May 10,,12 Jan 13
FIFA 10,https://www.trueachievements.com/game/FIFA-10/achievements,xbox-360,"16 / 3,024","15 / 1,000",1 / 44,Owned,,,,02 Jan 13,,25 Dec 12
FlatOut Ultimate Carnage,https://www.trueachievements.com/game/Flatout-Ultimate-Carnage/achievements,xbox-360,"260 / 3,082","165 / 1,000",10 / 45,Owned,,,,21 Jun 07,,25 Dec 12
You're in the Movies,https://www.trueachievements.com/game/Youre-in-the-Movies/achievements,xbox-360,"1,987 / 2,871","755 / 1,000",35 / 43,Owned,,,,08 Feb 09,,25 Dec 12
Disney Sing It,https://www.trueachievements.com/game/Disney-Sing-It/achievements,xbox-360,"611 / 1,470","460 / 1,000",14 / 25,Owned,,,,25 Dec 08,,08 Jun 12
Magic: The Gathering - Duels of the Planeswalkers 2012,https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2012/achievements,xbox-360,157 / 244,140 / 200,8 / 12,Owned,,,,04 Mar 12,,11 Mar 12
Mass Effect 2,https://www.trueachievements.com/game/Mass-Effect-2/achievements,xbox-360,"1,458 / 1,835","1,180 / 1,355",58 / 62,Owned,,,,30 Jan 10,,03 Mar 12
The Elder Scrolls V: Skyrim,https://www.trueachievements.com/game/Skyrim/achievements,xbox-360,"42 / 1,473","40 / 1,000",4 / 50,Owned,,,,13 Feb 12,,18 Feb 12
LEGO Harry Potter: Years 5-7,https://www.trueachievements.com/game/LEGO-Harry-Potter-2/achievements,xbox-360,"1,411 / 1,411","1,000 / 1,000",49 / 49,Owned,,,,31 Dec 11,28 Jan 12,14 Feb 12
Might and Magic: Clash of Heroes,https://www.trueachievements.com/game/Might-and-Magic-Clash-of-Heroes/achievements,xbox-360,49 / 472,30 / 200,2 / 12,Owned,,,,24 Dec 11,,27 Jan 12
Left 4 Dead,https://www.trueachievements.com/game/Left-4-Dead/achievements,xbox-360,"1,554 / 3,076","925 / 1,500",46 / 65,Owned,,,,23 Nov 08,,20 Jan 12
Left 4 Dead 2,https://www.trueachievements.com/game/Left-4-Dead-2/achievements,xbox-360,"2,095 / 3,049","1,140 / 1,500",48 / 65,Owned,,,,25 Nov 09,,20 Jan 12
The Beatles: Rock Band,https://www.trueachievements.com/game/The-Beatles-Rock-Band/achievements,xbox-360,"260 / 3,625","180 / 1,000",15 / 50,Owned,,,,09 Sep 09,,07 Jan 12
Gatling Gears,https://www.trueachievements.com/game/Gatling-Gears/achievements,xbox-360,10 / 406,10 / 200,1 / 12,Owned,,,,07 Jan 12,,07 Jan 12
Rock of Ages,https://www.trueachievements.com/game/Rock-of-Ages/achievements,xbox-360,33 / 426,30 / 200,2 / 12,Owned,,,,24 Dec 11,,24 Dec 11
LEGO Harry Potter: Years 1-4,https://www.trueachievements.com/game/LEGO-Harry-Potter/achievements,xbox-360,"1,416 / 1,416","1,000 / 1,000",36 / 36,Owned,,,,29 Jun 10,13 Oct 10,23 Dec 11
Insanely Twisted Shadow Planet,https://www.trueachievements.com/game/Insanely-Twisted-Shadow-Planet/achievements,xbox-360,10 / 448,10 / 200,1 / 12,Owned,,,,23 Dec 11,,23 Dec 11
From Dust,https://www.trueachievements.com/game/From-Dust/achievements,xbox-360,10 / 488,10 / 200,1 / 12,Owned,,,,13 Dec 11,,18 Dec 11
Darksiders,https://www.trueachievements.com/game/Darksiders/achievements,xbox-360,"1,137 / 1,743","755 / 1,000",33 / 43,Owned,,,,05 Nov 11,,18 Dec 11
Beyond Good & Evil HD,https://www.trueachievements.com/game/Beyond-Good-and-Evil-HD/achievements,xbox-360,362 / 362,200 / 200,12 / 12,Owned,,,,29 Nov 11,07 Dec 11,07 Dec 11
Saints Row: The Third,https://www.trueachievements.com/game/Saints-Row-The-Third/achievements,xbox-360,"94 / 1,680","80 / 1,000",6 / 50,Owned,,,,20 Nov 11,,21 Nov 11
Torchlight,https://www.trueachievements.com/game/Torchlight/achievements,xbox-360,70 / 289,60 / 200,5 / 12,Owned,,,,26 Aug 11,,19 Nov 11
Need for Speed: Hot Pursuit,https://www.trueachievements.com/game/NFS-Hot-Pursuit/achievements,xbox-360,"137 / 2,329","120 / 1,000",9 / 50,Owned,,,,30 Oct 11,,30 Oct 11
Dead Island (Xbox 360),https://www.trueachievements.com/game/Dead-Island-Xbox-360/achievements,xbox-360,"745 / 1,756","530 / 1,000",26 / 48,Owned,,,,16 Sep 11,,27 Oct 11
LIMBO (Xbox 360),https://www.trueachievements.com/game/LIMBO-Xbox-360/achievements,xbox-360,254 / 297,190 / 200,11 / 12,Owned,,,,22 Jul 10,,15 Oct 11
Renegade Ops,https://www.trueachievements.com/game/Renegade-Ops/achievements,xbox-360,29 / 512,25 / 200,2 / 12,Owned,,,,27 Sep 11,,15 Oct 11
Dragon Age II,https://www.trueachievements.com/game/Dragon-Age-2/achievements,xbox-360,"1,682 / 1,976","1,000 / 1,130",50 / 55,Owned,,,,13 Mar 11,,26 Aug 11
Stacking,https://www.trueachievements.com/game/Stacking/achievements,xbox-360,288 / 288,200 / 200,17 / 17,Owned,,,,07 Jul 11,16 Jul 11,03 Aug 11
Splosion Man,https://www.trueachievements.com/game/Splosion-Man/achievements,xbox-360,74 / 676,55 / 200,5 / 12,Owned,,,,22 Jul 09,,24 Jul 11
TNT Racers,https://www.trueachievements.com/game/TNT-Racers/achievements,xbox-360,20 / 534,15 / 200,2 / 12,Owned,,,,11 Jul 11,,11 Jul 11
Your Shape: Fitness Evolved,https://www.trueachievements.com/game/Your-Shape-Fitness-Evolved/achievements,xbox-360,"1,311 / 2,878","630 / 1,000",25 / 33,Owned,,,,24 Jan 11,,06 Jul 11
Bejeweled Blitz LIVE,https://www.trueachievements.com/game/Bejeweled-Blitz-LIVE/achievements,xbox-360,5 / 438,5 / 200,1 / 12,Owned,,,,22 Jun 11,,05 Jul 11
Costume Quest,https://www.trueachievements.com/game/Costume-Quest/achievements,xbox-360,315 / 314,250 / 250,20 / 20,Owned,,,,30 Mar 11,02 Jul 11,02 Jul 11
ilomilo,https://www.trueachievements.com/game/ilomilo/achievements,xbox-360,165 / 328,130 / 200,7 / 12,Owned,,,,19 Apr 11,,25 Jun 11
Child of Eden,https://www.trueachievements.com/game/Child-of-Eden/achievements,xbox-360,"186 / 9,408","120 / 1,000",9 / 49,Owned,,,,24 Jun 11,,25 Jun 11
Kinect Fun Labs: Googly Eyes,https://www.trueachievements.com/game/Googly-Eyes/achievements,xbox-360,34 / 110,25 / 50,5 / 8,Owned,,,,25 Jun 11,,25 Jun 11
Scene It? Box Office Smash!,https://www.trueachievements.com/game/Scene-It-Box-Office-Smash/achievements,xbox-360,"1,416 / 2,094","980 / 1,250",46 / 58,Owned,,,,14 Mar 09,,25 Jun 11
LEGO Pirates of the Caribbean,https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,xbox-360,"1,734 / 1,734","1,000 / 1,000",40 / 40,Owned,,,,07 Jun 11,27 Jun 11,22 Jun 11
Kinect Fun Labs: Kinect Me,https://www.trueachievements.com/game/Kinect-Me/achievements,xbox-360,29 / 95,25 / 50,5 / 8,Owned,,,,07 Jun 11,,12 Jun 11
L.A. Noire (Xbox 360),https://www.trueachievements.com/game/LA-Noire-Xbox-360/achievements,xbox-360,"2,006 / 2,075","1,160 / 1,200",48 / 50,Owned,,,,21 May 11,,06 Jun 11
FIFA 09,https://www.trueachievements.com/game/FIFA-09/achievements,xbox-360,"352 / 2,420","274 / 1,000",20 / 48,Owned,,,,11 Oct 08,,31 May 11
Brink,https://www.trueachievements.com/game/Brink/achievements,xbox-360,"865 / 2,033","575 / 1,000",23 / 36,Owned,,,,14 May 11,,21 May 11
Full House Poker,https://www.trueachievements.com/game/Full-House-Poker/achievements,xbox-360,138 / 281,120 / 200,13 / 20,Owned,,,,27 Mar 11,,18 May 11
Portal: Still Alive,https://www.trueachievements.com/game/Portal-Still-Alive/achievements,xbox-360,339 / 339,200 / 200,12 / 12,Owned,,,,02 May 11,13 May 11,13 May 11
Portal 2,https://www.trueachievements.com/game/Portal-2/achievements,xbox-360,"1,993 / 1,993","1,000 / 1,000",50 / 50,Owned,,,,22 Apr 11,10 May 11,10 May 11
LEGO Indiana Jones 2: The Adventure Continues,https://www.trueachievements.com/game/LEGO-Indiana-Jones-2/achievements,xbox-360,"1,644 / 1,644","1,000 / 1,000",38 / 38,Owned,,,,09 May 10,01 Jun 10,24 Apr 11
Happy Tree Friends: False Alarm,https://www.trueachievements.com/game/Happy-Tree-Friends/achievements,xbox-360,56 / 518,50 / 200,4 / 12,Owned,,,,23 Apr 11,,23 Apr 11
Rock Band 2,https://www.trueachievements.com/game/Rock-Band-2/achievements,xbox-360,"404 / 2,345","275 / 1,000",18 / 50,Owned,,,,22 Nov 08,,22 Apr 11
LEGO Star Wars III: The Clone Wars,https://www.trueachievements.com/game/LEGO-Star-Wars-3/achievements,xbox-360,"2,239 / 2,239","1,000 / 1,000",48 / 48,Owned,,,,27 Mar 11,19 Apr 11,19 Apr 11
Final Fight: Double Impact,https://www.trueachievements.com/game/Final-Fight-Double-Impact/achievements,xbox-360,20 / 337,15 / 200,1 / 12,Owned,,,,16 Apr 11,,16 Apr 11
X-Men Arcade,https://www.trueachievements.com/game/X-Men-Arcade/achievements,xbox-360,58 / 275,55 / 200,4 / 12,Owned,,,,09 Apr 11,,13 Apr 11
Unbound Saga,https://www.trueachievements.com/game/Unbound-Saga/achievements,xbox-360,10 / 323,10 / 200,1 / 12,Owned,,,,29 Mar 11,,05 Apr 11
Raskulls,https://www.trueachievements.com/game/Raskulls/achievements,xbox-360,10 / 366,10 / 200,1 / 12,Owned,,,,30 Mar 11,,05 Apr 11
The UnderGarden,https://www.trueachievements.com/game/The-UnderGarden/achievements,xbox-360,63 / 451,45 / 200,4 / 12,Owned,,,,21 Dec 10,,02 Apr 11
Batman: Arkham Asylum,https://www.trueachievements.com/game/Batman-Arkham-Asylum/achievements,xbox-360,"35 / 1,794","35 / 1,000",4 / 47,Owned,,,,01 Apr 11,,01 Apr 11
Assassin's Creed II,https://www.trueachievements.com/game/Assassins-Creed-2/achievements,xbox-360,"1,135 / 1,253","940 / 1,000",46 / 50,Owned,,,,26 Feb 11,,26 Mar 11
