game_title,game_url,game_platform,ta_score,gs_score,achievements_score,ownership,play_status,contests,time_played,started,completed,last_win
Minecraft (Nintendo Switch),https://www.trueachievements.com/game/Minecraft-Nintendo-Switch/achievements,nintendo-switch,"221 / 5,643","170 / 1,950",11 / 87,Owned,Playing now,,3 hrs 37 mins,18 May 22,,27 May 22
FIFA 11,https://www.trueachievements.com/game/FIFA-11/achievements,xbox-360,"363 / 2,895","235 / 1,000",20 / 46,Owned,,,,30 Dec 10,,23 Nov 16
Kinect Adventures,https://www.trueachievements.com/game/Kinect-Adventures/achievements,xbox-360,"144 / 3,586","115 / 1,000",6 / 32,Owned,,,,11 Jul 11,,21 Nov 16
Kinect Sports,https://www.trueachievements.com/game/Kinect-Sports/achievements,xbox-360,"1,290 / 3,325","595 / 1,000",28 / 50,Owned,,,,11 Mar 11,,21 Nov 16
Disney Sing It,https://www.trueachievements.com/game/Disney-Sing-It/achievements,xbox-360,"312 / 1,470","260 / 1,000",6 / 25,Owned,,,,04 Nov 09,,21 Nov 16
Fallout 3,https://www.trueachievements.com/game/Fallout-3/achievements,xbox-360,"617 / 1,809","430 / 1,100",22 / 54,Owned,,,,05 Jun 15,,21 Nov 16
Kinect Sports: Season Two,https://www.trueachievements.com/game/Kinect-Sports-2/achievements,xbox-360,"1,178 / 2,962","545 / 1,000",29 / 50,Owned,,,,28 Dec 11,,21 Nov 16
BioShock,https://www.trueachievements.com/game/BioShock/achievements,xbox-360,"653 / 1,507","530 / 1,000",30 / 50,Owned,,,,03 Feb 12,,09 May 15
Batman: Arkham City,https://www.trueachievements.com/game/Batman-Arkham-City/achievements,xbox-360,"394 / 2,805","340 / 1,150",20 / 56,Owned,,,,12 Mar 14,,03 May 15
Halo 4,https://www.trueachievements.com/game/Halo-4/achievements,xbox-360,"194 / 1,869","150 / 1,000",12 / 49,Owned,,,,23 Aug 14,,29 Apr 15
Your Shape: Fitness Evolved,https://www.trueachievements.com/game/Your-Shape-Fitness-Evolved/achievements,xbox-360,"52 / 2,878","50 / 1,000",1 / 33,Owned,,,,17 Apr 15,,17 Apr 15
Call of Duty: Modern Warfare 3,https://www.trueachievements.com/game/Modern-Warfare-3/achievements,xbox-360,"230 / 1,975","195 / 1,000",17 / 50,Owned,,,,19 May 12,,04 Apr 15
FIFA 13,https://www.trueachievements.com/game/FIFA-13/achievements,xbox-360,"5 / 2,068","5 / 1,000",1 / 48,Owned,,,,25 Jan 15,,07 Feb 15
Just Dance 3,https://www.trueachievements.com/game/Just-Dance-3/achievements,xbox-360,"208 / 5,833","80 / 1,000",8 / 50,Owned,,,,28 Dec 11,,25 Nov 14
Fruit Ninja Kinect,https://www.trueachievements.com/game/Fruit-Ninja-Kinect/achievements,xbox-360,207 / 329,130 / 200,9 / 12,Owned,,,,18 Aug 11,,17 Nov 14
Kinect Star Wars,https://www.trueachievements.com/game/Kinect-Star-Wars/achievements,xbox-360,"203 / 5,646","125 / 1,000",9 / 50,Owned,,,,09 Nov 13,,14 Nov 14
Karaoke Revolution,https://www.trueachievements.com/game/Karaoke-Revolution/achievements,xbox-360,"387 / 2,336","275 / 1,000",12 / 50,Owned,,,,14 Feb 10,,04 Nov 14
Halo: Reach,https://www.trueachievements.com/game/Halo-Reach/achievements,xbox-360,"111 / 1,609","95 / 1,000",8 / 49,Owned,,,,23 Jun 14,,06 Jul 14
Halo 3,https://www.trueachievements.com/game/Halo-3/achievements,xbox-360,"630 / 2,499","500 / 1,575",19 / 69,Owned,,,,20 Dec 08,,23 Jun 14
Shuffle Party (Windows),https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,windows,46 / 390,40 / 200,4 / 10,Owned,,,,15 Jun 13,,05 Apr 14
Mass Effect 3,https://www.trueachievements.com/game/Mass-Effect-3/achievements,xbox-360,"2,088 / 2,387","1,390 / 1,550",61 / 68,Owned,,,,25 Apr 13,,05 Apr 14
Full House Poker (WP),https://www.trueachievements.com/game/Full-House-Poker-Windows-Phone/achievements,windows-phone,197 / 244,170 / 200,18 / 20,Owned,,,,23 Mar 11,,04 Apr 14
Fruit Ninja (WP),https://www.trueachievements.com/game/Fruit-Ninja/achievements,windows-phone,171 / 238,150 / 200,15 / 20,Owned,,,,08 Jun 11,,31 Mar 14
Magic: The Gathering - Duels of the Planeswalkers 2013,https://www.trueachievements.com/game/Magic-The-Gathering-Duels-of-the-Planeswalkers-2013/achievements,xbox-360,5 / 362,5 / 200,1 / 20,Owned,,,,23 Nov 13,,23 Nov 13
Cut The Rope (WP),https://www.trueachievements.com/game/Cut-The-Rope/achievements,windows-phone,196 / 235,170 / 200,16 / 19,Owned,,,,08 Nov 12,,18 Nov 13
Jetpack Joyride (Windows),https://www.trueachievements.com/game/Jetpack-Joyride/achievements,windows,109 / 346,75 / 200,9 / 20,Owned,,,,13 Jun 13,,11 Nov 13
Mass Effect 2,https://www.trueachievements.com/game/Mass-Effect-2/achievements,xbox-360,"1,836 / 1,835","1,355 / 1,355",62 / 62,Owned,,,,29 Nov 11,19 Apr 13,19 Apr 13
Risk (WP),https://www.trueachievements.com/game/Risk/achievements,windows-phone,256 / 256,200 / 200,20 / 20,Owned,,,,04 Nov 12,31 Jan 13,27 Feb 13
Minesweeper (WP),https://www.trueachievements.com/game/Minesweeper/achievements,windows-phone,38 / 80,30 / 50,6 / 10,Owned,,,,26 Sep 12,,12 Feb 13
Angry Birds (WP),https://www.trueachievements.com/game/Angry-Birds/achievements,windows-phone,204 / 352,140 / 200,15 / 20,Owned,,,,30 Jun 11,,08 Feb 13
Real Soccer (WP),https://www.trueachievements.com/game/Real-Soccer/achievements,windows-phone,237 / 459,115 / 200,11 / 20,Owned,,,,27 Sep 12,,04 Nov 12
Mass Effect,https://www.trueachievements.com/game/Mass-Effect/achievements,xbox-360,"1,847 / 2,234","1,060 / 1,200",43 / 49,Owned,,,,23 Aug 09,,12 Oct 12
The Gunstringer,https://www.trueachievements.com/game/The-Gunstringer/achievements,xbox-360,"37 / 4,183","25 / 1,000",3 / 50,Owned,,,,06 Jan 12,,25 Sep 12
Wordament (WP),https://www.trueachievements.com/game/Wordament/achievements,windows-phone,21 / 371,20 / 200,2 / 17,Owned,,,,17 Sep 12,,20 Sep 12
Pro Evolution Soccer 2012 (WP),https://www.trueachievements.com/game/Pro-Evolution-Soccer-2012-Windows-Phone/achievements,windows-phone,208 / 507,105 / 200,12 / 19,Owned,,,,29 Mar 12,,10 Jun 12
MiniSquadron (WP),https://www.trueachievements.com/game/MiniSquadron/achievements,windows-phone,234 / 390,120 / 200,8 / 10,Owned,,,,14 Mar 12,,08 Apr 12
Shuffle Party (WP),https://www.trueachievements.com/game/Shuffle-Party/achievements,windows-phone,68 / 68,50 / 50,10 / 10,Owned,,,,23 Dec 11,29 Feb 12,08 Apr 12
Rocket Riot (WP),https://www.trueachievements.com/game/Rocket-Riot-Windows-Phone/achievements,windows-phone,59 / 253,55 / 200,4 / 12,Owned,,,,07 Jan 11,,27 Feb 12
Pro Evolution Soccer 2011 (WP),https://www.trueachievements.com/game/Pro-Evolution-Soccer-2011-Windows-Phone/achievements,windows-phone,456 / 456,200 / 200,19 / 19,Owned,,,,30 Mar 11,06 Sep 11,07 Feb 12
